player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur
68033,Steven,Zuber,Steven Zuber,2025,3060,steven-zuber,Switzerland,Winterthur,Switzerland,1991-08-17 00:00:00,Left Winger,Attack,right,182.0,2027-06-30 00:00:00,ONEANDTEN,https://img.a.transfermarkt.technology/portrait/header/68033-1754377961.png?lm=1,56.0,11.0,,https://www.transfermarkt.co.uk/steven-zuber/profil/spieler/68033,GR1,APS Atromitos Athinon,600000.0,10000000.0
95673,Tom,van Weert,Tom van Weert,2025,3060,tom-van-weert,Netherlands,Sint-Michielsgestel,Netherlands,1990-06-07 00:00:00,Centre-Forward,Attack,right,183.0,2026-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/95673-1509025511.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tom-van-weert/profil/spieler/95673,GR1,APS Atromitos Athinon,175000.0,1250000.0
131827,Jere,Uronen,Jere Uronen,2025,3060,jere-uronen,Finland,Turku,Finland,1994-07-13 00:00:00,Left-Back,Defender,left,177.0,2027-06-30 00:00:00,NGA Sport,https://img.a.transfermarkt.technology/portrait/header/131827-1709368207.jpg?lm=1,75.0,1.0,,https://www.transfermarkt.co.uk/jere-uronen/profil/spieler/131827,GR1,APS Atromitos Athinon,700000.0,3500000.0
136109,Alexei,Koselev,Alexei Koselev,2025,3060,alexei-koselev,Moldova,Chișinău,Moldova,1993-11-19 00:00:00,Goalkeeper,Goalkeeper,right,200.0,2026-06-30 00:00:00,iFootball,https://img.a.transfermarkt.technology/portrait/header/136109-1489708057.jpg?lm=1,26.0,0.0,,https://www.transfermarkt.co.uk/alexei-koselev/profil/spieler/136109,GR1,APS Atromitos Athinon,300000.0,2000000.0
158106,Peter,Michorl,Peter Michorl,2025,3060,peter-michorl,Austria,Wien,Austria,1995-05-09 00:00:00,Central Midfield,Midfield,left,176.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/158106-1693859420.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/peter-michorl/profil/spieler/158106,GR1,APS Atromitos Athinon,500000.0,3000000.0
182682,Lefteris,Choutesiotis,Lefteris Choutesiotis,2025,3060,lefteris-choutesiotis,Greece,Makrychori,Greece,1994-07-20 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/182682-1486655892.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/lefteris-choutesiotis/profil/spieler/182682,GR1,APS Atromitos Athinon,400000.0,450000.0
211345,,Mansur,Mansur,2025,3060,mansur,Brazil,Laranjeiras,Brazil,1993-04-17 00:00:00,Centre-Back,Defender,left,181.0,2026-06-30 00:00:00,SHOW DE BOLA LTD.,https://img.a.transfermarkt.technology/portrait/header/211345-1613391374.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/mansur/profil/spieler/211345,GR1,APS Atromitos Athinon,300000.0,800000.0
223053,,Quini,Quini,2025,3060,quini,Spain,Córdoba,Spain,1989-09-24 00:00:00,Right-Back,Defender,right,178.0,2026-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/223053-1447238360.jpg?lm=1,,,,https://www.transfermarkt.co.uk/quini/profil/spieler/223053,GR1,APS Atromitos Athinon,175000.0,1200000.0
237923,Sotiris,Tsiloulis,Sotiris Tsiloulis,2025,3060,sotiris-tsiloulis,Greece,Larisa,Greece,1995-02-14 00:00:00,Right Winger,Attack,right,185.0,2027-06-30 00:00:00,Tigerjumpsports LTI,https://img.a.transfermarkt.technology/portrait/header/237923-1728416136.png?lm=1,,,,https://www.transfermarkt.co.uk/sotiris-tsiloulis/profil/spieler/237923,GR1,APS Atromitos Athinon,300000.0,600000.0
336974,Makana,Baku,Makana Baku,2025,3060,makana-baku,Germany,Mainz,Germany,1998-04-08 00:00:00,Right Winger,Attack,right,177.0,2026-06-30 00:00:00,Family Sports UG,https://img.a.transfermarkt.technology/portrait/header/336974-1677703803.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/makana-baku/profil/spieler/336974,GR1,APS Atromitos Athinon,700000.0,1000000.0
