İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Mohamed Amoura,1107591,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.784,25,8,6,10,3,2.00937281,297,418,71.052631578947,110,187,108,24,14,34.146341463415,34,7,2,0,0,3,12.0,53,16,59,40.972222222222,23,36.507936507937,1692,15.094339622642,1,1,2,0,0,0,15,65.217391304348,18,1,0,16,251,10,18,8,767,11,17,0,0,25,11,8,0,0,0,0,0,0,0,0,0,20,0.0,24,41,25,23,30,17,50.0,0,146,272,1,8.1633,55,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonas Wind,826069,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.72,10,1,0,3,0,0.52080456,92,145,63.448275862069,30,62,44,5,2,66.666666666667,0,0,1,0,0,0,0.0,9,6,16,66.666666666667,20,41.666666666667,480,11.111111111111,0,0,0,0,0,0,3,50.0,5,0,0,4,67,6,8,5,208,14,2,2,0,2,2,1,0,0,0,0,0,0,0,0,0,5,0.0,5,3,0,6,13,0,0.0,0,37,108,1,1.1674,13,1,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kento Shiogai,1499696,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.5125,8,1,0,3,0,0.15477874,31,45,68.888888888889,10,21,12,1,2,40.0,7,2,1,0,0,0,0.0,8,5,11,31.428571428571,1,11.111111111111,291,12.5,0,0,0,0,0,0,1,33.333333333333,4,0,0,6,30,2,2,1,96,2,7,0,0,11,2,1,0,0,0,0,0,0,0,0,0,2,0.0,1,5,0,3,4,4,57.142857142857,0,17,28,0,1.4494,14,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dženan Pejčinović,1127790,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.6652173913043,23,5,1,5,0,0.33323673,155,230,67.391304347826,73,82,52,6,4,28.571428571429,8,0,1,0,0,0,0.0,31,13,19,39.583333333333,39,38.613861386139,1017,16.129032258065,0,0,0,1,0,0,10,76.923076923077,11,0,0,7,126,5,12,9,381,7,13,2,0,3,4,4,0,0,0,0,0,0,0,0,0,11,0.0,6,14,3,13,33,7,87.5,0,93,137,1,4.9754,20,1,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Daghim,1180758,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.6857142857143,21,2,5,2,2,2.12294145,225,336,66.964285714286,54,171,116,13,11,29.72972972973,22,11,1,0,0,2,13.333333333333,18,5,54,45.0,17,50.0,1081,11.111111111111,0,0,0,0,0,0,4,17.391304347826,26,0,0,12,204,3,17,6,610,21,14,0,0,17,2,7,0,0,1,0,0,0,0,0,0,9,0.0,13,37,15,23,29,15,68.181818181818,0,79,257,0,1.3388,36,2,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Eriksen,105734,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.868,25,3,9,1,6,4.96948343,739,949,77.871443624868,320,419,222,44,8,42.105263157895,29,12,4,0,0,25,28.089887640449,30,10,40,40.40404040404,10,47.619047619048,1925,10.0,3,3,0,0,4,0,40,38.461538461538,31,0,1,18,343,15,99,42,1315,3,11,0,0,20,3,9,0,0,0,0,0,0,0,0,0,21,0.0,44,19,89,104,47,16,55.172413793103,0,364,585,1,4.2776,99,6,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lovro Majer,841947,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.604347826087,23,2,3,4,3,2.14008618,405,492,82.317073170732,170,235,142,20,11,45.833333333333,22,9,5,0,0,6,30.0,23,5,51,41.129032258065,11,35.483870967742,1286,8.695652173913,0,0,0,0,1,0,14,50.0,17,0,0,19,169,14,24,10,718,18,29,2,0,13,3,7,0,0,0,0,0,0,0,0,0,16,0.0,20,24,20,28,30,14,63.636363636364,0,191,301,0,2.795,67,1,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper Lindstrøm,947929,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.4,11,0,2,1,0,0.41441749,77,99,77.777777777778,22,55,33,4,8,47.058823529412,8,0,2,0,0,2,33.333333333333,8,5,19,35.185185185185,2,40.0,344,0.0,0,0,0,0,0,0,0,0.0,3,0,0,10,57,0,3,1,186,3,10,1,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0.0,4,17,6,2,10,5,62.5,0,28,71,0,0.9359,19,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinícius Souza,979290,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.8823529411765,17,0,0,0,0,0.44624914,377,462,81.601731601732,179,198,93,4,3,37.5,39,20,3,0,0,2,100.0,4,1,60,58.823529411765,37,62.71186440678,1272,0.0,0,0,0,1,0,0,17,37.777777777778,60,0,0,5,109,5,24,15,701,18,26,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0.0,4,8,2,45,30,25,64.102564102564,0,213,249,0,0.0693,61,9,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bence Dárdai,1418624,Bundesliga 25/26,Bundesliga,VfL Wolfsburg,6.7,1,0,0,0,0,0.00145676,8,8,100.0,3,5,2,1,0,0.0,1,1,0,0,0,0,0.0,0,0,1,50.0,0,0.0,34,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,1,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,100.0,0,3,5,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
