İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Nikolai Baden Frederiksen,935076,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,7.1388888888889,18,8,5,1,3,1.75652563,186,265,70.188679245283,58,128,80,23,6,33.333333333333,5,2,2,0,0,26,38.805970149254,58,20,30,45.454545454545,5,22.727272727273,1287,13.793103448276,0,0,0,0,14,3,26,50.980392156863,15,0,0,9,171,7,40,19,520,19,12,2,0,4,2,18,0,0,0,0,0,0,0,0,0,16,21.428571428571,23,18,67,51,20,3,60.0,0,69,196,2,2.8561,25,1,18,0.0,128.5,11.0,79.0,20.0,35.0,39.772727272727,1.0,7.0,14.0,44.0,0.0,8.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,53.0,17.0,0.0,0.0,0.0,160.875,0.0,0.0,0.0,2340790.0,0.0,0.0,0.0,,
Ademola Ola-Adebomi,1212153,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.5,20,3,2,6,2,1.3417027,116,197,58.883248730964,24,92,63,14,10,30.30303030303,5,1,4,0,0,0,0.0,17,5,30,26.086956521739,39,38.613861386139,1128,17.647058823529,0,0,1,0,0,0,3,42.857142857143,9,0,0,25,196,15,10,7,425,15,39,1,0,2,2,5,0,0,0,0,0,0,0,0,0,14,0.0,14,33,4,7,18,4,80.0,0,38,159,0,3.4993,34,1,20,0.0,130.0,5.0,81.0,7.0,69.0,31.944444444444,3.0,0.0,16.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,147.0,62.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,2196889.0,0.0,0.0,0.0,,
Thomas Sabitzer,862767,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.6142857142857,21,0,1,3,2,1.23755836,236,305,77.377049180328,79,157,90,12,4,28.571428571429,10,3,4,0,0,1,16.666666666667,14,4,53,51.456310679612,20,37.735849056604,1204,0.0,0,0,3,0,0,0,4,28.571428571429,12,0,0,18,131,8,9,5,482,39,16,0,0,7,2,4,0,0,1,0,0,0,0,0,0,15,0.0,12,14,6,14,20,7,70.0,0,97,208,0,1.7341,43,1,21,0.0,138.9,2.0,69.0,6.0,73.0,46.794871794872,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,83.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092854.0,0.0,0.0,0.0,,
Lukas Hinterseer,66214,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.535,20,1,0,0,0,0.22964207,73,128,57.03125,21,52,31,1,1,16.666666666667,1,1,2,1,1,1,50.0,11,1,13,34.210526315789,34,56.666666666667,436,9.0909090909091,0,0,0,1,0,0,1,14.285714285714,16,0,0,7,95,2,6,1,235,11,16,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0.0,1,6,2,7,8,1,100.0,0,32,96,0,0.7945,18,0,21,0.0,130.7,1.0,55.0,8.0,47.0,47.959183673469,1.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,51.0,26.0,0.0,0.0,0.0,436.0,0.0,0.0,0.0,2092838.0,0.0,0.0,0.0,,
Moritz Wels,1127195,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.695652173913,23,5,0,11,2,1.23169401,260,368,70.652173913043,75,185,112,15,19,43.181818181818,26,6,5,0,0,4,16.0,46,18,64,42.953020134228,28,38.356164383562,1909,10.869565217391,0,0,0,0,0,0,4,21.052631578947,25,0,1,22,261,9,16,9,727,21,27,1,0,15,4,14,0,0,3,0,0,0,0,0,0,23,0.0,15,44,25,19,29,11,42.307692307692,0,90,278,2,6.5995,51,2,23,0.0,154.0,7.0,108.0,14.0,92.0,41.441441441441,5.0,0.0,38.0,8.0,0.0,3.0,2.0,0.0,0.0,0.0,26.0,3.0,0.0,130.0,45.0,0.0,0.0,0.0,381.8,0.0,0.0,0.0,2092864.0,0.0,0.0,0.0,,
Tobias Anselm,904263,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.4,16,1,0,5,1,0.58479981,80,128,62.5,26,54,31,7,2,18.181818181818,3,0,0,0,0,2,25.0,19,4,12,30.769230769231,13,21.666666666667,706,5.2631578947368,0,0,0,0,0,0,7,58.333333333333,7,0,0,11,96,0,9,5,244,7,3,0,0,5,1,9,0,0,0,0,0,0,0,0,0,8,0.0,7,11,8,12,15,1,33.333333333333,0,38,90,0,1.8609,16,2,17,0.0,102.4,2.0,48.0,6.0,25.0,25.252525252525,1.0,0.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,74.0,47.0,0.0,0.0,0.0,706.0,0.0,0.0,0.0,2092852.0,0.0,0.0,0.0,,
Yannick Votter,1510166,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.55,16,0,2,0,0,0.29795534,99,133,74.436090225564,44,55,30,3,12,60.0,5,3,3,0,0,2,33.333333333333,4,0,26,54.166666666667,3,60.0,336,0.0,0,0,0,0,0,0,7,53.846153846154,1,0,0,6,66,2,8,6,214,10,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0.0,3,20,6,13,6,3,60.0,0,54,79,0,0.109,33,0,17,0.0,104.8,0.0,34.0,3.0,29.0,54.716981132075,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2092874.0,0.0,0.0,0.0,,
Christian Huetz,1980099,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,6.5333333333333,3,0,1,1,0,0.15959682,15,24,62.5,2,13,6,2,3,27.272727272727,4,1,2,0,0,0,0.0,2,1,9,37.5,2,66.666666666667,59,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,0,5,26,0,1,1,62,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,2,11,1,3,1,2,50.0,0,5,19,0,0.3942,5,0,8,0.0,19.6,0.0,9.0,0.0,11.0,40.740740740741,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2392961.0,0.0,0.0,0.0,,
Matthäus Taferner,901905,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,7.105,20,1,4,1,2,3.54545644,625,785,79.617834394904,309,316,158,38,14,50.0,62,33,3,0,1,35,38.461538461538,17,5,112,53.588516746411,2,22.222222222222,1687,5.8823529411765,0,0,0,0,0,0,55,52.884615384615,25,0,3,27,301,8,84,43,1246,36,30,0,0,26,0,3,1,0,3,0,0,0,0,0,0,20,0.0,37,28,91,104,27,43,69.354838709677,1,349,436,1,0.9474,138,2,20,0.0,142.1,3.0,160.0,9.0,114.0,52.293577981651,0.0,1.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,1.0,0.0,104.0,7.0,0.0,0.0,0.0,1687.0,0.0,0.0,0.0,2092836.0,0.0,0.0,0.0,,
Valentino Müller,798206,Bundesliga 25/26,Austrian Bundesliga,WSG Tirol,7.2166666666667,24,10,3,3,3,2.64607957,803,957,83.908045977011,416,387,167,19,14,82.352941176471,20,31,5,0,0,3,37.5,34,17,58,61.702127659574,23,65.714285714286,2160,29.411764705882,6,5,0,0,0,0,58,59.183673469388,43,2,2,13,198,6,59,32,1249,27,14,0,0,8,0,9,0,0,4,0,0,0,0,0,0,24,0.0,19,17,8,98,38,10,50.0,0,457,500,4,7.4957,139,8,24,0.0,173.2,13.0,154.0,8.0,81.0,62.790697674419,10.0,0.0,26.0,8.0,0.0,4.0,6.0,0.0,0.0,0.0,35.0,3.0,83.333333333333,48.0,12.0,0.0,0.0,1.0,216.0,0.0,0.0,0.0,2092868.0,0.0,0.0,0.0,,
