İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Alessio Castro-Montes,839898,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.56,5,0,0,1,0,0.10313953,41,56,73.214285714286,13,28,17,1,0,0.0,4,2,0,0,0,0,0.0,1,0,6,35.294117647059,2,66.666666666667,149,0.0,0,0,0,0,0,0,1,100.0,4,0,0,2,25,1,2,1,89,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,1,5,3,1,2,1,25.0,0,14,42,0,0.429,6,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathias Rasmussen,834244,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,7.125,16,2,3,0,1,1.01767987,287,356,80.61797752809,114,173,86,20,7,70.0,25,14,1,0,0,14,51.851851851852,10,3,42,63.636363636364,15,60.0,720,20.0,0,0,0,0,0,0,29,55.769230769231,14,0,0,3,96,3,34,17,504,10,7,0,0,13,0,4,0,0,2,0,0,0,0,0,0,7,0.0,20,10,27,52,8,16,64.0,0,132,224,3,0.5239,48,3,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Promise David,1119328,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.6791666666667,24,9,2,14,1,1.04175341,165,289,57.093425605536,34,131,80,13,6,27.272727272727,4,4,1,0,0,0,0.0,70,26,26,28.260869565217,60,52.173913043478,1493,12.857142857143,1,0,0,0,0,0,11,52.380952380952,22,0,0,23,220,17,18,8,560,18,29,2,0,3,24,13,0,0,3,0,0,0,0,0,0,17,0.0,13,22,4,21,11,3,75.0,0,49,240,0,12.295,48,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Rodriguez,1431770,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.75,22,8,3,6,1,1.95358015,198,286,69.230769230769,52,146,87,15,9,42.857142857143,17,4,1,0,0,0,0.0,52,24,52,40.625,46,44.660194174757,1181,15.384615384615,0,0,0,0,0,0,4,50.0,11,0,0,38,232,16,7,2,602,27,24,2,0,4,7,12,0,0,2,0,0,0,0,0,0,13,0.0,15,21,5,8,5,13,76.470588235294,0,68,218,2,6.0426,51,2,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anouar Ait El Hadj,964764,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.8678571428571,28,0,7,4,3,5.63235419,650,774,83.979328165375,205,445,266,47,11,31.428571428571,23,12,2,0,0,37,45.121951219512,32,8,52,47.272727272727,2,25.0,2057,0.0,0,0,0,0,1,0,41,57.746478873239,14,0,0,12,249,12,76,39,1090,18,11,2,0,11,6,8,2,0,5,0,0,0,0,0,0,26,0.0,45,35,82,71,11,12,52.173913043478,0,222,552,0,3.587,84,0,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohammed Fuseini,1212237,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.3727272727273,11,0,3,2,0,0.63534757,54,69,78.260869565217,13,41,30,10,2,13.333333333333,3,0,0,0,0,3,50.0,9,1,12,24.489795918367,4,30.769230769231,444,0.0,0,0,0,0,0,0,4,100.0,0,0,0,17,66,2,1,0,163,8,5,0,0,2,8,5,0,0,0,0,0,0,0,0,0,4,0.0,10,15,6,4,4,1,33.333333333333,0,17,52,0,0.8082,11,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Florucz,1022491,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.8263157894737,19,7,3,4,3,1.54637459,170,242,70.247933884298,38,132,93,16,12,31.578947368421,13,4,0,0,0,7,31.818181818182,39,13,36,33.333333333333,3,20.0,1105,17.948717948718,2,2,0,0,0,0,5,45.454545454545,4,0,0,25,198,13,14,5,495,11,13,2,0,11,6,15,0,0,0,0,0,0,0,0,0,14,0.0,16,38,22,11,5,8,61.538461538462,0,50,192,1,6.5318,38,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guilherme Smith,1820381,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,7.2153846153846,13,3,4,0,2,1.21532647,176,222,79.279279279279,52,124,76,9,21,44.68085106383,25,11,3,0,0,8,21.621621621622,16,6,62,52.991452991453,2,50.0,917,18.75,0,0,0,0,0,0,13,59.090909090909,8,1,0,12,153,6,15,9,488,16,9,0,0,9,5,4,0,0,2,0,0,0,0,0,0,10,0.0,9,47,37,22,4,17,68.0,0,65,157,1,0.7392,54,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Biondic,1387937,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.5125,8,1,0,2,1,0.23766755,39,53,73.584905660377,10,29,17,3,2,40.0,1,1,0,0,0,1,100.0,7,5,5,33.333333333333,7,35.0,259,14.285714285714,0,0,0,0,0,0,1,100.0,1,0,0,2,30,2,1,0,97,2,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0.0,3,5,1,1,0,1,100.0,0,12,41,0,1.3412,4,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Giger,1406947,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.6733333333333,15,3,1,3,1,1.05663959,110,137,80.29197080292,26,84,56,7,8,50.0,12,2,3,0,0,2,33.333333333333,15,8,24,36.923076923077,11,47.826086956522,500,20.0,1,0,0,0,0,0,4,100.0,1,0,0,14,78,5,5,4,258,4,15,0,0,5,1,3,0,0,0,0,0,0,0,0,0,5,0.0,7,16,6,4,3,6,50.0,0,30,107,0,3.1852,21,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adem Zorgane,1000472,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,7.0275862068966,29,2,6,2,4,5.16187241,1262,1475,85.559322033898,465,797,450,32,12,46.153846153846,50,23,5,0,0,11,22.0,23,8,67,42.138364779874,25,49.019607843137,2288,8.695652173913,0,0,0,0,0,0,69,61.061946902655,21,0,1,17,331,17,124,76,1826,5,31,0,0,31,4,6,0,0,9,0,0,0,0,0,0,26,0.0,32,26,50,113,13,34,68.0,0,508,967,1,2.0562,153,4,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ousseynou Niang,880780,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.9631578947368,19,2,2,3,3,1.5476441,381,475,80.210526315789,155,226,120,10,17,34.69387755102,25,5,5,0,0,8,14.814814814815,21,6,72,50.0,3,42.857142857143,1378,9.5238095238095,0,0,2,0,0,0,20,46.511627906977,12,0,0,19,243,13,26,10,829,30,13,1,0,8,6,4,0,0,3,0,0,0,0,0,0,16,0.0,10,49,54,43,9,17,68.0,0,174,301,3,1.6945,91,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anan Khalaili,1403362,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,7.1379310344828,29,2,9,2,1,5.75601328,857,1085,78.986175115207,333,524,290,42,41,51.25,52,36,5,0,0,24,23.762376237624,26,9,101,47.417840375587,46,67.647058823529,2361,7.6923076923077,0,0,0,0,0,0,69,57.983193277311,64,0,1,24,461,18,92,51,1781,8,19,0,0,31,5,6,0,0,9,0,0,0,0,0,0,27,0.0,42,80,101,119,13,36,69.230769230769,0,398,687,1,2.8693,150,4,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Besfort Zeneli,1173223,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.98,10,2,2,3,3,1.35010233,128,181,70.718232044199,40,88,59,10,4,40.0,4,2,0,0,0,15,40.540540540541,11,5,12,44.444444444444,3,60.0,461,18.181818181818,0,0,0,0,0,0,3,50.0,0,0,0,5,107,3,9,6,292,4,2,1,0,2,0,3,0,0,0,0,0,0,0,0,0,5,0.0,10,10,37,6,2,3,75.0,0,53,128,2,1.5797,19,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamiel Van de Perre,1146316,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.9045454545455,22,0,1,0,3,0.53166477,609,753,80.876494023904,301,308,139,9,10,45.454545454545,65,36,8,0,0,1,12.5,9,0,95,54.913294797688,25,55.555555555556,1624,0.0,0,0,0,1,0,0,39,50.0,34,0,0,11,209,7,71,38,1067,20,36,0,0,20,0,4,0,0,6,0,0,0,0,0,0,18,0.0,9,22,8,78,11,39,60.0,0,339,414,1,0.4199,122,5,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louis Patris,923972,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.9037037037037,27,0,3,4,2,2.81630152,390,564,69.148936170213,171,219,116,23,11,55.0,52,27,2,0,0,14,24.561403508772,12,6,75,56.818181818182,27,69.230769230769,1394,0.0,0,0,0,0,0,0,19,24.358974358974,43,0,0,9,272,6,49,15,938,12,18,0,0,22,2,2,0,0,4,0,0,0,0,0,0,14,0.0,23,20,57,78,10,27,51.923076923077,0,209,355,3,1.822,63,1,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rob Schoofs,133164,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.85,30,4,6,1,3,4.38287407,740,908,81.497797356828,278,462,256,41,6,54.545454545455,20,16,4,0,0,25,40.983606557377,36,10,41,40.594059405941,11,34.375,1738,11.111111111111,1,1,0,0,5,0,48,46.601941747573,32,0,3,15,259,10,80,40,1211,15,24,1,0,16,1,11,1,0,5,0,0,0,0,0,0,18,0.0,40,11,61,103,9,11,55.0,0,315,593,0,2.764,99,1,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Pavlić,1103764,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,6.3,1,0,0,0,0,0.01382595,14,20,70.0,3,11,9,0,0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,1,50.0,18,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,0,0,7,0,0,0,24,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,1,0,0.0,0,4,16,0,0.0255,3,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guillaume François,45897,Pro League 25/26,Pro League,Royale Union Saint-Gilloise,0.0,0,0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,4,0.0,0,0,0,0,0,0,0,0.0,0,0,1,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0.0,0,0,1,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
