İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Tiquinho Soares,789100,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.42,5,0,0,1,0,0.16010853,49,61,80.327868852459,21,28,16,4,1,33.333333333333,2,0,1,0,0,0,0.0,10,2,10,52.631578947368,2,14.285714285714,336,0.0,0,0,0,0,0,0,3,100.0,0,0,0,2,21,2,5,3,99,7,5,1,0,2,2,3,0,0,0,0,0,0,0,0,0,4,0.0,4,3,1,3,6,2,100.0,0,21,40,0,0.7582,5,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negueba,872007,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,7.0125,8,2,2,1,0,1.7309039,232,269,86.245353159851,83,149,103,17,15,62.5,10,9,3,0,0,17,29.310344827586,16,4,39,57.352941176471,3,30.0,692,12.5,0,0,0,0,1,0,9,64.285714285714,3,0,1,9,125,4,10,7,476,14,3,0,0,8,0,3,0,0,0,0,0,0,0,0,0,8,0.0,17,24,58,14,11,8,80.0,0,89,180,1,0.5044,36,1,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
André Luis,904297,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.54,5,0,0,0,0,0.18279583,33,47,70.212765957447,10,23,15,2,1,100.0,0,0,1,0,0,0,0.0,2,0,4,100.0,4,50.0,172,0.0,0,0,0,0,0,0,0,0.0,2,0,0,0,20,0,1,0,65,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,2,1,0,0,4,0,0.0,0,14,33,0,0.1377,4,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alesson,871015,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.6777777777778,9,0,1,3,2,0.90746862,142,163,87.116564417178,32,110,68,9,8,38.095238095238,16,1,1,0,0,4,15.384615384615,12,5,36,46.753246753247,5,38.461538461538,526,0.0,0,0,0,0,0,0,2,28.571428571429,6,0,0,12,85,10,5,3,314,12,7,1,0,9,2,4,0,0,0,0,0,0,0,0,0,7,0.0,9,21,26,7,9,6,37.5,0,39,124,0,1.5799,27,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos Eduardo,795295,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.475,4,0,0,0,0,0.03736058,34,42,80.952380952381,13,21,17,1,1,33.333333333333,1,0,1,0,0,1,20.0,5,0,8,57.142857142857,1,25.0,182,0.0,0,0,0,0,0,0,1,100.0,0,0,0,2,21,1,0,0,74,6,2,0,0,0,4,3,0,0,0,0,0,0,0,0,0,2,0.0,1,3,5,1,5,0,0.0,0,14,28,0,0.1851,2,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everton Galdino,871162,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.54,5,0,0,1,0,0.23541567,27,35,77.142857142857,9,18,11,3,3,75.0,1,0,0,0,0,4,50.0,1,1,5,71.428571428571,1,33.333333333333,121,0.0,0,0,0,0,0,0,1,33.333333333333,0,0,0,1,17,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3,4,8,3,1,0,0.0,0,12,23,0,0.481,3,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Fogaça,934638,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.5333333333333,6,2,1,2,0,0.43493833,48,64,75.0,9,39,31,3,2,33.333333333333,1,0,1,0,0,0,0.0,12,6,5,22.727272727273,4,26.666666666667,231,16.666666666667,0,0,0,0,0,0,1,100.0,0,0,0,4,40,1,2,0,112,2,10,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.0,3,6,4,1,1,0,0.0,0,15,49,0,2.3978,4,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo,76507,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.7,4,1,0,1,0,0.11876515,86,105,81.904761904762,40,46,23,2,0,0.0,1,2,0,0,0,1,33.333333333333,5,3,7,36.842105263158,2,22.222222222222,261,20.0,0,0,0,0,0,0,8,66.666666666667,0,0,0,1,29,0,12,8,137,6,7,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0.0,2,3,3,12,4,0,0.0,0,46,59,0,0.4609,6,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Galeano,883207,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.4375,8,0,0,1,0,0.13363544,51,63,80.952380952381,14,37,18,1,2,28.571428571429,1,1,0,0,0,0,0.0,8,4,8,32.0,2,50.0,225,0.0,0,0,0,0,0,0,0,0.0,0,0,0,6,33,1,1,1,113,5,1,0,0,5,1,2,0,0,0,0,0,0,0,0,0,2,0.0,1,7,5,3,4,0,0.0,0,20,43,0,0.5337,12,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Oliveira,867907,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.9,1,0,0,0,0,0.0338067,48,52,92.307692307692,24,24,7,1,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,50.0,90,0.0,0,0,0,0,0,0,5,71.428571428571,3,0,0,0,5,0,3,2,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,7,1,0,0.0,0,25,27,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Pires,178407,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.5,6,0,0,0,1,0.19749199,125,152,82.236842105263,32,93,51,1,4,80.0,3,4,1,0,0,1,9.0909090909091,10,3,14,51.851851851852,4,50.0,238,0.0,0,0,0,0,0,0,7,77.777777777778,1,0,0,4,46,1,12,8,209,7,5,1,0,3,0,4,0,0,0,0,0,0,0,0,0,2,0.0,1,5,11,9,5,1,33.333333333333,0,40,112,0,0.4954,12,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaylon,874723,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.7666666666667,6,1,1,0,1,0.4923859,175,194,90.20618556701,69,106,58,6,2,25.0,4,1,0,0,0,2,33.333333333333,4,3,6,24.0,2,50.0,319,25.0,0,0,0,0,0,0,7,58.333333333333,1,0,0,3,39,4,18,12,236,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0.0,6,8,6,12,4,4,100.0,0,73,121,0,0.1591,14,1,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denilson,1175760,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.8,3,0,0,0,0,0.05145729,74,80,92.5,39,35,14,1,2,66.666666666667,2,1,0,0,0,0,0.0,0,0,6,50.0,1,100.0,87,0.0,0,0,0,0,0,0,0,0.0,0,0,0,2,10,0,2,1,94,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,3,0,1,2,2,100.0,0,41,39,0,0.0,9,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neto Moura,559034,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.7857142857143,7,0,0,0,0,0.30186355,302,340,88.823529411765,149,153,76,2,0,0.0,8,3,2,0,0,0,0.0,9,1,13,46.428571428571,7,100.0,473,0.0,0,0,0,1,0,0,26,81.25,5,0,0,1,47,1,21,10,401,5,7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0.0,2,1,3,32,10,4,50.0,0,162,178,0,0.3086,20,2,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José Aldo,988851,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.975,8,0,2,0,1,0.744495,352,388,90.721649484536,124,228,119,15,6,46.153846153846,9,9,3,0,0,3,50.0,7,3,18,36.0,8,50.0,557,0.0,0,0,0,0,0,0,21,63.636363636364,8,0,1,7,63,3,31,18,482,3,11,0,0,7,1,2,0,0,0,0,0,0,0,0,0,6,0.0,15,13,6,33,9,5,55.555555555556,0,130,258,0,0.3506,28,2,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Lara,809536,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.56,5,0,0,0,0,0.08184003,92,110,83.636363636364,56,36,11,0,1,50.0,9,6,0,1,1,1,33.333333333333,1,1,14,58.333333333333,4,80.0,302,0.0,0,0,0,0,0,0,3,60.0,9,0,1,2,28,1,4,2,162,4,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,2,3,5,6,6,66.666666666667,0,61,49,0,0.0306,14,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinaldo,243109,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.5714285714286,7,0,1,0,0,0.8086062,200,247,80.971659919028,79,121,82,15,6,40.0,6,2,3,0,0,13,19.69696969697,6,0,16,36.363636363636,4,50.0,580,0.0,0,0,0,0,1,0,22,53.658536585366,12,0,1,9,138,0,38,23,461,4,7,0,0,3,0,4,0,0,0,0,0,0,0,0,0,7,0.0,15,15,66,41,10,4,66.666666666667,0,93,154,0,0.211,23,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Luis,252781,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.5666666666667,3,0,0,0,0,0.4226643,117,135,86.666666666667,45,72,42,4,0,0.0,3,2,1,0,0,2,25.0,2,0,5,41.666666666667,1,25.0,180,0.0,0,0,0,0,1,0,4,44.444444444444,0,0,0,0,29,1,6,4,174,2,3,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0.0,4,1,8,9,3,3,100.0,0,48,87,0,0.0616,5,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willian Machado,925871,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,7.1,8,0,1,0,0,0.33050356,451,502,89.840637450199,268,183,63,4,0,0.0,8,10,2,0,0,2,66.666666666667,6,3,14,53.846153846154,30,81.081081081081,720,0.0,0,0,0,0,0,0,32,59.259259259259,54,0,0,0,58,1,30,19,618,6,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,8,0.0,4,1,3,54,13,3,37.5,0,281,221,0,0.2015,19,8,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Formiga,1009030,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,7.0888888888889,9,3,0,1,0,1.16043658,231,282,81.914893617021,102,129,72,14,6,60.0,23,12,0,0,0,9,28.125,13,5,33,50.0,15,53.571428571429,713,23.076923076923,0,0,0,0,0,0,9,45.0,19,0,1,6,98,3,21,11,486,4,9,0,0,14,0,2,0,0,0,0,0,0,0,0,0,8,0.0,14,10,32,20,11,14,60.869565217391,0,120,162,2,1.7458,35,3,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Cariús,874195,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,5.9,1,0,0,0,0,0.0160333,6,9,66.666666666667,3,3,2,1,0,0.0,1,0,0,0,0,0,0.0,0,0,2,66.666666666667,2,100.0,35,0.0,0,0,0,1,0,0,0,0.0,1,0,0,0,5,0,1,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,1,1,100.0,0,5,4,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Victor,863297,Brasileiro Serie A 2026,Brasileirão Betano,Mirassol,6.8111111111111,9,0,1,2,1,0.09828243,481,525,91.619047619048,330,151,47,3,1,100.0,5,6,1,0,0,0,0.0,4,1,7,58.333333333333,24,63.157894736842,810,0.0,0,0,0,0,0,0,31,65.957446808511,49,1,1,1,50,1,20,14,631,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0.0,3,1,2,47,14,3,60.0,0,346,179,0,0.4282,31,16,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
