İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Prince Amoako Junior,2029508,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.9086956521739,23,6,7,5,4,3.24336279,357,495,72.121212121212,54,303,204,28,44,34.920634920635,22,4,1,0,0,11,22.0,61,23,83,33.603238866397,4,21.052631578947,1774,9.8360655737705,0,0,0,0,0,0,10,52.631578947368,1,0,0,43,384,17,23,10,975,17,21,1,0,19,7,18,0,0,1,0,0,0,0,0,0,23,0.0,28,126,50,19,29,11,50.0,0,68,427,4,5.3248,40,1,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ola Solbakken,920744,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.9058823529412,17,6,4,6,1,3.33770804,435,524,83.015267175573,142,293,158,18,9,45.0,3,5,1,0,0,6,23.076923076923,31,17,19,33.928571428571,6,66.666666666667,1172,19.354838709677,2,2,0,0,1,1,23,50.0,5,0,0,10,149,1,44,23,682,8,12,0,0,6,1,0,0,0,1,0,0,0,0,0,0,15,100.0,18,20,26,46,17,1,33.333333333333,0,157,367,1,5.6414,11,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levy Nene,1882332,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.7818181818182,11,3,1,0,1,0.42680305,61,67,91.044776119403,18,43,32,3,2,33.333333333333,1,1,2,0,0,0,0.0,11,5,8,36.363636363636,1,14.285714285714,256,27.272727272727,0,0,0,0,0,0,2,100.0,3,0,0,3,19,3,2,1,113,5,6,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0.0,3,6,1,2,3,1,100.0,0,18,49,1,1.4693,6,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Lind Rasmussen,963041,Superliga 25/26,Danish Superliga,FC Nordsjælland,7.0461538461538,13,5,2,7,3,1.31904441,123,170,72.352941176471,40,83,57,14,4,33.333333333333,7,4,2,0,0,0,0.0,28,10,33,44.594594594595,20,48.780487804878,968,17.857142857143,0,0,1,0,0,0,6,66.666666666667,9,0,0,17,104,6,6,3,330,22,10,1,0,7,2,7,0,0,1,0,0,0,0,0,0,11,0.0,14,12,1,9,18,5,71.428571428571,0,50,120,3,5.2921,14,2,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Souleymane Alio,1542827,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.45,2,0,0,0,0,0.01261424,7,8,87.5,2,5,2,0,0,0.0,0,1,1,0,0,0,0.0,2,1,1,33.333333333333,0,0.0,23,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,4,0,1,1,19,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0.0,0,3,5,0,0.1757,2,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villum Berthelsen,1863046,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.53,20,0,1,2,0,1.42556628,246,294,83.673469387755,77,169,113,17,15,60.0,10,7,2,0,0,2,50.0,13,5,41,36.607142857143,5,71.428571428571,870,0.0,0,0,0,0,0,0,8,47.058823529412,11,0,0,25,108,6,16,9,463,16,32,0,0,4,4,4,0,0,0,0,0,0,0,0,0,10,0.0,17,25,4,17,17,6,60.0,0,87,207,0,1.0783,28,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Ingi Jóhannesson,1393606,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.9,1,0,0,0,1,0.00021714,1,7,14.285714285714,0,1,1,1,0,0.0,1,1,0,0,0,0,0.0,0,0,1,100.0,1,100.0,10,0.0,0,0,0,0,0,0,0,0.0,3,0,0,0,8,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,1,100.0,0,2,5,0,0.0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibrahim Adel,1008171,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.7666666666667,3,1,0,0,0,0.05819429,24,34,70.588235294118,8,16,11,0,3,42.857142857143,2,0,1,0,0,0,0.0,8,2,8,33.333333333333,3,75.0,155,12.5,0,0,0,0,0,0,1,100.0,1,0,0,4,24,1,4,2,70,3,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0.0,0,7,0,1,1,1,50.0,0,11,23,1,0.7409,3,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Yirenkyi,1986794,Superliga 25/26,Danish Superliga,FC Nordsjælland,7.1409090909091,22,2,4,2,5,2.72325537,1230,1345,91.449814126394,550,680,320,23,19,54.285714285714,43,25,8,0,0,1,20.0,16,6,95,53.370786516854,33,55.0,1894,12.5,0,0,0,1,0,0,48,60.759493670886,40,0,2,26,203,25,52,29,1693,33,35,0,0,9,5,4,0,0,4,0,0,0,0,0,0,22,0.0,23,35,5,79,37,32,74.418604651163,0,582,763,3,1.0924,149,4,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Janssen,1863042,Superliga 25/26,Danish Superliga,FC Nordsjælland,6.9619047619048,21,2,2,0,2,1.11911001,719,794,90.554156171285,349,370,159,11,10,58.823529411765,27,12,4,1,1,3,27.272727272727,8,4,44,53.012048192771,15,51.724137931034,931,25.0,0,0,0,0,0,0,48,63.157894736842,20,0,1,9,105,5,67,44,946,7,12,1,0,11,0,0,0,0,2,0,0,0,0,0,0,9,0.0,11,17,11,76,19,19,70.37037037037,0,374,420,1,0.4511,50,4,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
