İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Monsef Bakrar,1107592,HNL 25/26,HNL,GNK Dinamo Zagreb,6.85,22,8,4,2,3,1.33172933,203,290,70.0,51,152,100,12,15,31.914893617021,14,11,5,0,0,4,18.181818181818,47,16,46,36.507936507937,26,52.0,1182,17.021276595745,0,0,1,0,0,0,5,50.0,10,0,0,22,205,9,5,1,575,17,11,0,0,18,2,12,0,0,1,0,0,0,0,0,0,13,0.0,12,47,22,10,11,11,78.571428571429,0,69,221,3,5.175,50,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dion Drena Beljo,995773,HNL 25/26,HNL,GNK Dinamo Zagreb,7.1928571428571,28,22,4,12,5,1.54166233,303,395,76.708860759494,76,227,143,38,22,46.808510638298,5,4,3,0,0,2,100.0,79,41,60,41.958041958042,40,57.971014492754,1944,27.848101265823,5,5,0,0,0,0,2,66.666666666667,13,0,0,21,201,11,12,7,716,33,34,3,0,7,17,15,0,0,6,0,0,0,0,0,0,24,0.0,38,47,2,3,17,2,40.0,0,94,301,8,18.6633,29,2,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardoso Varela,1586654,HNL 25/26,HNL,GNK Dinamo Zagreb,6.5,12,0,1,0,0,0.67888186,68,89,76.404494382022,16,52,39,6,3,42.857142857143,4,1,1,0,0,5,33.333333333333,6,2,9,30.0,0,0.0,253,0.0,0,0,0,0,0,0,2,100.0,5,0,0,4,53,0,3,1,155,2,9,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0.0,6,7,15,2,6,3,75.0,0,17,72,0,0.1767,9,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arber Hoxha,890663,HNL 25/26,HNL,GNK Dinamo Zagreb,6.92,25,6,6,2,4,2.90002315,300,365,82.191780821918,62,238,173,19,41,51.25,16,5,3,0,0,10,22.727272727273,44,15,80,43.478260869565,5,26.315789473684,1453,13.636363636364,0,0,0,0,0,0,2,50.0,3,0,0,44,236,10,3,1,725,23,19,1,0,4,5,13,1,0,1,0,0,0,0,0,0,16,0.0,18,80,44,4,11,9,56.25,0,72,293,3,2.7182,50,2,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismaël Bennacer,823733,HNL 25/26,HNL,GNK Dinamo Zagreb,7.1307692307692,13,1,2,0,2,1.36244322,423,481,87.941787941788,157,266,139,16,20,58.823529411765,23,7,1,0,0,15,34.090909090909,6,2,71,61.739130434783,7,58.333333333333,773,16.666666666667,0,0,0,0,1,0,20,58.823529411765,1,0,1,16,130,7,36,20,694,28,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0.0,16,34,44,34,11,17,73.913043478261,0,166,315,4,0.3782,64,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabriel Vidović,1129940,HNL 25/26,HNL,GNK Dinamo Zagreb,7.0894736842105,19,6,3,3,3,1.32743553,303,360,84.166666666667,99,204,120,18,16,47.058823529412,16,8,1,0,0,3,42.857142857143,27,10,58,51.785714285714,5,33.333333333333,971,22.222222222222,0,0,1,0,0,0,7,58.333333333333,2,0,0,20,139,11,17,9,580,26,13,0,0,4,0,10,0,0,0,0,0,0,0,0,0,12,0.0,18,34,7,12,7,14,87.5,0,109,251,2,3.1947,68,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Stojković,1102829,HNL 25/26,HNL,GNK Dinamo Zagreb,7.1347826086957,23,6,8,2,11,4.40860655,606,717,84.518828451883,195,411,255,53,11,29.72972972973,23,10,2,1,2,29,32.954545454545,57,22,60,44.117647058824,12,41.379310344828,1370,10.526315789474,0,0,0,0,3,0,37,63.793103448276,4,0,0,21,255,13,48,32,1107,26,11,0,0,19,1,19,1,0,2,0,0,0,0,0,0,14,0.0,52,37,88,58,12,11,47.826086956522,1,212,505,4,4.7861,88,1,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miha Zajc,139256,HNL 25/26,HNL,GNK Dinamo Zagreb,7.255,20,8,9,3,6,4.56116079,582,680,85.588235294118,199,383,232,50,17,60.714285714286,21,12,2,0,0,27,33.75,35,13,43,43.877551020408,6,42.857142857143,1376,22.857142857143,0,0,0,0,2,0,30,71.428571428571,16,0,0,13,215,15,52,33,971,5,17,6,0,15,1,7,1,0,2,0,0,0,0,0,0,18,0.0,49,28,80,42,9,10,47.619047619048,0,214,466,3,4.4602,78,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josip Mišić,243713,HNL 25/26,HNL,GNK Dinamo Zagreb,7.276,25,1,2,1,0,2.12920081,1097,1245,88.112449799197,487,610,277,29,14,77.777777777778,56,40,8,0,0,11,29.72972972973,25,8,87,58.783783783784,17,48.571428571429,2130,4.0,0,0,0,0,1,0,101,75.373134328358,34,0,2,9,202,6,112,71,1542,17,40,1,0,9,0,5,0,0,9,0,0,0,0,0,0,25,0.0,29,18,37,134,15,35,62.5,0,509,736,4,0.9149,133,3,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo Lisica,1034543,HNL 25/26,HNL,GNK Dinamo Zagreb,7.1235294117647,17,2,5,3,5,3.43102294,340,396,85.858585858586,106,234,144,25,9,47.368421052632,19,8,1,0,0,14,34.146341463415,12,5,41,54.666666666667,9,81.818181818182,1070,16.666666666667,0,0,0,0,0,0,11,61.111111111111,8,1,0,4,137,6,19,14,613,13,9,0,0,11,3,1,0,0,1,0,0,0,0,0,0,12,0.0,25,19,41,18,9,11,57.894736842105,0,118,278,2,1.7411,51,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
