İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Salim Fago Lawal,1493501,HNL 25/26,HNL,NK Istra 1961,6.8705882352941,17,5,4,1,2,2.00700855,188,264,71.212121212121,68,120,79,8,18,36.734693877551,16,5,0,0,0,8,20.0,31,11,56,39.43661971831,20,34.48275862069,1321,16.129032258065,0,0,0,0,0,0,4,44.444444444444,20,0,0,26,223,14,10,5,576,22,16,1,0,13,4,9,0,0,1,0,0,0,0,0,0,16,0.0,8,49,40,9,18,11,68.75,0,81,183,1,4.4528,53,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Obando,1394753,HNL 25/26,HNL,NK Istra 1961,6.3,1,0,0,0,0,0.0,0,3,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,50.0,20,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,3,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smail Prevljak,580658,HNL 25/26,HNL,NK Istra 1961,6.9375,24,11,5,8,3,1.78428476,239,319,74.921630094044,76,163,102,16,14,46.666666666667,4,2,2,0,0,2,22.222222222222,44,20,60,41.958041958042,25,33.333333333333,1815,25.0,0,0,0,0,0,0,4,80.0,19,0,1,33,193,8,16,9,601,42,28,2,0,7,12,13,1,0,2,0,0,0,0,0,0,21,0.0,15,30,9,5,25,2,50.0,0,86,233,3,7.5282,33,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Adah Agada,1809085,HNL 25/26,HNL,NK Istra 1961,6.4777777777778,9,0,0,1,0,0.00481744,10,17,58.823529411765,4,6,4,0,1,25.0,0,0,0,0,0,0,0.0,4,3,10,43.478260869565,11,57.894736842105,147,0.0,0,0,0,0,0,0,0,0.0,0,0,0,6,31,2,3,1,64,9,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,1,1,3,0,0.0,0,5,12,0,0.6224,4,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nik Škafar Žužić,2053363,HNL 25/26,HNL,NK Istra 1961,6.5666666666667,3,0,0,0,0,0.04797666,5,10,50.0,3,2,2,0,1,20.0,3,0,0,0,0,0,0.0,0,0,5,50.0,2,100.0,50,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,15,0,0,0,27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,3,0,2,2,66.666666666667,0,3,7,0,0.0,0,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Celija,1540097,HNL 25/26,HNL,NK Istra 1961,6.85,2,0,0,0,0,0.07947915,4,5,80.0,1,3,3,1,0,0.0,3,0,0,0,0,1,100.0,1,1,5,83.333333333333,0,0.0,28,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,1,0,3,3,100.0,0,1,4,0,0.0068,2,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul Kumar,1841798,HNL 25/26,HNL,NK Istra 1961,6.7571428571429,14,0,0,0,0,0.24542242,505,594,85.016835016835,341,164,47,1,4,44.444444444444,12,11,1,0,0,0,0.0,4,2,17,41.463414634146,19,51.351351351351,1085,0.0,0,0,0,0,0,0,32,42.666666666667,76,1,1,2,107,1,48,23,772,1,10,0,0,7,0,0,0,0,1,0,0,0,0,0,0,13,0.0,1,9,1,75,14,9,75.0,0,375,219,1,0.2999,48,12,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stjepan Lončar,842571,HNL 25/26,HNL,NK Istra 1961,6.776,25,3,6,3,5,4.83507998,591,759,77.865612648221,221,370,230,39,31,50.819672131148,20,9,6,0,0,23,36.507936507937,28,8,66,42.03821656051,12,31.578947368421,2122,10.714285714286,0,0,0,0,3,0,27,41.538461538462,17,1,0,22,310,13,70,33,1113,15,26,2,0,13,4,8,0,0,3,0,0,0,0,0,0,25,0.0,39,61,63,65,34,12,60.0,0,252,507,2,3.0945,85,7,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinko Rozić,1120015,HNL 25/26,HNL,NK Istra 1961,6.4684210526316,19,1,0,4,0,0.50471168,213,276,77.173913043478,71,142,67,7,14,43.75,11,6,5,0,0,3,10.714285714286,27,5,36,41.860465116279,14,58.333333333333,1060,3.7037037037037,0,0,0,0,0,0,5,62.5,10,0,0,12,160,6,18,8,487,11,12,2,0,8,2,14,0,0,1,0,0,0,0,0,0,11,0.0,7,32,28,8,15,7,63.636363636364,0,91,185,0,3.4944,49,1,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gustavo Albarracín,1482413,HNL 25/26,HNL,NK Istra 1961,6.2,1,0,0,0,0,0.00686154,7,10,70.0,2,5,3,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,25.0,0,0.0,26,0.0,0,0,0,0,0,0,0,0.0,2,0,0,2,6,0,1,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0.0,0,2,8,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josip Radošević,136706,HNL 25/26,HNL,NK Istra 1961,6.9259259259259,27,1,5,1,0,2.06093095,1039,1232,84.334415584416,528,511,225,25,7,38.888888888889,69,31,3,0,0,13,34.210526315789,14,5,96,51.336898395722,21,61.764705882353,2430,7.1428571428571,0,0,0,1,0,0,59,49.579831932773,45,1,1,24,291,13,122,69,1634,21,24,0,0,32,1,2,0,0,4,0,0,0,0,0,0,27,0.0,25,18,38,119,37,40,57.971014492754,0,577,655,0,0.5668,153,14,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Maurić,1163552,HNL 25/26,HNL,NK Istra 1961,6.81,20,2,1,0,0,0.55943007,502,570,88.070175438596,248,254,116,12,12,52.173913043478,22,10,4,0,0,1,12.5,15,2,55,57.894736842105,6,37.5,1328,13.333333333333,0,0,0,0,1,1,20,64.516129032258,19,0,0,5,112,8,22,14,745,21,14,0,0,13,3,4,0,0,1,0,0,0,0,0,0,16,100.0,12,23,8,31,15,11,50.0,0,269,301,0,1.1105,81,4,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dukan Ahmeti,1596101,HNL 25/26,HNL,NK Istra 1961,6.65,6,0,0,0,0,0.55894324,49,66,74.242424242424,24,25,13,5,3,42.857142857143,4,2,0,0,0,3,60.0,0,0,13,44.827586206897,4,36.363636363636,263,0.0,0,0,0,0,0,0,0,0.0,2,0,0,6,39,1,1,1,118,6,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,5,7,5,2,3,3,75.0,0,29,37,0,0.0,8,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Israel Ayuma,1527139,HNL 25/26,HNL,NK Istra 1961,6.5866666666667,15,1,0,1,0,0.10049374,220,255,86.274509803922,125,95,40,3,3,33.333333333333,17,10,1,0,0,0,0.0,11,4,23,34.848484848485,5,50.0,709,9.0909090909091,0,0,0,0,0,0,15,68.181818181818,14,0,1,8,68,0,10,5,376,3,18,0,0,11,0,4,0,0,0,0,0,0,0,0,0,8,0.0,3,9,2,22,13,11,64.705882352941,0,139,116,0,2.1248,36,1,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silvio Goričan,1003397,HNL 25/26,HNL,NK Istra 1961,6.5625,8,0,1,0,1,0.50508765,52,69,75.36231884058,8,44,27,2,2,25.0,9,0,0,0,0,2,25.0,3,1,16,51.612903225806,0,0.0,274,0.0,0,0,0,0,1,0,3,37.5,4,0,0,4,51,0,7,4,144,5,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0.0,2,8,8,8,7,5,55.555555555556,0,14,55,0,0.1636,14,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
