İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Ilija Nestorovski,55314,HNL 25/26,HNL,NK Slaven Belupo,6.8,21,6,2,5,3,0.86489822,334,506,66.00790513834,133,201,124,17,6,60.0,10,2,7,0,1,1,25.0,62,21,57,42.857142857143,74,51.034482758621,1648,9.6774193548387,2,1,0,0,0,0,24,54.545454545455,19,0,0,29,256,9,62,29,792,43,42,3,0,4,16,12,0,0,2,0,0,0,0,0,0,18,0.0,17,10,4,44,24,8,80.0,1,168,338,4,8.2874,32,5,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabrijel Šivalec,2191245,HNL 25/26,HNL,NK Slaven Belupo,6.5909090909091,11,0,0,0,0,0.10476906,64,82,78.048780487805,21,43,23,1,3,50.0,7,1,0,0,0,2,28.571428571429,3,0,12,46.153846153846,1,100.0,274,0.0,0,0,0,0,0,0,1,20.0,4,0,1,6,43,1,9,4,133,2,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,2,0.0,1,6,7,5,3,4,57.142857142857,0,30,52,0,0.0733,14,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Dabro,283859,HNL 25/26,HNL,NK Slaven Belupo,6.4875,16,0,1,3,2,0.83400461,93,126,73.809523809524,22,71,41,5,6,50.0,8,0,0,0,0,2,33.333333333333,20,4,25,40.322580645161,9,30.0,646,0.0,0,0,0,0,1,0,3,50.0,5,0,0,11,85,13,2,1,250,11,13,1,0,8,7,6,0,0,0,0,0,0,0,0,0,5,0.0,5,12,6,6,9,5,62.5,0,28,98,0,1.284,24,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Božić,827383,HNL 25/26,HNL,NK Slaven Belupo,6.625,4,1,0,2,0,0.16940097,50,64,78.125,18,32,18,7,0,0.0,6,1,1,1,1,2,18.181818181818,7,4,9,39.130434782609,6,60.0,324,14.285714285714,0,0,0,0,0,0,1,50.0,2,0,0,5,45,1,2,1,129,3,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0.0,7,3,11,2,4,2,33.333333333333,0,20,44,0,1.4513,13,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Ascic,1912946,HNL 25/26,HNL,NK Slaven Belupo,6.5,1,0,0,0,0,0.019108,5,6,83.333333333333,0,5,3,0,1,100.0,0,0,0,0,0,0,0.0,2,0,2,50.0,1,100.0,32,0.0,0,0,0,0,0,0,1,100.0,0,0,0,0,1,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0.0,0,0,6,0,0.0984,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Mažar,1152930,HNL 25/26,HNL,NK Slaven Belupo,6.7777777777778,9,1,0,0,0,0.13485921,172,204,84.313725490196,90,82,41,2,11,50.0,16,7,1,0,0,0,0.0,9,3,38,55.072463768116,7,38.888888888889,658,11.111111111111,0,0,0,0,0,0,12,80.0,8,0,0,10,80,1,7,3,342,11,4,0,0,6,0,4,0,0,0,0,0,0,0,0,0,8,0.0,2,22,3,15,12,13,81.25,0,99,105,1,0.4028,31,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernis Qestaj,1823924,HNL 25/26,HNL,NK Slaven Belupo,6.3333333333333,3,0,0,0,0,0.14707947,12,19,63.157894736842,2,10,7,0,1,25.0,1,2,0,0,0,0,0.0,4,1,3,25.0,3,33.333333333333,132,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,18,1,1,0,45,1,5,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0,4,2,0,5,1,100.0,0,4,15,0,0.2892,3,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivan Ćubelić,965022,HNL 25/26,HNL,NK Slaven Belupo,6.6692307692308,26,1,1,0,0,0.66931122,580,768,75.520833333333,305,275,134,11,14,51.851851851852,45,22,2,1,1,1,9.0909090909091,24,3,77,45.562130177515,26,59.090909090909,1636,4.1666666666667,0,0,1,0,2,0,57,51.351351351351,30,1,2,13,269,9,88,45,1081,18,33,2,0,34,0,4,0,0,4,0,0,0,0,0,0,19,0.0,11,27,11,111,25,27,60.0,0,347,421,1,1.0084,107,7,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josip Mitrović,880751,HNL 25/26,HNL,NK Slaven Belupo,6.8962962962963,27,7,5,2,2,2.33523446,404,522,77.394636015326,155,249,147,28,16,45.714285714286,31,20,3,0,0,17,26.984126984127,38,15,100,56.179775280899,25,40.983606557377,2078,18.421052631579,0,0,1,0,1,0,14,34.146341463415,27,0,0,18,267,26,23,6,971,53,20,4,0,22,8,9,1,0,3,0,0,0,0,0,0,25,0.0,27,35,63,41,40,20,64.516129032258,0,181,341,4,4.714,94,0,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alen Grgić,344177,HNL 25/26,HNL,NK Slaven Belupo,6.7166666666667,6,1,1,1,0,0.54847906,52,78,66.666666666667,10,42,26,7,2,22.222222222222,0,5,0,0,0,4,25.0,7,2,10,35.714285714286,8,50.0,370,14.285714285714,0,0,0,1,0,0,5,83.333333333333,2,0,0,6,70,3,4,2,170,8,4,0,0,2,3,2,0,0,0,0,0,0,0,0,0,5,0.0,7,9,16,6,6,0,0.0,0,19,59,0,0.2751,14,1,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mihail Caimacov,884871,HNL 25/26,HNL,NK Slaven Belupo,6.7733333333333,15,1,0,0,0,0.5619439,312,379,82.321899736148,159,153,83,7,9,60.0,20,16,4,0,0,3,33.333333333333,5,3,52,57.142857142857,12,50.0,885,20.0,0,0,0,0,0,0,17,54.838709677419,18,0,1,9,110,1,20,11,565,23,19,0,0,8,0,2,0,0,0,0,0,0,0,0,0,11,0.0,7,15,9,31,15,16,80.0,0,174,205,1,0.8015,38,1,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igor Lepinjica,1050025,HNL 25/26,HNL,NK Slaven Belupo,6.4315789473684,19,1,1,1,0,0.37976525,130,177,73.446327683616,50,80,39,7,4,30.769230769231,8,1,1,0,0,0,0.0,10,2,20,39.21568627451,13,28.260869565217,774,10.0,0,0,0,1,0,0,6,60.0,8,0,0,12,108,3,10,4,306,8,8,1,0,4,1,2,0,0,0,0,0,0,0,0,0,8,0.0,7,13,8,10,16,4,50.0,0,59,118,0,1.3965,27,1,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Bošnjak,1490033,HNL 25/26,HNL,NK Slaven Belupo,6.4666666666667,6,0,0,0,1,0.0783477,29,35,82.857142857143,15,14,7,1,0,0.0,0,0,0,1,1,0,0.0,1,0,2,33.333333333333,0,0.0,73,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,13,0,1,0,47,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,2,0,0.0,0,15,20,0,0.0461,2,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ljuban Crepulja,89346,HNL 25/26,HNL,NK Slaven Belupo,6.995,20,1,3,0,4,1.15250719,686,759,90.38208168643,333,353,159,15,4,44.444444444444,20,9,0,0,0,15,31.914893617021,6,3,30,48.387096774194,15,62.5,1119,16.666666666667,1,1,0,0,1,0,57,66.279069767442,16,1,1,3,128,2,74,49,926,6,4,0,0,21,1,0,0,0,3,0,0,0,0,0,0,12,0.0,15,9,47,86,24,8,40.0,0,349,410,3,1.0189,77,3,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Krušelj,1484306,HNL 25/26,HNL,NK Slaven Belupo,6.6666666666667,18,0,1,0,2,1.33748725,411,559,73.524150268336,211,200,96,14,8,50.0,42,24,4,0,0,14,25.0,14,2,59,53.153153153153,17,51.515151515152,1510,0.0,0,0,0,0,0,0,20,29.850746268657,45,0,0,13,282,3,55,26,1078,9,20,0,0,12,5,6,0,0,2,0,0,0,0,0,0,18,0.0,14,16,56,67,22,29,69.047619047619,0,266,293,0,0.6431,85,7,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zvonimir Katalinić,1402872,HNL 25/26,HNL,NK Slaven Belupo,6.55,8,0,1,0,0,0.6499029,148,178,83.14606741573,70,78,36,2,1,50.0,6,3,2,0,0,3,42.857142857143,0,0,9,34.615384615385,9,60.0,414,0.0,0,0,0,0,0,0,13,54.166666666667,16,0,0,2,49,0,10,3,258,3,8,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,2,7,24,9,3,50.0,0,84,94,0,0.0,16,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonard Žuta,228338,HNL 25/26,HNL,NK Slaven Belupo,6.7210526315789,19,2,1,0,1,0.76446345,396,556,71.223021582734,236,160,65,7,3,75.0,21,5,2,0,0,12,28.571428571429,8,2,26,50.980392156863,25,67.567567567568,1398,25.0,0,0,0,0,1,1,36,33.962264150943,57,1,2,2,229,0,88,36,873,3,16,0,0,6,2,3,0,0,2,0,0,0,0,0,0,16,100.0,7,4,42,106,22,10,47.619047619048,0,282,274,2,0.2662,31,8,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Jakir,1146489,HNL 25/26,HNL,NK Slaven Belupo,6.69,20,0,0,1,0,0.71348042,298,391,76.214833759591,146,152,73,10,4,44.444444444444,27,16,3,0,0,17,32.075471698113,7,2,49,55.681818181818,19,55.882352941176,1055,0.0,0,0,0,1,0,0,24,37.5,39,0,0,7,177,1,38,12,700,18,17,0,0,11,1,1,0,0,3,0,0,0,0,0,0,12,0.0,10,9,53,64,18,18,66.666666666667,0,167,224,0,0.494,40,4,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Jović,944504,HNL 25/26,HNL,NK Slaven Belupo,6.75,2,0,0,0,0,0.01368573,7,7,100.0,2,5,4,1,1,100.0,0,0,0,0,0,0,0.0,0,0,2,66.666666666667,0,0.0,36,0.0,0,0,0,0,0,0,1,100.0,3,0,0,1,5,0,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,1,0,0,0.0,0,2,5,0,0.0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
