İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Sam Lammers,804901,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.75,20,5,8,10,5,2.41700841,221,306,72.222222222222,51,170,108,22,8,50.0,12,1,0,0,0,1,25.0,41,17,35,54.6875,35,49.295774647887,1141,12.19512195122,2,2,2,0,0,0,3,50.0,7,0,0,7,145,8,18,11,493,16,13,1,0,3,2,7,0,0,1,0,0,0,0,0,0,12,0.0,22,16,4,6,11,5,41.666666666667,0,63,243,2,8.6348,20,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricky van Wolfswinkel,35193,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.7269230769231,26,8,2,4,0,1.14247475,238,341,69.794721407625,79,159,98,22,6,40.0,21,8,4,0,0,0,0.0,39,18,53,45.689655172414,43,40.566037735849,1602,20.512820512821,6,6,2,0,0,0,9,75.0,23,0,0,7,163,9,16,9,579,27,36,1,0,13,4,13,0,0,1,0,0,0,0,0,0,17,0.0,22,15,7,12,23,15,71.428571428571,0,98,243,1,8.7984,44,2,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Vennegoor of Hesselink,1634542,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.36,5,0,0,1,0,0.53998972,10,22,45.454545454545,1,9,7,2,0,0.0,0,0,0,0,0,1,50.0,6,0,0,0.0,3,60.0,71,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,16,1,1,0,35,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,1,0,0.0,0,3,19,0,0.3311,1,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramiz Zerrouki,989882,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,7.1962962962963,27,3,4,1,1,3.2583902,1208,1449,83.367839889579,402,806,447,33,13,72.222222222222,51,33,2,1,1,16,25.806451612903,25,8,79,50.641025641026,43,54.430379746835,2261,12.0,0,0,0,0,3,0,121,61.111111111111,65,0,0,14,340,9,158,96,1843,16,39,0,0,20,0,7,0,0,4,0,0,0,0,0,0,27,0.0,33,18,62,198,27,30,58.823529411765,0,456,993,3,1.176,117,5,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Pjaca,190435,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.8260869565217,23,2,3,4,1,2.80331321,294,355,82.816901408451,80,214,122,14,22,47.826086956522,12,9,1,0,0,10,35.714285714286,22,11,46,48.936170212766,14,48.275862068966,853,9.0909090909091,0,0,0,0,0,0,14,77.777777777778,19,0,0,16,149,7,17,10,578,13,7,2,0,1,0,4,0,0,0,0,0,0,0,0,0,7,0.0,14,46,28,18,9,7,58.333333333333,0,90,265,0,2.3509,43,0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristian Hlynsson,1160026,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.8642857142857,28,8,4,6,3,3.26713228,666,820,81.219512195122,233,433,271,26,13,34.210526315789,29,14,0,0,1,4,16.666666666667,78,30,74,46.25,15,36.585365853659,2143,10.25641025641,0,0,0,0,3,0,21,48.837209302326,14,0,0,16,267,17,38,23,1186,32,25,0,0,20,3,28,0,0,1,0,0,0,0,0,0,26,0.0,26,38,24,43,25,20,68.965517241379,1,283,537,0,9.3026,96,4,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sondre Ørjasæter,1200962,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.9333333333333,24,1,6,3,6,6.08930245,464,582,79.725085910653,79,385,276,53,48,53.333333333333,17,4,2,0,0,12,19.047619047619,51,15,79,44.134078212291,11,32.352941176471,1778,1.9607843137255,0,0,0,0,0,0,16,69.565217391304,2,0,1,35,301,21,28,13,994,14,11,3,0,12,3,17,1,0,0,0,0,0,0,0,0,23,0.0,52,90,63,23,20,12,70.588235294118,0,101,481,1,3.3639,76,2,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daan Rots,1048430,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.9896551724138,29,8,10,5,3,6.779241,554,738,75.067750677507,116,438,307,46,26,37.142857142857,38,8,5,0,0,19,21.111111111111,57,24,102,40.963855421687,25,32.051282051282,2041,14.035087719298,0,0,0,0,0,0,24,46.153846153846,18,0,0,47,413,16,62,30,1278,39,23,0,0,33,4,15,0,0,3,0,0,0,0,0,0,24,0.0,46,70,90,52,21,21,55.263157894737,0,141,597,1,5.8941,80,2,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taylor Booth,906024,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.6111111111111,9,0,3,0,0,0.95085721,92,113,81.41592920354,23,69,42,5,2,18.181818181818,11,1,1,0,0,10,41.666666666667,9,2,17,39.53488372093,3,23.076923076923,355,0.0,0,0,0,0,0,0,5,50.0,2,0,0,5,61,2,5,4,215,4,9,0,0,3,0,5,0,0,0,0,0,0,0,0,0,4,0.0,5,11,24,10,5,7,63.636363636364,0,27,86,0,0.541,14,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Van den Belt,945233,VriendenLoterij Eredivisie 25/26,VriendenLoterij Eredivisie,FC Twente,6.8071428571429,28,3,1,6,1,2.42145459,740,919,80.522306855277,287,453,234,31,10,52.631578947368,36,27,5,0,0,1,11.111111111111,45,14,57,52.293577981651,30,48.387096774194,1874,6.6666666666667,0,0,0,0,0,0,30,50.0,37,0,0,11,248,17,44,24,1241,11,19,1,0,13,2,15,1,0,3,0,0,0,0,0,0,23,0.0,30,19,9,60,19,24,66.666666666667,0,337,582,0,5.446,112,4,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
