İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Bilal El Khannouss,1126569,Championship 25/26,Championship,Leicester City,7.45,2,0,3,1,2,0.462579,64,78,82.051282051282,10,54,38,6,3,75.0,2,3,0,0,0,3,20.0,5,1,6,46.153846153846,1,50.0,135,0.0,0,0,0,0,0,0,2,66.666666666667,0,0,0,4,34,1,2,2,118,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0.0,6,4,15,3,2,2,100.0,0,13,65,1,0.5896,8,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wout Faes,361696,Championship 25/26,Championship,Leicester City,6.7285714285714,14,1,0,0,1,0.48709108,548,604,90.728476821192,343,205,68,2,1,100.0,6,8,1,0,0,1,50.0,7,3,10,52.631578947368,10,33.333333333333,864,14.285714285714,0,0,0,1,0,0,23,45.098039215686,62,0,0,0,60,0,39,18,720,3,6,0,0,3,0,0,0,0,1,0,0,0,0,0,0,9,0.0,2,1,2,51,14,5,83.333333333333,0,354,250,1,0.7291,33,2,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patson Daka,865057,Championship 25/26,Championship,Leicester City,6.5428571428571,35,5,2,11,4,0.50051356,198,288,68.75,65,133,70,16,5,41.666666666667,16,2,1,0,0,1,12.5,44,16,48,48.979591836735,40,33.333333333333,1668,11.363636363636,1,0,0,0,0,0,2,50.0,24,0,0,15,183,8,3,2,560,27,19,1,0,10,14,8,0,0,0,0,0,0,0,0,0,16,0.0,16,12,8,4,29,9,56.25,0,83,205,2,6.4873,20,2,36,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Ayew,103045,Championship 25/26,Championship,Leicester City,6.5945945945946,37,6,5,1,3,2.2222481,410,492,83.333333333333,144,266,147,26,22,51.162790697674,25,11,4,0,0,13,24.528301886792,45,18,102,42.857142857143,43,29.251700680272,2205,13.333333333333,3,2,0,0,4,0,5,33.333333333333,44,0,0,59,289,14,9,7,1001,55,47,3,0,13,8,11,0,0,2,0,0,0,0,0,0,24,0.0,26,43,53,15,35,19,76.0,0,160,332,0,5.2844,76,3,38,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dujuan Richards,1498836,Championship 25/26,Championship,Leicester City,6.5333333333333,3,0,0,0,0,0.00189223,9,12,75.0,5,4,1,0,1,50.0,0,0,0,0,0,0,0.0,1,1,2,33.333333333333,2,100.0,35,0.0,0,0,0,0,0,0,2,100.0,0,0,0,2,9,0,1,1,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,1,2,0,0,0.0,0,6,6,0,0.0445,2,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamza Choudhury,833057,Championship 25/26,Championship,Leicester City,6.7791666666667,24,0,3,0,0,0.90460763,650,753,86.321381142098,342,308,106,12,3,50.0,42,20,5,0,0,3,37.5,7,0,56,65.116279069767,19,63.333333333333,1255,0.0,0,0,0,0,0,0,20,38.461538461538,47,0,2,8,144,0,43,17,1060,11,12,0,0,7,0,1,0,0,0,0,0,0,0,0,0,14,0.0,12,6,8,52,21,22,52.380952380952,0,370,383,0,0.3203,40,13,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divine Mukasa,1467990,Championship 25/26,Championship,Leicester City,6.9636363636364,11,2,5,1,3,2.33044467,225,296,76.013513513514,88,137,75,20,9,60.0,11,1,1,0,0,9,42.857142857143,18,6,24,47.058823529412,17,51.515151515152,610,11.111111111111,0,0,0,0,2,0,16,61.538461538462,3,0,0,13,121,2,32,17,431,4,7,0,0,2,3,5,0,0,0,0,0,0,0,0,0,7,0.0,20,15,21,26,12,3,27.272727272727,0,101,195,0,1.3725,33,2,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdul Fatawu Issahaku,1103589,Championship 25/26,Championship,Leicester City,6.8675,40,9,8,3,7,5.77377187,661,939,70.394036208733,229,432,283,52,105,43.032786885246,41,18,8,0,0,37,21.764705882353,101,27,214,45.338983050847,37,36.633663366337,3368,8.9108910891089,0,0,2,0,4,0,37,43.023255813953,55,0,0,58,786,26,84,31,2022,69,47,2,0,19,15,36,0,0,2,0,0,0,0,0,0,39,0.0,52,244,170,86,57,21,51.219512195122,0,285,654,0,4.6452,173,3,40,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremy Monga,1861707,Championship 25/26,Championship,Leicester City,6.5708333333333,24,1,1,0,2,0.6247008,159,190,83.684210526316,20,139,101,7,22,37.931034482759,10,0,2,0,0,2,7.6923076923077,6,2,48,37.209302325581,1,25.0,823,16.666666666667,0,0,0,0,0,0,2,66.666666666667,2,0,1,30,155,4,1,0,403,16,14,0,0,3,2,1,0,0,0,0,0,0,0,0,0,7,0.0,7,58,26,3,9,5,50.0,0,25,165,0,0.3134,29,0,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephy Mavididi,605338,Championship 25/26,Championship,Leicester City,6.5810810810811,37,2,1,6,1,2.1814264,565,713,79.242636746143,165,400,239,21,47,43.518518518519,49,13,4,0,0,10,24.390243902439,55,16,128,44.290657439446,9,20.0,2437,3.6363636363636,0,0,1,0,2,0,15,51.724137931034,20,0,0,45,380,16,24,8,1284,32,29,2,0,29,6,23,0,0,1,0,0,0,0,0,0,31,0.0,21,108,41,29,48,23,46.938775510204,0,199,514,0,4.4144,118,1,37,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
