İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Gustavo Nunes,1514747,Championship 25/26,Championship,Swansea City,6.58,10,0,1,1,1,0.41294323,95,134,70.89552238806,27,68,35,3,11,44.0,8,1,0,0,0,4,18.181818181818,5,2,29,45.3125,6,50.0,439,0.0,0,0,0,0,0,0,2,40.0,5,0,0,8,106,4,8,1,264,10,9,0,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0.0,3,25,22,5,6,4,50.0,0,36,98,0,0.3426,23,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Žan Vipotnik,1000160,Championship 25/26,Championship,Swansea City,6.9128205128205,39,20,7,12,2,2.59725813,322,456,70.614035087719,115,207,133,26,6,27.272727272727,7,6,2,0,0,1,33.333333333333,82,32,35,40.697674418605,61,35.057471264368,2652,24.390243902439,3,3,0,0,4,1,11,57.894736842105,34,0,0,14,227,15,18,9,756,22,21,1,0,4,22,22,0,0,4,0,0,0,0,0,0,31,25.0,26,22,3,19,35,3,42.857142857143,0,150,306,4,11.203,36,3,39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Idah,879850,Championship 25/26,Championship,Swansea City,6.53,20,4,1,2,2,0.9174199,105,154,68.181818181818,31,74,46,15,4,44.444444444444,2,1,1,0,0,0,0.0,17,7,9,24.324324324324,14,30.434782608696,688,23.529411764706,1,1,0,0,1,0,0,0.0,12,0,0,16,96,7,2,0,263,3,7,0,0,0,5,4,0,0,0,0,0,0,0,0,0,5,0.0,15,9,5,2,14,2,100.0,0,39,115,0,3.5093,18,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Cullen,1006994,Championship 25/26,Championship,Swansea City,6.6764705882353,34,5,0,5,0,0.85528517,321,399,80.451127819549,139,182,103,14,2,16.666666666667,24,10,6,0,0,1,11.111111111111,37,15,47,43.119266055046,23,35.384615384615,1550,13.513513513514,0,0,1,0,2,0,11,44.0,30,0,0,16,143,8,23,14,651,22,25,3,1,12,5,10,0,0,1,0,0,0,0,0,0,15,0.0,14,12,9,25,29,15,62.5,0,151,248,0,3.6761,40,3,35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeidane Inoussa,1065865,Championship 25/26,Championship,Swansea City,6.6,25,0,2,1,2,1.88029492,258,331,77.945619335347,68,190,126,16,27,43.548387096774,16,5,4,0,0,2,11.111111111111,17,6,69,45.695364238411,16,32.65306122449,1084,0.0,0,0,0,0,0,0,4,44.444444444444,14,0,0,14,193,6,9,6,611,26,30,0,0,3,6,6,0,0,0,0,0,0,0,0,0,12,0.0,16,62,18,9,14,10,62.5,0,80,251,0,1.223,59,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malick Yalcouyé,1568186,Championship 25/26,Championship,Swansea City,6.6724137931034,29,1,1,1,2,0.82610387,405,476,85.084033613445,219,186,104,12,9,45.0,17,4,3,1,1,2,33.333333333333,11,4,60,57.692307692308,10,40.0,921,9.0909090909091,0,0,0,0,0,0,11,47.826086956522,4,0,1,12,126,7,11,3,665,37,9,0,0,12,0,2,0,0,0,0,0,0,0,0,0,9,0.0,12,20,6,23,13,9,52.941176470588,0,234,242,1,1.0492,55,1,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Walta,1018786,Championship 25/26,Championship,Swansea City,6.5666666666667,6,0,0,0,0,0.12996743,45,59,76.271186440678,13,32,16,1,2,100.0,2,3,0,0,0,0,0.0,2,0,9,56.25,0,0.0,123,0.0,0,0,0,0,0,0,0,0.0,1,0,0,3,24,0,4,1,91,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,4,4,3,2,100.0,0,16,43,0,0.0621,2,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ji-sung Eom,1002508,Championship 25/26,Championship,Swansea City,6.76,40,2,8,3,1,5.53267483,460,600,76.666666666667,148,312,185,49,20,41.666666666667,42,17,2,0,0,40,29.850746268657,47,13,108,52.173913043478,40,38.095238095238,2198,4.2553191489362,0,0,1,1,2,0,19,43.181818181818,39,0,1,28,365,13,34,15,1169,46,29,0,0,16,7,17,0,0,1,0,0,0,0,0,0,28,0.0,49,48,134,44,35,31,73.809523809524,0,188,412,0,3.2232,82,4,40,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Stamenić,1002620,Championship 25/26,Championship,Swansea City,6.73125,32,2,2,2,2,0.84559507,1029,1210,85.04132231405,607,422,157,9,8,50.0,42,44,11,0,0,0,0.0,21,8,64,45.714285714286,31,43.661971830986,2201,9.5238095238095,0,0,0,0,0,0,48,45.714285714286,53,0,1,9,231,3,76,39,1526,15,47,0,0,14,2,7,0,0,6,0,0,0,0,0,0,25,0.0,9,16,5,105,27,27,64.285714285714,0,674,536,1,1.7675,96,6,32,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethan Galbraith,158661,Championship 25/26,Championship,Swansea City,6.9153846153846,39,3,3,2,1,3.68157593,1712,2104,81.368821292776,825,887,453,30,32,56.140350877193,54,39,6,0,0,18,29.032258064516,57,13,127,52.916666666667,41,53.947368421053,3108,5.2631578947368,0,0,1,0,5,0,122,42.068965517241,54,0,1,30,597,13,222,100,2846,42,31,0,0,27,1,24,0,0,5,0,0,0,0,0,0,36,0.0,30,57,62,290,46,37,68.518518518519,0,931,1173,1,2.7464,201,5,39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
