İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Alejandro Garnacho,1135873,Premier League 25/26,Premier League,Chelsea,6.835,20,1,6,7,4,3.58825317,361,408,88.480392156863,100,261,181,26,11,35.483870967742,13,4,2,0,0,8,14.285714285714,28,7,43,50.0,3,21.428571428571,1132,3.5714285714286,0,0,0,0,0,0,12,100.0,5,0,0,7,165,9,4,2,639,19,8,2,0,8,1,6,0,0,1,0,0,0,0,0,0,14,0.0,26,31,56,12,16,10,76.923076923077,0,108,300,1,3.1113,39,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Pedro,975079,Premier League 25/26,Premier League,Chelsea,7.1,31,14,6,11,5,1.91265602,473,617,76.661264181524,163,310,173,28,27,45.0,25,5,4,0,0,1,7.1428571428571,63,27,97,46.411483253589,65,48.148148148148,2323,22.222222222222,0,0,3,0,0,0,11,52.380952380952,26,0,0,48,332,14,26,13,1088,46,32,0,0,4,14,18,0,0,3,0,0,0,0,0,0,27,0.0,28,60,14,21,27,16,64.0,0,195,422,3,13.538,65,5,31,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Guiu,1414933,Premier League 25/26,Premier League,Chelsea,6.2888888888889,9,0,1,3,1,0.29707022,20,30,66.666666666667,4,16,10,3,1,25.0,0,0,1,0,0,0,0.0,12,2,3,16.666666666667,5,35.714285714286,258,0.0,0,0,0,0,0,0,0,0.0,4,0,0,1,23,0,1,1,67,2,9,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0.0,3,4,0,0,2,0,0.0,0,6,24,0,1.4653,3,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liam Delap,997087,Premier League 25/26,Premier League,Chelsea,6.5181818181818,22,1,0,4,0,0.19590058,103,148,69.594594594595,23,80,49,2,7,77.777777777778,4,1,2,0,0,0,0.0,31,11,26,40.0,22,45.833333333333,815,3.2258064516129,0,0,1,0,0,0,1,50.0,9,0,1,15,100,4,2,0,292,15,17,1,0,5,2,8,0,0,0,0,0,0,0,0,0,9,0.0,2,9,6,2,13,3,75.0,0,29,119,0,3.9219,19,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cole Palmer,982780,Premier League 25/26,Premier League,Chelsea,7.105,20,9,3,4,1,1.88739433,511,609,83.908045977011,179,332,216,20,19,38.0,20,12,4,0,0,3,11.111111111111,45,19,64,46.376811594203,0,0.0,1426,20.0,5,5,0,0,3,0,31,65.957446808511,9,0,0,24,215,14,29,16,894,25,12,0,0,8,1,13,1,0,2,0,0,0,0,0,0,18,0.0,19,50,27,47,22,11,55.0,0,198,411,2,8.5893,63,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estêvão,1597265,Premier League 25/26,Premier League,Chelsea,6.8105263157895,19,2,4,2,2,2.1868853,209,258,81.007751937984,55,154,105,15,29,43.283582089552,11,4,3,0,0,5,31.25,26,7,47,38.842975206612,3,21.428571428571,769,7.6923076923077,0,0,1,0,0,0,4,50.0,5,0,0,16,141,5,13,7,465,7,11,1,0,10,4,11,0,0,0,0,0,0,0,0,0,10,0.0,15,67,16,8,9,5,45.454545454545,0,64,194,0,2.8314,34,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enzo Fernández,974505,Premier League 25/26,Premier League,Chelsea,7.1233333333333,30,8,10,8,3,5.9721652,1448,1677,86.344663088849,577,871,459,52,11,26.829268292683,48,17,8,0,0,10,15.384615384615,60,27,98,43.946188340807,23,51.111111111111,2583,13.333333333333,2,2,0,0,4,0,72,58.064516129032,27,0,0,36,405,8,124,64,2153,39,30,3,0,30,1,16,1,0,5,0,0,0,0,0,0,29,0.0,51,41,65,124,35,21,43.75,0,629,1048,1,10.4153,118,1,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisés Caicedo,987650,Premier League 25/26,Premier League,Chelsea,7.2307692307692,26,3,3,1,1,2.03656957,1464,1587,92.249527410208,683,781,326,14,10,50.0,76,52,9,1,1,2,28.571428571429,22,7,126,58.878504672897,12,34.285714285714,2185,13.636363636364,0,0,0,1,0,0,47,64.383561643836,22,0,3,14,177,7,89,55,1943,40,41,0,0,23,0,9,1,0,5,0,0,0,0,0,0,25,0.0,13,20,7,73,32,42,55.263157894737,0,719,868,1,1.2799,141,14,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Neto,879349,Premier League 25/26,Premier League,Chelsea,6.9892857142857,28,5,11,3,4,5.6440867,692,793,87.263556116015,175,517,344,45,40,45.454545454545,15,6,2,0,1,30,18.633540372671,40,11,75,43.352601156069,7,25.0,2219,12.5,0,0,0,0,1,1,27,71.052631578947,11,0,0,21,362,12,36,23,1285,20,10,2,0,19,5,18,1,0,5,0,0,0,0,0,0,25,100.0,44,88,161,38,23,9,60.0,1,194,599,2,4.3505,74,0,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey Santos,1105779,Premier League 25/26,Premier League,Chelsea,6.795652173913,23,0,1,3,0,0.81119123,580,649,89.368258859784,302,278,105,7,2,40.0,28,18,4,0,0,0,0.0,8,1,49,67.123287671233,14,46.666666666667,1028,0.0,0,0,0,0,0,0,11,47.826086956522,17,0,1,2,89,7,21,13,805,19,11,1,0,10,1,1,0,0,1,0,0,0,0,0,0,10,0.0,7,5,1,23,14,13,46.428571428571,0,333,316,0,1.7006,38,4,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
