İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Zach Mitchell,1428687,Premiership 25/26,Scottish Premiership,Hibernian,7.05,2,0,1,1,1,0.00200147,43,57,75.438596491228,35,8,0,1,2,100.0,4,1,0,0,0,0,0.0,1,1,8,88.888888888889,3,50.0,128,0.0,0,0,0,0,0,0,2,22.222222222222,10,0,0,0,20,0,0,0,96,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,2,1,9,2,3,75.0,0,43,14,0,0.1859,8,3,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dane Scarlett,998772,Premiership 25/26,Scottish Premiership,Hibernian,6.3222222222222,9,0,0,0,1,0.25966963,40,55,72.727272727273,11,29,15,3,4,30.769230769231,1,0,2,0,0,0,0.0,12,2,9,20.93023255814,9,28.125,417,0.0,0,0,0,0,0,0,2,50.0,5,0,0,15,70,1,2,1,154,4,11,0,0,0,1,6,0,0,0,0,0,0,0,0,0,5,0.0,3,13,7,4,1,1,100.0,0,14,41,0,0.8599,7,2,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Boyle,214308,Premiership 25/26,Scottish Premiership,Hibernian,6.7310344827586,29,6,4,11,2,2.10589074,165,232,71.120689655172,49,116,77,20,15,39.473684210526,7,0,1,0,0,5,19.230769230769,48,19,44,41.509433962264,11,31.428571428571,1705,12.5,3,3,1,0,0,0,2,28.571428571429,8,0,0,21,173,11,10,3,478,22,11,2,0,7,11,16,0,0,0,0,0,0,0,0,0,21,0.0,20,38,26,7,22,5,71.428571428571,0,67,165,2,8.0227,45,0,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ante Šuto,997227,Premiership 25/26,Scottish Premiership,Hibernian,6.825,8,4,0,0,1,0.27829259,51,73,69.86301369863,11,40,23,1,1,11.111111111111,6,1,1,0,0,1,100.0,10,6,9,26.470588235294,16,48.484848484848,292,40.0,0,0,0,0,0,0,1,50.0,2,0,0,3,44,1,1,1,127,2,10,0,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0.0,1,9,1,2,5,3,50.0,0,16,57,0,1.3624,5,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thody Elie Youan,921362,Premiership 25/26,Scottish Premiership,Hibernian,6.7647058823529,17,5,1,3,1,1.33226709,180,235,76.595744680851,40,140,96,10,9,36.0,10,4,2,0,0,4,28.571428571429,26,11,23,31.506849315068,15,55.555555555556,666,19.230769230769,0,0,0,0,0,0,3,37.5,3,0,1,16,127,5,9,2,400,4,9,0,0,10,6,4,0,0,0,0,0,0,0,0,0,6,0.0,10,25,14,8,11,5,50.0,0,55,180,1,4.4918,25,1,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Changa Chaiwa,1192550,Premiership 25/26,Scottish Premiership,Hibernian,6.8136363636364,22,1,1,0,0,0.44301985,430,517,83.172147001934,204,226,96,9,16,80.0,18,23,6,0,0,0,0.0,12,4,81,57.857142857143,20,44.444444444444,1368,8.3333333333333,0,0,0,0,0,0,21,39.622641509434,19,0,1,21,168,8,32,20,805,47,21,0,0,13,0,2,0,0,0,0,0,0,0,0,0,16,0.0,9,20,11,53,17,10,55.555555555556,0,224,293,0,0.3915,79,3,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alasana Manneh,873084,Premiership 25/26,Scottish Premiership,Hibernian,6.5,1,0,0,0,0,0.0019371,12,15,80.0,9,3,1,0,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0.0,1,100.0,10,0.0,0,0,0,0,0,0,0,0.0,1,0,0,0,3,1,1,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,0,0,0.0,0,9,6,0,0.0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felix Passlack,795000,Premiership 25/26,Scottish Premiership,Hibernian,7.1375,8,2,2,2,1,1.24866558,239,299,79.933110367893,132,107,47,7,2,28.571428571429,9,7,1,0,0,3,15.0,9,6,16,43.243243243243,6,26.086956521739,703,22.222222222222,0,0,0,0,0,0,15,41.666666666667,26,0,1,4,94,1,22,11,443,5,2,1,0,10,0,1,0,0,4,0,0,0,0,0,0,8,0.0,7,7,20,36,5,7,77.777777777778,0,156,143,1,2.1074,27,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jamie McGrath,797980,Premiership 25/26,Scottish Premiership,Hibernian,7.24,30,8,5,1,3,4.20219477,759,915,82.950819672131,289,470,305,49,44,57.894736842105,41,22,5,0,0,27,27.272727272727,44,20,130,57.017543859649,28,53.846153846154,2188,18.181818181818,4,3,1,0,5,0,31,49.206349206349,34,0,1,29,324,7,56,25,1419,46,26,3,0,12,2,9,1,0,4,0,0,0,0,0,0,26,0.0,48,76,99,63,28,29,70.731707317073,0,328,587,8,5.9775,98,3,30,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owen Elding,1486440,Premiership 25/26,Scottish Premiership,Hibernian,6.9714285714286,7,3,0,0,0,0.2806452,81,111,72.972972972973,31,50,25,4,4,57.142857142857,2,5,0,0,0,0,0.0,13,6,12,44.444444444444,7,30.434782608696,422,23.076923076923,0,0,0,0,0,0,8,61.538461538462,6,0,0,4,52,3,6,3,188,6,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,5,0.0,3,7,1,13,3,2,100.0,0,33,78,0,2.3398,13,2,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Andrews,1521381,Premiership 25/26,Scottish Premiership,Hibernian,6.7444444444444,9,1,0,0,1,0.14935665,98,112,87.5,47,51,25,2,4,44.444444444444,5,2,1,0,0,0,0.0,3,1,10,38.461538461538,6,75.0,283,33.333333333333,0,0,0,0,0,0,5,71.428571428571,5,0,1,7,35,2,6,4,169,1,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0.0,2,9,1,7,4,4,80.0,0,51,61,0,0.1986,18,2,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Barlaser,817564,Premiership 25/26,Scottish Premiership,Hibernian,7.0862068965517,29,0,2,0,3,2.66454295,1172,1367,85.735186539868,555,617,329,28,16,72.727272727273,29,27,4,0,0,13,25.0,12,1,57,47.899159663866,20,57.142857142857,2215,0.0,0,0,0,0,2,0,102,57.627118644068,31,0,2,13,278,5,124,75,1661,12,23,0,0,22,0,6,0,0,5,0,0,0,0,0,0,27,0.0,28,22,52,177,23,14,48.275862068966,0,600,767,2,0.4605,115,6,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Mulligan,988691,Premiership 25/26,Scottish Premiership,Hibernian,6.8954545454545,22,1,4,0,5,2.75121757,591,727,81.292984869326,264,327,181,23,24,47.058823529412,47,22,6,0,0,7,30.434782608696,24,5,92,47.916666666667,14,43.75,1836,4.1666666666667,0,0,0,0,0,0,17,45.945945945946,20,0,0,21,267,16,28,16,1121,22,38,0,0,16,0,8,0,0,5,0,0,0,0,0,0,21,0.0,23,51,23,37,21,29,61.702127659574,0,287,440,1,1.2987,128,4,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Campbell,970717,Premiership 25/26,Scottish Premiership,Hibernian,6.6473684210526,19,1,5,3,3,1.23731204,130,186,69.89247311828,47,83,56,9,3,33.333333333333,9,6,2,0,0,0,0.0,15,5,23,48.936170212766,15,38.461538461538,529,6.6666666666667,0,0,0,0,0,0,8,53.333333333333,17,0,0,2,83,2,8,5,298,11,10,1,0,7,7,6,0,0,1,0,0,0,0,0,0,2,0.0,9,9,6,15,7,5,55.555555555556,0,57,129,0,2.1248,24,2,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicky Cadden,371318,Premiership 25/26,Scottish Premiership,Hibernian,6.9428571428571,21,0,8,0,5,4.89697949,476,592,80.405405405405,195,281,172,45,19,55.882352941176,13,7,1,0,0,51,25.247524752475,26,3,44,57.894736842105,9,52.941176470588,1486,0.0,0,0,0,1,4,0,24,33.802816901408,39,1,0,4,313,5,34,12,1039,12,9,0,0,5,0,8,1,0,4,0,0,0,0,0,0,18,0.0,44,34,202,71,21,9,69.230769230769,0,220,372,1,1.382,59,0,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
