İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Lorenzo Lucca,962364,Serie A 25/26,Serie A,Napoli,6.5928571428571,14,1,1,2,0,0.59629209,52,66,78.787878787879,18,34,22,2,6,66.666666666667,0,0,1,0,0,0,0.0,15,5,18,40.0,10,45.454545454545,420,6.6666666666667,0,0,0,0,0,0,1,100.0,3,0,0,9,43,3,1,1,146,13,17,1,0,1,4,6,0,0,0,0,0,0,0,0,0,4,0.0,2,9,0,1,3,0,0.0,0,22,44,0,1.2566,11,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rasmus Højlund,1086417,Serie A 25/26,Serie A,Napoli,6.5423076923077,26,10,3,10,2,2.05516651,312,434,71.889400921659,94,218,132,24,9,32.142857142857,4,0,1,0,0,2,66.666666666667,46,22,57,34.756097560976,40,38.461538461538,2184,21.739130434783,1,1,0,0,0,0,6,75.0,15,0,0,56,282,10,12,4,758,45,33,1,0,3,10,8,0,0,3,0,0,0,0,0,0,25,0.0,24,28,3,8,25,1,25.0,0,109,325,3,8.9795,26,2,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romelu Lukaku,78893,Serie A 25/26,Serie A,Napoli,6.575,4,1,0,1,0,0.27447494,11,16,68.75,3,8,7,2,0,0.0,0,0,1,0,0,0,0.0,2,1,0,0.0,0,0.0,50,50.0,0,0,0,0,0,0,0,0.0,1,0,0,2,12,0,1,1,29,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,2,0,0.0,0,3,13,0,0.2633,1,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Neres,850993,Serie A 25/26,Serie A,Napoli,7.0125,16,3,9,0,3,3.20852168,270,331,81.570996978852,67,203,141,21,19,38.0,10,1,3,0,0,13,24.528301886792,17,4,36,37.5,4,22.222222222222,925,17.647058823529,0,0,0,0,1,0,4,66.666666666667,2,0,0,12,185,8,6,5,564,7,19,1,0,2,0,7,0,0,0,0,0,0,0,0,0,10,0.0,21,50,53,6,7,5,50.0,0,78,253,3,1.5387,28,3,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alisson Santos,1122835,Serie A 25/26,Serie A,Napoli,7.2833333333333,6,2,0,0,0,0.22596401,105,129,81.395348837209,31,74,41,4,13,54.166666666667,15,0,0,0,0,1,6.6666666666667,13,9,32,57.142857142857,0,0.0,377,15.384615384615,0,0,0,0,0,0,2,50.0,1,0,0,11,73,2,1,1,238,4,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,0.0,4,24,15,4,5,7,46.666666666667,0,37,92,0,0.666,14,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovane,1170773,Serie A 25/26,Serie A,Napoli,6.5321428571429,28,3,6,4,5,1.85776293,269,401,67.082294264339,71,198,128,31,33,44.0,13,5,2,0,0,13,21.311475409836,49,25,66,37.28813559322,37,25.874125874126,1657,6.1224489795918,0,0,0,0,1,0,11,64.705882352941,11,1,0,39,345,12,14,6,846,20,24,1,0,9,9,13,0,0,2,0,0,0,0,0,0,19,0.0,31,75,61,17,27,9,69.230769230769,0,94,307,1,3.33,72,1,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Politano,235672,Serie A 25/26,Serie A,Napoli,6.937037037037,27,1,11,3,5,4.28905453,597,727,82.118294360385,217,380,227,32,30,53.571428571429,13,3,1,0,0,32,22.695035460993,42,11,65,50.0,6,33.333333333333,1739,2.3809523809524,0,0,0,0,3,0,14,34.146341463415,13,0,0,18,324,9,45,19,1176,23,15,3,0,8,0,13,0,0,2,0,0,0,0,0,0,20,0.0,32,56,141,41,18,10,76.923076923077,0,247,480,3,2.0169,69,2,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Vergara,1069560,Serie A 25/26,Serie A,Napoli,6.87,10,1,0,0,2,0.81761363,129,170,75.882352941176,39,90,64,11,8,30.769230769231,12,4,2,0,0,3,27.272727272727,10,3,40,42.553191489362,5,27.777777777778,608,10.0,0,0,1,0,0,0,2,22.222222222222,3,0,0,15,118,9,8,4,344,20,16,0,0,7,2,3,0,0,0,0,0,0,0,0,0,8,0.0,11,26,11,9,9,9,75.0,0,47,123,1,0.7664,32,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin De Bruyne,70996,Serie A 25/26,Serie A,Napoli,6.9181818181818,11,4,2,0,0,2.110738,399,473,84.355179704017,122,277,148,21,5,55.555555555556,5,5,1,0,0,5,15.151515151515,22,8,14,30.434782608696,2,25.0,715,18.181818181818,3,3,0,0,3,1,17,53.125,2,0,0,10,128,6,31,19,589,4,7,1,0,11,1,7,0,0,2,0,0,0,0,0,0,8,33.333333333333,21,9,33,32,6,4,80.0,0,134,339,0,3.4927,29,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scott McTominay,879346,Serie A 25/26,Serie A,Napoli,7.016,25,7,1,7,3,1.20054897,831,943,88.123011664899,364,467,178,17,19,43.181818181818,26,17,1,0,0,1,14.285714285714,72,26,92,49.197860962567,39,59.090909090909,2073,9.7222222222222,0,0,0,0,5,0,20,71.428571428571,44,1,2,43,231,19,18,5,1370,53,18,2,0,10,4,19,0,0,8,0,0,0,0,0,0,23,0.0,17,44,7,28,21,11,42.307692307692,0,404,539,2,7.2744,105,9,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
