İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Tiago Gouveia,976410,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,0.0,0,0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,0,1,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florentino Luís,855845,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.5666666666667,3,0,0,0,0,0.0035453,9,12,75.0,8,1,1,0,0,0.0,3,1,0,0,0,0,0.0,0,0,3,50.0,1,50.0,44,0.0,0,0,0,0,0,0,2,66.666666666667,2,0,0,0,5,0,1,1,22,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,1,1,33.333333333333,0,10,2,0,0.0,3,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rafael Obrador,1142692,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.8,1,0,1,0,0,0.337122,23,26,88.461538461538,11,12,11,3,3,100.0,0,2,0,0,0,4,50.0,0,0,3,50.0,0,0.0,68,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,11,1,1,0,46,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,3,8,0,0,0,0.0,0,12,14,0,0.0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vangelis Pavlidis,795236,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,7.0740740740741,27,21,6,16,4,2.65058214,380,537,70.763500931099,138,242,164,33,14,33.333333333333,16,1,3,0,0,1,12.5,81,42,59,38.815789473684,57,43.181818181818,2293,25.925925925926,9,9,0,0,0,0,15,71.428571428571,13,0,0,44,284,30,31,17,890,31,13,3,0,10,16,15,0,0,7,0,0,0,0,0,0,26,0.0,33,42,8,21,16,8,50.0,0,165,372,4,18.8223,71,1,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Schjelderup,1100952,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,7.1428571428571,21,4,7,2,3,5.308893,362,451,80.266075388027,66,296,221,32,21,38.888888888889,23,3,2,0,0,11,19.298245614035,27,9,69,48.251748251748,3,21.428571428571,1198,14.814814814815,0,0,0,0,2,0,3,18.75,5,0,0,12,213,19,22,11,731,25,17,3,0,13,4,13,0,0,0,0,0,0,0,0,0,14,0.0,32,54,57,16,8,10,43.478260869565,0,78,373,2,3.3735,49,0,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franjo Ivanović,1103333,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.6777777777778,18,4,2,3,1,0.59894105,118,166,71.084337349398,29,89,57,5,16,55.172413793103,7,3,1,0,0,2,16.666666666667,23,14,40,44.444444444444,9,40.909090909091,625,17.391304347826,1,1,1,0,0,0,2,28.571428571429,2,0,0,19,118,6,6,4,338,17,14,0,0,7,1,3,0,0,0,0,0,0,0,0,0,6,0.0,5,29,12,7,1,4,57.142857142857,0,46,120,1,3.6741,26,1,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anísio Cabral,2163561,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.92,5,2,0,0,0,0.21002981,13,17,76.470588235294,2,11,8,1,1,50.0,0,0,0,0,0,1,100.0,5,4,3,50.0,3,75.0,55,40.0,0,0,0,0,0,0,0,0.0,0,0,0,2,8,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,2,1,0,0,0,0.0,0,2,15,0,0.3421,1,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruma,97012,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.65,2,0,0,0,0,0.00552596,7,8,87.5,1,6,3,0,2,50.0,1,0,0,0,0,0,0.0,2,0,3,50.0,0,0.0,21,0.0,0,0,0,0,1,0,0,0.0,1,0,0,0,5,1,0,0,19,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0,4,2,0,0,0,0.0,0,1,7,0,0.1023,3,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Henrique Araújo,998870,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.45,2,0,0,0,0,0.00109591,3,4,75.0,2,1,1,0,0,0.0,0,0,0,0,0,0,0.0,2,1,1,50.0,1,50.0,29,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,2,2,0,0.1634,1,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Rego,1184329,Liga Portugal 25/26,Liga Portugal Betclic,Benfica,6.6666666666667,3,0,0,0,0,0.18636647,30,36,83.333333333333,13,17,10,2,9,75.0,4,0,0,0,0,2,28.571428571429,6,0,15,50.0,0,0.0,112,0.0,0,0,0,0,0,0,0,0.0,0,0,0,3,22,0,3,0,83,2,5,0,0,4,0,4,0,0,0,0,0,0,0,0,0,1,0.0,2,12,7,1,0,2,50.0,0,14,22,0,0.2909,7,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
