İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Oumar Ngom,1175854,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.6909090909091,11,0,1,2,1,0.35812928,353,427,82.669789227166,244,109,39,5,6,50.0,28,14,3,0,1,0,0.0,14,1,50,64.935064935065,20,58.823529411765,835,0.0,0,0,0,1,0,0,14,42.424242424242,10,1,1,7,104,3,27,11,583,16,10,1,0,4,0,5,0,0,1,0,0,0,0,0,0,9,0.0,5,12,3,33,19,17,60.714285714286,1,264,163,0,1.2973,64,3,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billal Brahimi,948250,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.625,4,0,1,0,0,0.42906622,34,40,85.0,16,18,12,2,1,100.0,0,1,0,0,0,6,33.333333333333,0,0,1,25.0,0,0.0,89,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,20,0,4,2,64,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,18,2,1,0,0.0,0,20,20,0,0.0,4,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jovane Cabral,845802,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,7.0333333333333,21,5,2,2,0,0.68321778,418,535,78.130841121495,200,218,118,14,28,65.116279069767,31,6,5,0,0,5,20.0,48,20,111,57.8125,12,42.857142857143,1413,10.416666666667,0,0,1,0,13,0,31,54.385964912281,7,0,1,24,250,13,39,15,913,52,38,3,0,6,3,10,0,0,0,0,0,0,0,0,0,15,0.0,14,43,25,57,29,24,77.41935483871,0,225,310,3,3.127,87,1,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sydney van Hooijdonk,943595,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.56,5,1,0,1,0,0.05363331,14,24,58.333333333333,7,7,4,2,0,0.0,0,0,0,0,0,0,0.0,5,2,3,27.272727272727,5,62.5,221,20.0,1,1,0,0,1,0,0,0.0,1,0,0,2,22,1,0,0,49,3,5,0,0,1,2,2,0,0,0,0,0,0,0,0,0,2,0.0,2,1,2,0,3,0,0.0,0,9,15,0,1.015,4,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ianis Stoica,910316,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.6777777777778,27,2,3,2,2,1.60725613,246,319,77.115987460815,106,140,66,16,5,29.411764705882,17,10,4,0,0,10,27.777777777778,26,7,51,52.577319587629,4,23.529411764706,1227,7.6923076923077,0,0,1,0,2,0,17,45.945945945946,12,0,0,10,153,5,31,17,553,29,16,1,0,9,11,7,0,0,0,0,0,0,0,0,0,14,0.0,16,17,36,37,18,11,64.705882352941,0,127,192,1,3.5187,48,1,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leandro Antonetti,1158547,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.44,10,0,0,1,0,0.0263699,24,35,68.571428571429,10,14,7,0,4,50.0,4,1,0,0,0,0,0.0,3,3,12,42.857142857143,5,38.461538461538,296,0.0,0,0,0,0,0,0,1,25.0,5,0,0,5,33,3,2,0,93,5,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,8,3,4,5,2,50.0,0,12,23,0,0.2117,7,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodrigo Pinho,801339,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.7208333333333,24,4,2,1,1,0.73357499,80,122,65.573770491803,40,40,21,7,4,36.363636363636,8,3,3,0,0,2,100.0,31,12,27,50.0,20,57.142857142857,819,12.903225806452,1,1,0,0,5,0,3,30.0,21,0,0,7,71,0,6,2,255,16,16,0,0,0,5,7,0,0,0,0,0,0,0,0,0,7,0.0,7,11,2,10,12,4,50.0,0,47,75,1,4.2741,20,3,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorge Meireles,1164070,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.7777777777778,18,0,1,0,2,0.46998593,189,238,79.411764705882,80,109,62,10,12,60.0,7,8,0,0,0,4,16.666666666667,9,2,51,59.302325581395,5,45.454545454545,703,0.0,0,0,1,0,0,0,16,61.538461538462,6,0,0,11,114,1,20,10,418,33,11,0,0,5,1,4,0,0,1,0,0,0,0,0,0,7,0.0,10,20,24,26,15,6,85.714285714286,0,90,148,0,0.2888,56,1,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzalo Calçada,1163947,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,6.3,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,12,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham Marcus,1090543,Liga Portugal 25/26,Liga Portugal Betclic,CF Estrela Amadora,7.088,25,5,12,1,5,4.36120168,465,576,80.729166666667,193,272,163,38,37,50.684931506849,33,10,0,1,1,13,22.413793103448,37,11,108,48.868778280543,35,46.666666666667,2043,13.513513513514,0,0,0,0,0,0,36,60.0,22,0,0,50,323,19,59,29,1077,39,23,1,0,9,5,9,0,0,6,0,0,0,0,0,0,24,0.0,38,73,58,60,33,18,54.545454545455,0,212,364,2,3.7971,107,3,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
