İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Ángel Alarcón,1153261,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.4,3,0,0,0,0,0.01950341,23,30,76.666666666667,9,14,6,0,0,0.0,0,0,0,0,0,0,0.0,2,0,0,0.0,1,25.0,57,0.0,0,0,0,0,0,0,1,50.0,0,0,0,0,11,1,1,1,41,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,2,0,0,0.0,0,11,19,0,0.0528,4,1,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zé Pedro,945448,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.6,2,0,0,0,0,0.00103385,13,16,81.25,12,1,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,28,0.0,0,0,0,0,0,0,1,50.0,2,0,0,0,6,0,1,1,25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,2,0,0,0.0,0,13,3,0,0.0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samu Aghehowa,1503836,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.895,20,13,1,7,1,0.89544686,178,244,72.950819672131,46,132,78,10,19,44.186046511628,2,3,3,0,0,1,20.0,56,33,46,39.655172413793,23,48.936170212766,1414,23.214285714286,6,5,1,0,0,0,4,57.142857142857,1,0,0,24,180,12,14,11,508,27,18,1,0,8,7,12,0,0,3,0,0,0,0,0,0,19,0.0,10,43,5,7,5,1,50.0,0,58,186,1,11.9222,34,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luuk de Jong,40878,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.68,5,1,1,1,0,0.68637889,44,61,72.131147540984,19,25,13,5,1,100.0,3,2,1,0,0,0,0.0,6,3,6,60.0,9,50.0,262,16.666666666667,0,0,0,0,0,0,0,0.0,1,0,0,0,28,1,0,0,95,2,3,0,0,1,4,1,0,0,1,0,0,0,0,0,0,2,0.0,5,1,0,0,1,2,66.666666666667,0,23,38,0,1.256,4,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Gomes,1639250,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.9130434782609,23,8,4,1,1,1.90599711,172,247,69.635627530364,37,135,89,11,20,39.21568627451,20,4,5,1,1,4,8.5106382978723,38,16,59,39.597315436242,5,23.809523809524,998,21.052631578947,1,1,0,0,0,0,12,60.0,4,0,0,15,200,11,12,4,533,19,29,1,0,18,1,10,0,0,1,0,0,0,0,0,0,8,0.0,11,51,47,20,6,12,60.0,0,48,199,2,4.941,39,1,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepê,882664,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.904,25,2,10,2,4,3.17710797,438,596,73.489932885906,104,334,220,37,23,38.983050847458,25,11,2,0,0,22,25.581395348837,22,6,95,49.479166666667,17,40.47619047619,1853,9.0909090909091,0,0,0,0,0,0,18,50.0,14,0,0,26,336,13,51,22,1031,48,18,0,0,18,7,4,0,0,5,0,0,0,0,0,0,25,0.0,37,59,86,36,9,15,60.0,0,128,468,0,2.7747,88,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deniz Gül,1407720,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.5173913043478,23,2,1,3,0,0.83817888,72,102,70.588235294118,20,52,33,6,4,30.769230769231,8,1,2,0,0,0,0.0,15,8,19,26.760563380282,20,48.780487804878,725,13.333333333333,0,0,0,0,0,0,1,100.0,1,0,0,13,82,7,0,0,212,7,24,0,0,7,1,3,0,0,0,0,0,0,0,0,0,6,0.0,6,13,2,1,5,6,75.0,0,27,75,0,2.1852,20,1,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terem Moffi,894396,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.5142857142857,7,1,1,1,1,0.15371167,11,19,57.894736842105,4,7,6,5,0,0.0,1,0,1,0,0,0,0.0,5,3,1,11.111111111111,3,50.0,201,20.0,0,0,0,0,0,0,0,0.0,1,0,0,5,20,2,0,0,46,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0.0,5,0,0,0,3,1,100.0,0,7,12,0,1.293,3,0,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borja Sainz,992567,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.8846153846154,26,5,1,7,2,1.23329808,281,368,76.358695652174,89,192,120,13,22,45.833333333333,19,8,5,0,0,2,15.384615384615,44,15,70,41.420118343195,6,60.0,1431,11.363636363636,0,0,1,0,0,0,4,44.444444444444,4,0,1,19,196,14,26,14,682,29,29,3,0,26,21,15,0,0,4,0,0,0,0,0,0,16,0.0,13,48,13,9,8,13,68.421052631579,0,101,267,2,4.2565,79,0,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yann Karamoh,802149,Liga Portugal 25/26,Liga Portugal Betclic,FC Porto,6.3,1,0,0,0,0,0.00224964,3,5,60.0,1,2,2,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,18,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,2,1,0,0,0.0,0,2,3,0,0.0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
