İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Ivan Cavaleiro,110950,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.5846153846154,13,2,5,2,0,1.3818796,182,234,77.777777777778,49,133,95,17,9,40.909090909091,4,4,1,0,0,12,22.641509433962,19,4,22,31.884057971014,13,44.827586206897,851,10.526315789474,1,1,0,0,2,0,7,50.0,10,0,0,9,140,7,6,3,413,9,11,2,0,14,1,5,0,0,1,0,0,0,0,0,0,9,0.0,17,22,53,14,12,3,75.0,0,57,177,0,3.3163,43,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Siebatcheu,788786,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.4473684210526,19,1,0,6,0,0.30374472,153,205,74.634146341463,69,84,43,8,3,37.5,5,3,2,0,0,0,0.0,28,9,21,31.34328358209,37,49.333333333333,1221,3.5714285714286,1,0,1,0,0,0,5,62.5,22,0,0,14,101,3,5,3,372,13,22,2,0,5,12,7,0,0,2,0,0,0,0,0,0,14,0.0,8,8,3,8,26,4,80.0,0,82,123,0,3.7453,26,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arjen Van Der Heide,917006,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.5,4,0,0,0,0,0.0125734,14,21,66.666666666667,4,10,5,0,1,50.0,1,1,0,0,0,0,0.0,1,0,3,60.0,4,66.666666666667,95,0.0,0,0,0,0,0,0,2,100.0,0,0,0,0,14,1,3,2,34,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,2,2,2,4,0,0.0,0,6,15,0,0.0203,5,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makan Aïko,1136902,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.7636363636364,11,0,3,0,1,0.85727511,126,175,72.0,57,69,43,11,18,52.941176470588,13,2,1,0,0,6,18.75,11,3,44,55.0,1,25.0,714,0.0,0,0,0,0,0,0,4,30.769230769231,5,0,0,8,124,2,15,6,356,13,10,1,0,3,4,2,0,0,1,0,0,0,0,0,0,8,0.0,11,34,32,13,10,8,61.538461538462,0,70,105,0,0.4888,30,1,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Mbunga-Kimpioka,950339,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.4666666666667,6,0,0,1,0,0.41825286,65,85,76.470588235294,17,48,30,1,8,57.142857142857,6,1,2,0,0,0,0.0,7,2,25,46.296296296296,8,30.769230769231,475,0.0,0,0,0,1,0,0,2,50.0,4,0,1,9,58,3,5,3,180,11,18,0,0,2,2,3,0,0,2,0,0,0,0,0,0,5,0.0,1,14,1,4,4,6,100.0,0,25,60,0,0.4716,9,1,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moudjatovic,1397915,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.5636363636364,11,0,0,0,0,0.17804271,58,74,78.378378378378,27,31,17,3,4,57.142857142857,2,3,0,0,0,2,18.181818181818,4,0,19,47.5,4,44.444444444444,307,0.0,0,0,0,0,0,0,2,28.571428571429,3,0,0,7,44,4,3,1,149,13,9,1,0,3,4,2,0,0,0,0,0,0,0,0,0,3,0.0,3,7,11,7,6,0,0.0,0,32,42,0,0.1278,15,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hugo Félix,1146013,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.5842105263158,19,0,2,2,0,0.9351582,290,348,83.333333333333,111,179,113,16,6,46.153846153846,4,4,1,0,0,15,24.193548387097,19,5,36,54.545454545455,3,27.272727272727,946,0.0,1,0,1,0,1,0,21,67.741935483871,6,0,0,6,142,5,29,19,537,27,10,1,0,9,1,7,0,0,0,0,0,0,0,0,0,8,0.0,16,13,62,31,12,2,50.0,0,121,227,0,2.4431,42,2,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siphephelo Sithole,822684,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.6,21,1,0,0,0,0.24643533,448,562,79.715302491103,214,234,106,4,3,23.076923076923,29,8,5,0,0,0,0.0,4,2,40,42.105263157895,20,41.666666666667,1376,25.0,0,0,0,0,0,0,23,50.0,32,0,0,5,158,5,37,16,746,8,33,0,0,10,0,0,0,0,2,0,0,0,0,0,0,15,0.0,4,13,4,46,23,17,58.620689655172,0,248,314,0,0.3228,73,6,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rony Lopes,190147,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.8222222222222,9,1,4,0,2,0.90336111,126,167,75.449101796407,51,75,36,10,2,50.0,8,0,2,0,0,5,38.461538461538,13,5,14,35.0,0,0.0,483,7.6923076923077,0,0,0,0,1,0,10,62.5,1,0,0,12,70,2,16,7,242,4,8,0,0,4,0,2,0,0,0,0,0,0,0,0,0,7,0.0,10,4,13,16,12,6,75.0,0,59,108,1,0.3646,20,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Hodge,988882,Liga Portugal 25/26,Liga Portugal Betclic,Tondela,6.58,20,0,1,0,1,1.24078892,361,444,81.306306306306,160,201,117,16,5,55.555555555556,25,14,2,0,0,4,11.111111111111,11,1,34,44.736842105263,2,18.181818181818,1144,0.0,0,0,0,1,0,0,25,59.52380952381,15,0,0,16,154,5,41,21,641,4,19,1,0,5,1,1,1,0,1,0,0,0,0,0,0,15,0.0,15,9,36,42,24,15,60.0,0,187,257,0,0.6413,70,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
