İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Collins Sichenje,1198768,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.9823529411765,17,1,2,1,0,0.0,649,771,84.176394293126,404,245,69,8,4,66.666666666667,34,22,4,0,2,0,0.0,11,3,49,52.688172043011,45,59.210526315789,1476,9.0909090909091,0,0,0,0,0,0,47,42.727272727273,121,0,2,4,151,1,49,21,1049,11,34,0,0,7,0,3,0,0,6,0,0,0,0,0,0,17,0.0,8,6,6,110,17,23,67.647058823529,2,451,320,1,0.0,81,14,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan Bukinac,1152947,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.84,20,0,2,0,3,0.0,586,740,79.189189189189,266,320,187,18,9,52.941176470588,32,21,2,0,0,16,23.529411764706,5,3,57,58.762886597938,14,45.161290322581,1705,0.0,0,0,0,0,0,0,29,31.521739130435,33,0,0,8,281,3,44,14,1183,16,15,0,0,9,0,2,0,0,7,0,0,0,0,0,0,18,0.0,18,17,68,92,17,21,65.625,0,318,422,0,0.0,89,4,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vando Félix,1520997,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.68,5,0,0,0,1,0.0,27,33,81.818181818182,3,24,18,2,2,50.0,2,1,0,0,0,0,0.0,1,0,12,60.0,3,100.0,126,0.0,0,0,0,0,0,0,0,0.0,1,0,0,3,21,0,0,0,67,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,4,2,0,3,2,100.0,0,5,28,0,0.0,8,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Mary,795913,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.8428571428571,21,6,2,4,1,0.0,82,132,62.121212121212,27,55,35,7,11,42.307692307692,4,0,1,0,0,0,0.0,25,16,28,49.122807017544,25,39.68253968254,629,24.0,1,1,2,0,0,0,2,100.0,3,0,0,10,112,4,8,6,261,13,4,0,0,0,9,2,0,0,1,0,0,0,0,0,0,3,0.0,7,26,4,2,6,3,75.0,0,33,99,2,0.0,16,2,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksa Vukanović,842317,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.7481481481481,27,6,4,2,4,0.0,289,427,67.68149882904,87,202,130,26,17,50.0,14,3,2,0,1,3,23.076923076923,44,19,65,46.762589928058,47,41.228070175439,1890,13.636363636364,0,0,0,0,0,0,7,63.636363636364,17,0,0,32,277,6,26,15,749,34,25,1,0,5,9,8,0,0,2,0,0,0,0,0,0,24,0.0,26,34,13,11,17,11,78.571428571429,1,112,315,2,0.0,47,2,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damjan Đokanović,1983681,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.3833333333333,6,0,1,0,0,0.0,12,19,63.157894736842,3,9,3,1,0,0.0,0,0,0,0,0,0,0.0,0,0,1,11.111111111111,3,50.0,117,0.0,0,0,0,0,0,0,0,0.0,0,1,0,1,19,1,0,0,35,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1,1,0,4,0,0.0,0,5,14,0,0.0,2,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Njegoš Petrović,844179,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,7.104,25,3,1,1,2,0.0,892,1076,82.899628252788,413,479,246,30,15,51.724137931034,43,16,6,0,0,12,27.272727272727,37,17,84,57.534246575342,25,51.020408163265,1985,8.1081081081081,1,1,0,0,3,0,70,51.851851851852,22,0,0,12,274,8,113,66,1414,26,29,1,0,8,1,7,0,0,8,0,0,0,0,0,0,23,0.0,30,29,44,135,25,30,69.767441860465,0,464,612,3,0.0,121,7,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazar Ranđelović,938000,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.856,25,6,10,11,11,0.0,451,582,77.491408934708,143,308,184,39,19,40.425531914894,13,4,2,0,0,25,21.367521367521,57,22,44,33.587786259542,6,15.384615384615,2026,10.526315789474,0,0,1,0,1,0,11,47.826086956522,9,0,0,25,344,15,39,12,1010,12,20,1,0,16,19,18,1,0,5,0,0,0,0,0,0,23,0.0,38,47,117,23,23,10,76.923076923077,0,167,415,2,0.0,82,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milutin Vidosavljević,858238,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.8423076923077,26,7,6,0,1,0.0,427,558,76.523297491039,135,292,170,41,15,40.540540540541,26,14,4,0,0,18,30.0,32,12,67,43.225806451613,18,50.0,1691,21.875,1,1,1,0,0,0,15,45.454545454545,11,1,1,29,294,13,35,18,916,27,21,1,0,16,1,8,1,0,1,0,0,0,0,0,0,21,0.0,40,37,60,33,15,21,80.769230769231,0,169,389,2,0.0,92,1,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Mladenović,1403053,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.625,8,1,0,2,1,0.0,79,92,85.869565217391,29,50,29,3,5,62.5,2,1,1,0,0,2,22.222222222222,7,1,10,47.619047619048,1,12.5,309,14.285714285714,0,0,0,0,0,0,3,50.0,1,0,0,1,34,2,3,2,137,3,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0.0,3,8,9,6,4,1,50.0,0,30,62,0,0.0,15,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan Kolarević,1656646,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.655,20,4,3,2,3,0.0,211,314,67.197452229299,74,137,85,14,13,32.5,24,10,3,0,0,9,19.565217391304,26,10,54,38.848920863309,10,33.333333333333,1334,15.384615384615,0,0,0,1,0,0,17,48.571428571429,15,0,1,16,234,9,35,12,621,17,26,0,0,16,1,5,0,0,3,0,0,0,0,0,0,16,0.0,14,40,46,35,15,13,54.166666666667,0,93,221,0,0.0,60,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Veličković,1121635,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.75,16,3,4,2,3,0.0,143,187,76.470588235294,43,100,69,9,6,46.153846153846,9,1,1,0,0,2,25.0,26,13,25,47.169811320755,2,16.666666666667,638,11.538461538462,1,1,0,0,0,0,6,37.5,0,0,0,4,95,3,15,7,303,10,6,1,0,11,1,4,0,0,2,0,0,0,0,0,0,6,0.0,9,13,8,16,5,3,33.333333333333,0,50,137,2,0.0,22,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vukan Savićević,257071,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,7.0423076923077,26,2,3,1,0,0.0,789,996,79.21686746988,310,479,263,31,18,56.25,32,16,4,0,0,6,15.789473684211,35,9,74,54.814814814815,14,58.333333333333,1504,5.7142857142857,1,1,0,0,0,0,53,55.789473684211,11,0,1,9,296,14,111,59,1293,24,23,0,0,16,2,9,0,0,1,0,0,0,0,0,0,15,0.0,31,32,38,95,11,24,75.0,0,365,631,2,0.0,95,4,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petar Sukačev,1656621,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.5181818181818,11,0,2,1,0,0.0,137,195,70.25641025641,52,85,41,3,7,33.333333333333,14,6,0,0,0,7,21.875,8,2,26,37.142857142857,7,46.666666666667,659,0.0,0,0,0,0,0,0,12,42.857142857143,7,0,0,12,146,7,16,5,387,5,9,0,0,9,1,2,0,0,1,0,0,0,0,0,0,7,0.0,3,21,32,28,3,8,57.142857142857,0,67,128,0,0.0,37,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Poletanović,111754,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.7375,16,0,0,1,0,0.0,296,340,87.058823529412,130,166,71,8,4,50.0,6,12,1,0,0,4,22.222222222222,6,3,13,43.333333333333,3,37.5,577,0.0,0,0,0,0,2,0,10,40.0,12,0,0,4,79,3,24,16,442,3,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,7,0.0,8,8,18,25,4,6,100.0,0,141,199,0,0.0,41,3,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragan Kokanović,1114797,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.8136363636364,22,5,2,1,0,0.0,332,425,78.117647058824,141,191,96,12,15,60.0,27,14,7,0,0,3,13.636363636364,29,14,64,47.058823529412,19,38.775510204082,1024,17.241379310345,0,0,0,0,1,0,18,51.428571428571,15,0,0,18,178,6,28,11,686,22,30,0,0,15,2,7,0,0,1,0,0,0,0,0,0,11,0.0,12,25,22,35,12,20,74.074074074074,0,162,263,0,0.0,69,3,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kufre Eta,1892868,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.65,10,0,1,0,1,0.0,276,337,81.899109792285,183,93,23,1,9,75.0,8,8,3,0,0,0,0.0,3,0,24,58.536585365854,14,56.0,522,0.0,0,0,0,1,0,0,15,36.585365853659,23,0,2,0,80,1,32,16,441,7,7,0,1,7,0,2,0,0,1,0,0,0,0,0,0,5,0.0,1,12,3,41,5,5,62.5,0,202,135,0,0.0,49,1,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slobodan Medojević,50306,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.6125,8,0,0,0,0,0.0,191,221,86.425339366516,85,106,45,4,0,0.0,2,6,1,0,0,1,50.0,1,0,5,38.461538461538,5,50.0,365,0.0,0,0,0,0,0,0,2,16.666666666667,1,0,0,0,39,0,12,6,257,3,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0.0,4,0,2,12,5,1,50.0,0,90,131,0,0.0,15,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uroš Nikolić,194450,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,7.0428571428571,7,1,2,1,1,0.0,83,103,80.582524271845,27,56,35,7,2,40.0,5,2,0,0,0,5,22.727272727273,8,4,8,53.333333333333,1,33.333333333333,211,12.5,0,0,0,0,0,0,8,57.142857142857,0,0,0,2,47,1,17,8,162,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0.0,7,5,22,14,1,4,80.0,0,31,72,1,0.0,14,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kornél Szűcs,1008297,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.825,4,0,0,0,0,0.0,126,151,83.443708609272,86,40,6,1,0,0.0,1,4,0,0,0,0,0.0,1,0,1,9.0909090909091,12,66.666666666667,279,0.0,0,0,0,0,0,0,3,25.0,16,0,0,0,27,0,6,2,186,0,9,0,0,1,0,1,0,0,2,0,0,0,0,0,0,3,0.0,1,0,0,12,1,0,0.0,0,91,60,0,0.0,8,1,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazar Nikolić,862782,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,7.2142857142857,28,1,1,0,1,0.0,852,1137,74.934036939314,370,482,245,29,9,40.909090909091,76,33,5,0,0,20,21.739130434783,12,1,105,55.263157894737,24,52.173913043478,2520,8.3333333333333,0,0,0,0,0,0,69,36.702127659574,98,0,2,10,450,11,151,74,1899,20,33,0,0,29,0,3,0,0,12,0,0,0,0,0,0,28,0.0,29,22,92,188,24,52,68.421052631579,0,458,679,2,0.0,152,9,28,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mihai Butean,796365,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.7333333333333,3,0,0,0,0,0.0,40,46,86.95652173913,28,12,3,0,0,0.0,1,0,0,0,0,0,0.0,0,0,1,33.333333333333,2,66.666666666667,65,0.0,0,0,0,0,0,0,0,0.0,4,0,0,0,8,0,2,1,54,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,0,1,100.0,0,30,16,0,0.0,4,0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas Barros,974434,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,7.06,15,0,2,0,1,0.0,349,443,78.781038374718,168,181,91,10,7,50.0,40,14,4,0,0,8,25.806451612903,9,1,64,65.979381443299,25,67.567567567568,1092,0.0,0,0,0,1,0,0,30,41.095890410959,48,0,0,2,156,0,31,12,770,19,18,0,0,7,2,3,0,0,4,0,0,0,0,0,0,11,0.0,10,14,31,73,15,25,62.5,0,198,245,2,0.0,51,11,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đorđe Crnomarković,795878,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.9416666666667,24,0,1,2,0,0.0,795,972,81.79012345679,547,248,74,6,0,0.0,35,14,7,0,0,0,0.0,9,1,42,50.602409638554,50,54.945054945055,1928,0.0,0,0,0,0,0,0,73,43.712574850299,131,0,1,2,188,1,104,50,1245,7,31,0,0,10,1,0,0,0,9,0,0,0,0,0,0,23,0.0,6,1,2,167,18,25,71.428571428571,0,602,370,2,0.0,75,17,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siniša Tanjga,1165848,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,6.4,12,0,0,0,0,0.0,245,311,78.778135048232,183,62,25,2,0,0.0,11,11,3,1,1,0,0.0,4,1,17,44.736842105263,21,52.5,781,0.0,0,0,0,1,0,0,18,30.508474576271,66,0,0,0,73,0,32,12,445,6,16,0,1,6,0,0,0,0,2,0,0,0,0,0,0,11,0.0,2,0,1,59,11,8,72.727272727273,0,199,112,0,0.0,18,5,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragan Rosić,844128,Superliga 25/26,Mozzart Bet Superliga,FK Vojvodina,7.051724137931,29,0,0,0,0,0.0,322,578,55.709342560554,249,73,22,0,0,0.0,0,0,2,0,0,0,0.0,0,0,3,100.0,3,100.0,2610,0.0,0,0,0,0,0,0,110,30.21978021978,31,0,0,0,258,0,52,25,848,2,0,0,1,0,0,0,0,92,12,1,9,20,20,19,0,29,0.0,0,0,0,364,27,0,0.0,0,301,277,2,0.0,246,0,29,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
