İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Moussa Dembélé,318653,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.82,15,6,2,3,1,0.59075211,146,191,76.439790575916,63,83,48,8,9,42.857142857143,2,2,2,1,1,1,33.333333333333,25,14,26,40.0,19,61.290322580645,1136,24.0,1,1,0,0,0,0,2,100.0,4,0,0,12,104,2,8,6,326,15,14,0,0,1,6,2,0,0,2,0,0,0,0,0,0,13,0.0,8,21,3,2,17,1,50.0,0,74,117,1,4.2509,9,1,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Hassan,1143587,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.3909090909091,11,1,0,2,0,0.22266465,77,109,70.642201834862,48,29,14,0,2,33.333333333333,2,1,1,0,0,0,0.0,13,5,8,25.806451612903,17,44.736842105263,581,7.6923076923077,0,0,0,0,0,0,6,100.0,8,0,1,4,54,1,4,2,176,6,13,1,0,5,3,1,0,0,0,0,0,0,0,0,0,7,0.0,0,6,1,6,11,1,50.0,0,61,48,0,0.9292,14,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khalid Al-Ghannam,976538,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,7.184,25,9,13,4,4,4.11072208,298,391,76.214833759591,94,204,126,29,26,40.0,20,4,4,0,0,9,24.324324324324,27,18,70,44.303797468354,3,18.75,1561,33.333333333333,0,0,1,0,0,0,19,67.857142857143,4,0,0,23,231,10,25,17,685,24,18,2,0,9,5,6,0,0,1,0,0,0,0,0,0,18,0.0,29,65,37,28,31,12,60.0,0,104,287,2,4.086,39,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
João Costa,1397478,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.5545454545455,11,0,0,0,2,0.26831209,163,213,76.525821596244,77,86,49,4,9,37.5,21,11,4,0,0,5,27.777777777778,7,1,35,44.303797468354,7,43.75,778,0.0,0,0,0,0,0,0,9,34.615384615385,15,1,0,7,108,0,13,7,413,5,16,0,0,6,2,3,0,0,1,0,0,0,0,0,0,9,0.0,4,24,18,26,12,10,47.619047619048,0,96,117,0,0.1562,33,2,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georginio Wijnaldum,22126,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.9576923076923,26,13,6,13,5,2.55278633,418,522,80.07662835249,155,263,161,16,24,41.379310344828,8,3,1,0,0,1,14.285714285714,62,32,71,47.651006711409,15,38.461538461538,2271,20.967741935484,3,3,1,0,7,0,17,77.272727272727,13,0,0,24,223,11,29,11,848,39,14,1,0,7,14,11,0,0,5,0,0,0,0,0,0,25,0.0,16,58,7,22,46,5,62.5,0,172,350,3,10.9213,54,1,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohau Nkota,1890491,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.6277777777778,18,2,4,3,2,1.76196807,223,275,81.090909090909,61,162,83,16,9,26.470588235294,26,7,0,0,0,10,30.30303030303,13,3,39,37.5,4,18.181818181818,1193,15.384615384615,0,0,0,0,0,0,9,56.25,15,1,1,12,148,3,6,5,495,4,11,1,0,18,5,5,1,0,1,0,0,0,0,0,0,13,0.0,15,34,33,16,25,16,61.538461538462,0,78,197,0,1.4199,41,0,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ondrej Duda,246319,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.6809523809524,21,0,3,0,0,1.62436804,835,949,87.987355110643,448,387,164,16,15,68.181818181818,23,17,7,0,0,11,20.754716981132,10,1,56,46.666666666667,5,55.555555555556,1630,0.0,0,0,0,1,2,0,50,67.567567567568,12,0,2,14,210,6,70,40,1207,18,25,0,0,18,1,4,0,0,1,0,0,0,0,0,0,20,0.0,16,22,53,74,36,15,65.217391304348,0,478,471,0,0.4679,118,4,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mukhtar Ali,788258,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.9423076923077,26,1,2,0,0,0.71256803,952,1074,88.640595903166,527,425,169,16,4,36.363636363636,37,17,4,0,0,1,14.285714285714,15,4,58,52.252252252252,12,75.0,1712,6.6666666666667,0,0,0,0,0,0,88,66.165413533835,28,0,0,4,164,3,125,76,1284,19,22,0,0,21,1,4,0,0,4,0,0,0,0,0,0,19,0.0,16,11,7,133,27,25,67.567567567568,0,553,521,0,0.4016,81,4,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Medrán,537018,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,7.1173913043478,23,0,11,1,5,4.75240876,958,1167,82.090831191088,409,549,277,41,21,46.666666666667,24,26,4,0,0,34,34.343434343434,23,5,90,51.724137931034,9,40.909090909091,1981,0.0,0,0,0,1,4,0,100,60.240963855422,15,0,4,27,386,11,156,78,1601,45,19,0,0,16,1,9,0,0,7,0,0,0,0,0,0,22,0.0,41,45,99,166,32,14,58.333333333333,0,447,720,0,1.3084,120,2,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matija Glušćević,1147561,Saudi Pro League 25/26,Saudi Pro League,Al-Ettifaq,6.5333333333333,6,0,0,0,0,0.0875876,20,24,83.333333333333,4,16,14,2,2,40.0,3,0,0,0,0,0,0.0,0,0,9,42.857142857143,2,40.0,186,0.0,0,0,0,0,0,0,1,100.0,4,0,0,6,17,0,0,0,58,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,5,1,1,4,2,66.666666666667,0,5,19,0,0.0,2,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
