İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Omar Al-Somah,791575,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.4888888888889,18,5,1,11,0,0.74863376,175,246,71.138211382114,74,101,66,11,15,53.571428571429,7,2,1,0,0,0,0.0,55,20,35,39.772727272727,25,43.103448275862,1216,9.0909090909091,4,2,1,0,7,0,9,56.25,11,0,0,23,155,7,23,11,461,14,11,1,0,6,10,14,0,0,1,0,0,0,0,0,0,13,0.0,11,28,4,16,17,3,42.857142857143,0,86,160,0,7.4956,24,1,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir Saâyoud,309154,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,7.1315789473684,19,3,10,4,3,4.27866688,393,500,78.6,88,305,194,24,52,57.142857142857,20,8,3,0,0,11,29.72972972973,25,8,89,49.171270718232,7,46.666666666667,1074,12.0,2,1,1,0,2,0,20,74.074074074074,7,0,2,32,248,6,44,24,832,17,16,1,0,7,2,3,0,0,0,0,0,0,0,0,0,10,0.0,24,91,37,27,25,12,60.0,0,107,393,3,3.2253,58,1,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yousef Al-Shammari,917232,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.5375,16,3,0,6,0,0.37219745,91,132,68.939393939394,37,54,37,5,1,33.333333333333,3,3,3,0,0,1,33.333333333333,20,11,11,40.740740740741,17,40.47619047619,841,15.0,1,1,1,0,1,0,1,33.333333333333,8,0,0,4,63,1,9,4,217,7,7,1,0,4,7,1,0,0,0,0,0,0,0,0,0,9,0.0,5,3,3,3,18,3,100.0,0,44,88,0,3.8075,8,2,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Mokwana,1394459,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.5470588235294,17,1,2,1,2,0.93075319,156,203,76.847290640394,52,104,65,17,11,32.352941176471,27,15,4,0,0,2,25.0,17,8,45,39.823008849558,9,36.0,962,5.8823529411765,0,0,2,0,0,0,2,40.0,5,0,0,8,129,3,4,3,413,7,27,2,0,12,8,2,0,0,1,0,0,0,0,0,0,11,0.0,17,34,8,5,18,16,59.259259259259,0,65,138,1,1.3594,34,0,17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssouf Oumarou,1089931,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.6125,8,0,0,2,0,0.2719876,150,174,86.206896551724,69,81,33,2,4,66.666666666667,10,5,0,0,0,0,0.0,13,6,20,57.142857142857,0,0.0,512,0.0,0,0,0,0,0,0,15,71.428571428571,5,0,0,4,44,1,15,10,251,6,7,0,0,2,1,1,0,0,0,0,0,0,0,0,0,5,0.0,2,6,2,21,11,2,20.0,0,76,98,0,1.0235,18,3,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aboubacar Bah,2018134,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,7.065,20,2,3,0,2,2.09014121,605,713,84.852734922861,237,368,195,25,26,86.666666666667,44,26,2,0,0,8,20.512820512821,16,3,96,60.377358490566,6,50.0,1447,12.5,0,0,0,0,0,0,18,45.0,12,0,0,19,198,12,49,24,998,26,27,0,0,13,2,5,0,0,0,0,0,0,0,0,0,17,0.0,25,30,39,40,25,30,68.181818181818,0,261,452,1,0.5121,100,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fábio Martins,193064,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.6653846153846,26,5,4,2,3,1.48704431,409,527,77.609108159393,180,229,145,14,17,39.53488372093,23,12,4,0,0,2,11.111111111111,49,17,82,43.850267379679,14,56.0,1761,10.204081632653,3,1,0,0,2,0,26,56.521739130435,15,0,0,14,215,13,59,30,855,43,48,1,0,20,6,15,0,0,0,0,0,0,0,0,0,21,0.0,14,43,18,46,33,18,78.260869565217,0,211,316,1,4.9577,73,0,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miguel Carvalho,1184312,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.7,12,0,2,0,1,0.96817086,187,223,83.856502242152,100,87,55,7,8,66.666666666667,6,5,0,0,0,6,66.666666666667,5,2,16,57.142857142857,2,50.0,429,0.0,0,0,0,0,0,0,9,42.857142857143,3,0,0,1,50,3,15,7,289,3,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,5,0.0,7,12,9,21,10,4,66.666666666667,0,111,112,0,0.2339,22,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosier Loreintz,954812,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.908,25,0,1,0,0,1.29677473,1090,1252,87.060702875399,612,478,231,17,11,64.705882352941,40,35,2,0,0,3,37.5,12,1,63,56.25,31,67.391304347826,2167,0.0,0,0,0,0,0,0,74,61.157024793388,58,1,0,13,215,7,101,68,1552,13,21,1,0,11,1,1,0,0,2,0,0,0,0,0,0,24,0.0,17,17,8,121,44,26,65.0,0,659,593,0,0.3671,130,6,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nawaf Al-Habashi,954528,Saudi Pro League 25/26,Saudi Pro League,Al-Hazem,6.852,25,4,4,4,2,2.09158497,320,402,79.601990049751,61,259,174,18,50,47.169811320755,29,9,2,0,0,7,24.137931034483,35,16,104,52.0,9,32.142857142857,1635,11.428571428571,0,0,1,0,0,0,7,53.846153846154,5,0,1,15,250,11,29,14,784,25,19,0,0,9,8,7,0,0,1,0,0,0,0,0,0,18,0.0,18,106,29,13,32,16,55.172413793103,0,74,328,1,3.3673,63,0,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
