İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Alexandre Lacazette,50070,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.9814814814815,27,11,8,8,4,3.0597334,483,601,80.366056572379,174,309,186,38,6,26.086956521739,16,11,3,0,0,10,26.315789473684,43,23,52,40.944881889764,24,38.095238095238,2249,25.581395348837,4,4,2,0,2,0,19,70.37037037037,24,0,0,16,234,9,31,18,899,30,34,2,0,10,11,7,0,0,4,0,0,0,0,0,0,26,0.0,38,23,38,27,33,9,56.25,0,193,408,1,7.5897,50,2,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luciano Rodríguez,1099361,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.5565217391304,23,5,2,2,1,1.87406682,280,359,77.994428969359,91,189,122,18,15,24.193548387097,9,5,0,1,1,3,18.75,48,19,49,30.246913580247,11,32.352941176471,1849,10.416666666667,0,0,0,0,0,0,8,61.538461538462,8,0,0,33,231,11,10,6,668,25,20,0,0,15,5,11,0,0,3,0,0,0,0,0,0,22,0.0,18,62,16,13,26,7,77.777777777778,0,110,249,1,5.4778,60,0,23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rayane Messi Tanfouri,1606632,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.95,6,1,0,2,1,0.67060971,120,149,80.536912751678,38,82,62,7,9,69.230769230769,5,4,0,0,0,1,4.7619047619048,10,4,19,52.777777777778,4,40.0,525,10.0,0,0,0,0,0,0,2,66.666666666667,6,0,0,2,72,3,6,3,247,6,7,1,0,6,3,3,0,0,1,0,0,0,0,0,0,6,0.0,7,13,21,3,5,2,40.0,0,40,109,1,1.0282,19,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmed Abdu,873363,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.5,15,1,0,3,0,0.08073244,35,48,72.916666666667,9,26,16,1,1,50.0,3,0,1,0,0,0,0.0,12,3,9,32.142857142857,9,42.857142857143,405,8.3333333333333,0,0,0,0,0,0,2,66.666666666667,1,0,0,7,32,1,3,2,106,6,10,2,0,3,3,2,0,0,0,0,0,0,0,0,0,2,0.0,1,2,1,3,5,2,66.666666666667,0,10,38,0,2.4423,8,0,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saïd Benrahma,354808,Saudi Pro League 25/26,Saudi Pro League,Neom SC,7.1454545454545,22,5,13,3,6,5.03014124,475,598,79.43143812709,140,335,209,45,36,53.731343283582,16,10,1,0,0,24,26.373626373626,64,22,77,48.427672955975,1,20.0,1630,7.8125,1,1,0,0,11,1,18,66.666666666667,1,0,1,30,318,18,41,20,1012,25,9,2,0,13,8,9,0,0,1,0,0,0,0,0,0,18,9.0909090909091,45,67,91,27,22,9,56.25,0,152,446,2,4.7109,97,1,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdoulaye Doucouré,96535,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.7636363636364,11,0,1,1,2,1.01712997,501,553,90.596745027125,272,229,89,10,4,44.444444444444,22,7,4,0,0,0,0.0,7,3,27,47.368421052632,5,50.0,855,0.0,0,0,0,1,0,0,16,64.0,15,0,0,5,79,1,9,6,660,1,16,0,1,5,0,3,0,0,2,0,0,0,0,0,0,10,0.0,10,9,2,25,10,12,54.545454545455,0,291,262,0,0.5007,56,5,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amadou Koné,1586875,Saudi Pro League 25/26,Saudi Pro League,Neom SC,7.108,25,1,1,2,0,0.80534259,1160,1313,88.347296268088,564,596,231,11,11,73.333333333333,59,45,6,0,0,1,16.666666666667,27,9,140,63.348416289593,48,61.538461538462,2207,3.7037037037037,0,0,0,0,0,0,64,72.727272727273,36,3,2,18,244,6,68,42,1729,73,45,0,0,17,3,8,0,0,6,0,0,0,0,0,0,25,0.0,11,15,6,88,32,34,57.627118644068,0,610,703,0,1.6424,144,4,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhannad Al Saad,868611,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.5,1,0,1,0,0,0.060329,7,7,100.0,3,4,1,2,0,0.0,2,0,0,0,0,0,0.0,0,0,3,50.0,0,0.0,17,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,2,0,0,0,14,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,50.0,0,3,4,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salman Al-Faraj,148858,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.7076923076923,13,0,2,2,0,1.92424768,355,395,89.873417721519,167,188,77,12,7,58.333333333333,5,3,1,0,0,7,35.0,4,0,18,42.857142857143,0,0.0,563,0.0,0,0,0,0,1,0,16,69.565217391304,2,0,0,11,79,1,21,10,486,6,5,0,0,3,1,3,0,0,0,0,0,0,0,0,0,6,0.0,12,12,20,23,9,2,40.0,0,175,220,0,0.5844,30,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayman Fallatah,1517641,Saudi Pro League 25/26,Saudi Pro League,Neom SC,6.6,5,0,0,0,0,0.03248958,56,59,94.915254237288,16,40,16,0,2,50.0,1,1,0,0,0,0,0.0,3,1,3,37.5,0,0.0,109,0.0,0,0,0,0,0,0,0,0.0,4,0,0,0,9,1,1,1,81,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,0,0,1,0,0.0,0,17,42,0,0.0947,6,1,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
