İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Berke Özer,847494,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.6,1,0,0,0,0,0.0138465,30,35,85.714285714286,23,7,5,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,90,0.0,0,0,0,0,0,0,7,58.333333333333,0,0,0,0,5,0,2,1,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0,0,0,12,4,0,0.0,0,23,12,0,0.0,4,0,1,-0.8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umut Bozok,869839,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.6592592592593,27,4,1,7,0,1.18727605,367,445,82.47191011236,157,210,116,16,10,32.258064516129,7,2,4,0,0,0,0.0,28,14,68,44.736842105263,26,41.935483870968,1671,14.285714285714,1,1,0,0,0,0,26,83.870967741935,13,0,1,38,199,12,31,21,724,52,23,2,0,5,7,7,0,0,1,0,0,0,0,0,0,18,0.0,16,31,5,31,27,5,71.428571428571,0,179,266,0,5.1156,57,3,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metehan Altunbaş,957798,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.6909090909091,11,3,2,1,0,0.09133751,85,109,77.981651376147,25,60,34,4,0,0.0,13,6,4,0,0,0,0.0,14,4,28,44.444444444444,9,37.5,556,21.428571428571,0,0,0,0,0,0,1,50.0,5,0,0,6,52,2,1,0,209,16,20,1,0,5,6,1,0,0,0,0,0,0,0,0,0,6,0.0,4,5,1,2,9,13,100.0,0,32,77,0,2.1431,19,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdou Sy,2460449,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.7,1,0,0,0,0,0.0,0,1,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,2,100.0,0,0.0,12,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateusz Łęgowski,1064080,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.58,20,0,1,1,1,0.77254642,263,341,77.126099706745,124,139,70,12,6,46.153846153846,19,3,4,0,0,1,12.5,10,2,39,52.702702702703,8,34.782608695652,1041,0.0,0,0,0,1,0,0,8,33.333333333333,10,0,1,15,130,2,28,10,500,16,13,0,0,3,1,2,0,0,2,0,0,0,0,0,0,12,0.0,12,13,8,24,13,9,47.368421052632,0,148,193,0,0.6859,41,1,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ángel Torres,954090,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.65,10,0,1,0,1,1.02986052,154,194,79.381443298969,61,93,61,9,18,50.0,8,3,0,0,0,3,42.857142857143,5,0,34,42.5,4,33.333333333333,538,0.0,0,0,0,0,0,0,8,88.888888888889,5,0,0,14,98,8,8,6,320,8,9,0,0,7,3,0,0,0,0,0,0,0,0,0,0,6,0.0,9,36,7,9,8,6,75.0,0,74,120,0,0.2883,44,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emre Akbaba,343527,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.8,21,3,2,3,0,1.90452258,296,363,81.542699724518,133,163,96,22,11,68.75,32,8,3,0,0,11,32.352941176471,25,9,65,60.747663551402,7,31.818181818182,991,12.0,1,1,0,1,2,0,17,60.714285714286,6,0,0,14,133,9,22,10,590,22,14,0,0,12,6,6,0,0,0,0,0,0,0,0,0,10,0.0,22,16,34,28,17,21,65.625,0,146,217,1,3.1364,41,2,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorin Rotariu,335317,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.6666666666667,3,0,0,0,0,0.04596531,9,15,60.0,3,6,4,1,1,33.333333333333,1,1,0,0,0,0,0.0,1,1,2,40.0,2,66.666666666667,63,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,11,0,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,3,1,0,2,1,100.0,0,4,11,0,0.0432,1,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenny Pintor,896596,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.79,10,0,1,0,0,0.78034391,142,177,80.225988700565,57,85,46,12,12,38.709677419355,19,7,1,0,0,6,37.5,11,1,58,53.703703703704,2,9.5238095238095,662,0.0,0,0,1,0,0,0,2,25.0,6,1,1,13,97,2,7,3,374,27,7,0,0,11,1,6,0,0,1,0,0,0,0,0,0,9,0.0,12,31,16,8,9,12,63.157894736842,0,68,109,0,0.7565,39,2,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ismaila Manga,2169898,Super Lig 25/26,Trendyol Süper Lig,Eyüpspor,6.6,1,0,0,0,0,0.00029301,5,5,100.0,4,1,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,33.333333333333,0,0.0,13,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,2,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0.0,0,4,1,0,0.0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
