İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Cenk Tosun,72127,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.6384615384615,13,1,1,0,1,0.409314,45,74,60.810810810811,12,33,17,2,1,33.333333333333,1,1,3,0,0,0,0.0,8,1,8,36.363636363636,20,51.282051282051,445,12.5,0,0,1,0,0,0,2,50.0,5,0,0,2,48,3,4,2,124,6,10,1,0,1,5,4,0,0,0,0,0,0,0,0,0,4,0.0,2,3,0,4,6,1,100.0,0,13,61,0,0.643,7,1,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Benedyczak,928295,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,7.0875,8,5,3,1,1,0.62055729,70,106,66.037735849057,24,46,33,9,3,60.0,8,3,0,0,0,0,0.0,16,8,15,41.666666666667,16,43.243243243243,640,31.25,2,2,1,0,0,0,4,40.0,6,0,0,6,64,5,7,4,190,4,11,0,0,2,0,4,1,0,0,0,0,0,0,0,0,8,0.0,8,5,8,10,9,7,87.5,0,27,79,0,3.1197,20,1,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jim Allevinah,988632,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.8142857142857,7,1,1,0,0,0.28191115,37,50,74.0,17,20,10,4,6,75.0,10,1,2,0,0,2,33.333333333333,6,1,24,61.538461538462,2,40.0,266,16.666666666667,0,0,0,0,0,0,0,0.0,0,0,0,2,32,2,3,2,114,8,4,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3,0.0,4,8,6,1,8,6,60.0,0,21,29,0,0.7946,13,1,7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Habib Gueye,880778,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.5166666666667,24,5,1,7,0,0.61946845,178,268,66.417910447761,47,131,93,9,12,36.363636363636,15,4,3,0,1,0,0.0,38,14,51,29.651162790698,69,43.670886075949,1547,13.157894736842,1,0,1,0,0,0,3,50.0,14,0,0,27,240,10,7,2,586,26,65,1,0,16,5,4,0,0,1,0,0,0,0,0,0,16,0.0,9,33,8,6,25,12,80.0,1,61,207,1,4.958,37,2,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yusuf Barası,1000187,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.6,8,0,0,0,0,0.20562189,44,52,84.615384615385,23,21,9,2,3,27.272727272727,3,4,2,0,0,2,22.222222222222,5,2,14,46.666666666667,2,40.0,285,0.0,0,0,0,0,0,0,2,40.0,1,0,0,3,37,0,0,0,121,9,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0.0,2,11,9,5,6,1,33.333333333333,0,24,28,0,0.1547,16,1,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali Yavuz Kol,910091,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.505,20,0,1,1,0,1.0674163,195,249,78.313253012048,60,135,88,10,19,45.238095238095,20,6,4,0,0,8,18.181818181818,25,2,44,32.835820895522,8,53.333333333333,721,0.0,0,0,0,0,0,0,13,76.470588235294,3,0,0,19,167,8,16,12,497,5,24,0,0,24,1,10,0,0,1,0,0,0,0,0,0,5,0.0,10,42,44,17,9,17,85.0,0,71,178,0,1.04,50,1,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kubilay Kanatsızkuş,828953,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.6052631578947,19,1,1,1,1,1.06075483,60,92,65.217391304348,19,41,27,3,4,44.444444444444,7,2,0,0,0,1,25.0,12,2,21,53.846153846154,27,55.102040816327,631,8.3333333333333,0,0,0,0,0,0,0,0.0,10,0,0,5,63,3,1,0,193,11,7,2,0,2,2,5,0,0,0,0,0,0,0,0,0,6,0.0,3,9,4,0,12,2,28.571428571429,0,22,70,1,0.9923,12,0,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İrfan Can Kahveci,226986,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.9611111111111,18,1,5,2,2,3.67616655,352,453,77.704194260486,114,238,148,26,8,29.62962962963,24,8,4,0,0,24,36.363636363636,18,5,52,49.056603773585,8,32.0,1123,5.5555555555556,0,0,0,0,5,0,30,57.692307692308,1,0,1,7,191,10,67,34,692,20,20,1,0,9,7,6,0,0,2,0,0,0,0,0,0,12,0.0,26,27,66,52,11,15,62.5,0,134,319,1,1.7871,68,2,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerem Demirbay,142619,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,7.08,20,1,3,2,0,2.98873481,769,974,78.952772073922,361,408,212,38,10,45.454545454545,60,24,4,0,1,32,29.357798165138,23,7,100,53.191489361702,8,38.095238095238,1755,4.3478260869565,0,0,1,0,1,0,61,43.571428571429,20,0,0,19,360,12,139,72,1381,30,35,0,0,24,1,7,0,0,1,0,0,0,0,0,0,20,0.0,38,22,109,140,26,34,56.666666666667,1,418,556,0,1.3252,127,3,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eyüp Aydın,1130115,Super Lig 25/26,Trendyol Süper Lig,Kasımpaşa,6.55,8,0,1,0,0,0.24509759,155,184,84.239130434783,69,86,30,5,2,40.0,11,4,1,0,0,1,20.0,5,2,24,52.173913043478,3,50.0,381,0.0,0,0,0,0,0,0,10,58.823529411765,6,1,0,2,44,2,20,12,255,11,10,0,0,7,0,2,1,0,0,0,0,0,0,0,0,4,0.0,4,5,5,17,9,8,72.727272727273,0,80,104,0,0.3746,22,1,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
