İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Jackson Muleka,927649,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.824,25,5,1,8,2,1.39922058,395,520,75.961538461538,125,270,154,18,39,52.702702702703,30,17,4,0,0,5,20.833333333333,63,21,141,53.81679389313,45,44.554455445545,1946,7.9365079365079,1,1,0,0,0,0,14,50.0,13,0,1,42,291,14,25,14,1015,73,37,1,0,12,5,15,0,0,2,0,0,0,0,0,0,22,0.0,18,74,24,28,33,22,73.333333333333,0,148,372,3,7.2981,76,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaž Kramer,804405,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.7333333333333,9,4,0,4,0,0.28539509,72,104,69.230769230769,26,46,33,4,4,66.666666666667,4,0,4,0,0,0,0.0,11,9,15,35.714285714286,16,42.105263157895,525,36.363636363636,0,0,0,0,0,0,0,0.0,7,0,0,9,65,4,1,1,187,8,15,0,0,2,2,2,0,0,1,0,0,0,0,0,0,5,0.0,4,6,4,1,7,2,50.0,0,31,73,0,3.2858,10,2,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhammet Tunahan Taşçı,980612,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.7272727272727,11,1,0,0,1,0.2518269,88,110,80.0,26,62,45,9,3,30.0,6,0,1,0,0,1,10.0,5,3,14,45.161290322581,1,50.0,204,20.0,0,0,0,0,0,0,2,33.333333333333,2,0,0,4,48,3,6,2,171,5,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9,10,10,6,3,3,50.0,0,30,80,0,0.2176,12,0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkan Kutlu,992912,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.7647058823529,17,0,1,1,1,0.81069703,380,468,81.196581196581,179,201,102,13,5,41.666666666667,15,7,3,0,0,7,33.333333333333,11,4,33,49.253731343284,8,53.333333333333,963,0.0,0,0,0,0,0,0,28,49.122807017544,13,0,2,7,133,5,42,14,641,13,10,0,0,10,0,5,0,0,2,0,0,0,0,0,0,10,0.0,13,12,21,57,12,7,46.666666666667,0,197,271,0,0.6496,49,1,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enis Bardhi,355024,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.8555555555556,27,5,5,5,2,4.26367222,557,664,83.885542168675,192,365,231,47,14,42.424242424242,21,11,2,0,1,27,28.723404255319,50,18,61,43.571428571429,7,38.888888888889,1803,10.0,2,2,0,0,8,1,35,60.344827586207,15,0,2,20,257,13,63,44,1046,26,24,1,0,16,3,13,0,0,1,0,0,0,0,0,0,20,12.5,47,33,94,58,33,11,52.380952380952,1,213,451,0,5.2826,81,0,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazeem Olaigbe,1004346,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.6230769230769,26,0,3,0,1,1.64930572,404,503,80.318091451292,142,262,157,18,33,44.0,21,6,1,0,0,5,10.869565217391,39,13,81,46.285714285714,2,15.384615384615,1672,0.0,0,0,0,0,0,0,21,61.764705882353,7,0,0,27,266,13,29,17,879,27,18,1,0,8,17,13,0,0,1,0,0,0,0,0,0,21,0.0,18,75,46,34,20,10,47.619047619048,0,163,340,0,2.26,60,3,26,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Gonçalves,357746,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.45,2,0,0,0,0,0.00124162,7,10,70.0,3,4,0,0,0,0.0,0,1,0,0,0,0,0.0,0,0,1,25.0,0,0.0,38,0.0,0,0,0,0,0,0,1,33.333333333333,1,0,0,0,4,0,3,1,16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,3,1,0,0.0,0,3,7,0,0.0,0,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jo Jin-ho,1019710,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.675,16,0,1,0,0,0.77276278,372,423,87.943262411348,174,198,103,5,9,75.0,29,8,4,0,0,6,35.294117647059,10,3,51,52.040816326531,4,26.666666666667,847,0.0,0,0,0,1,0,0,11,42.307692307692,7,0,0,10,94,3,24,12,584,13,24,0,0,13,0,3,0,0,1,0,0,0,0,0,0,9,0.0,5,12,17,26,15,13,44.827586206897,0,190,233,0,0.3929,35,1,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius Ștefănescu,988637,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.6166666666667,6,0,1,0,0,0.54726035,50,62,80.645161290323,11,39,23,2,2,50.0,2,0,0,0,0,3,18.75,6,2,6,40.0,0,0.0,168,0.0,0,0,0,0,0,0,2,66.666666666667,1,0,0,1,36,0,3,1,107,2,5,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0.0,2,4,16,3,1,2,100.0,0,14,48,0,0.3833,4,0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deniz Türüç,252207,Super Lig 25/26,Trendyol Süper Lig,Konyaspor,6.9636363636364,22,1,7,0,2,4.60876308,454,566,80.212014134276,184,270,148,22,9,52.941176470588,22,8,8,0,0,26,24.761904761905,19,6,49,46.666666666667,14,48.275862068966,1281,5.2631578947368,0,0,0,0,6,0,38,57.575757575758,10,0,0,16,254,6,73,34,878,18,18,1,0,15,2,6,1,0,0,0,0,0,0,0,0,15,0.0,21,17,105,66,16,13,59.090909090909,0,198,368,0,1.1801,48,5,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
