İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Danylo Sikan,945479,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.5,10,1,1,1,0,0.16448978,58,77,75.324675324675,24,34,19,3,2,50.0,5,1,2,0,0,2,66.666666666667,8,2,14,43.75,5,38.461538461538,251,12.5,0,0,1,0,1,0,1,50.0,1,0,0,7,38,0,4,2,131,7,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0.0,3,4,3,2,7,3,60.0,0,26,51,0,1.4553,8,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muhammed-Cham Saračević,958901,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.4,1,0,0,0,0,0.0158882,2,2,100.0,0,2,1,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,11,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,1,0,0,0,0.0,0,0,2,0,0.0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batista Mendy,859021,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.5,2,0,0,0,0,0.01430897,19,22,86.363636363636,15,4,2,1,0,0.0,1,0,0,0,0,0,0.0,1,0,4,44.444444444444,0,0.0,56,0.0,0,0,0,0,0,0,0,0.0,1,0,0,1,6,0,0,0,33,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,1,0,1,100.0,0,16,6,0,0.0319,4,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Onuachu,295123,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,7.252,25,22,3,17,2,1.3472413,319,432,73.842592592593,135,184,81,20,18,45.0,5,1,5,0,0,0,0.0,73,40,61,32.972972972973,101,61.963190184049,2149,30.13698630137,7,6,2,0,1,0,25,69.444444444444,49,0,0,49,256,11,27,20,818,41,60,2,0,7,24,12,0,0,5,0,0,0,0,0,0,24,0.0,20,40,1,36,19,2,40.0,0,166,266,6,15.8778,40,3,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felipe Augusto,1106681,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.8888888888889,27,11,4,8,0,1.31821273,211,271,77.859778597786,72,139,83,13,20,48.780487804878,24,10,1,0,0,4,28.571428571429,50,27,66,40.740740740741,20,36.363636363636,1827,22.0,0,0,0,0,0,0,5,45.454545454545,13,0,0,27,165,10,6,1,607,24,33,3,0,17,5,8,0,0,0,0,0,0,0,0,0,22,0.0,13,41,14,11,21,16,66.666666666667,0,84,187,0,6.1766,46,7,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umut Nayir,284767,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.9692307692308,26,8,3,7,2,2.08185947,241,374,64.438502673797,80,161,90,17,6,28.571428571429,4,2,2,0,0,3,60.0,49,18,46,45.544554455446,93,61.184210526316,1836,16.326530612245,1,1,2,0,0,0,5,50.0,19,0,0,16,200,8,6,2,620,40,15,0,0,10,14,11,0,0,1,0,0,0,0,0,0,20,0.0,17,21,5,10,31,1,25.0,0,105,269,2,6.4232,28,4,27,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Inao Oulaï,1888002,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,7.1368421052632,19,2,3,0,4,2.08498935,906,986,91.886409736308,411,495,221,32,38,66.666666666667,39,17,8,0,0,10,41.666666666667,21,6,114,55.609756097561,6,50.0,1638,9.5238095238095,0,0,0,0,0,0,58,82.857142857143,7,1,0,23,179,11,63,50,1301,37,31,1,0,20,0,5,0,0,4,0,0,0,0,0,0,19,0.0,32,57,24,70,21,23,58.974358974359,0,437,549,1,0.9832,100,1,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ernest Muçi,924670,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,7.1458333333333,24,10,6,5,3,4.13869708,563,654,86.085626911315,184,379,200,43,23,52.272727272727,17,8,3,0,0,27,26.732673267327,68,25,52,44.067796610169,5,55.555555555556,1668,14.705882352941,2,2,1,0,9,1,21,61.764705882353,6,0,1,25,273,11,24,9,1058,12,9,1,0,12,3,15,2,0,2,0,0,0,0,0,0,19,11.111111111111,41,44,101,34,25,10,58.823529411765,0,203,451,3,7.3359,58,1,24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Bouchouari,1046446,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.6454545454545,11,0,1,0,0,0.16762276,151,171,88.304093567251,54,97,51,8,2,40.0,5,2,0,1,1,0,0.0,4,1,15,55.555555555556,2,50.0,323,0.0,0,0,0,0,0,0,6,75.0,1,0,1,4,40,1,6,4,227,8,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0.0,8,5,2,8,6,5,100.0,0,62,109,0,0.149,14,2,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozan Tufan,251907,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.9176470588235,17,0,3,0,2,1.38561246,414,460,90.0,206,208,99,16,2,33.333333333333,22,12,3,0,0,3,20.0,8,3,33,61.111111111111,9,56.25,977,0.0,0,0,0,0,0,0,21,55.263157894737,19,0,1,3,81,2,26,14,646,9,10,0,0,4,1,1,0,0,1,0,0,0,0,0,0,10,0.0,16,6,15,38,15,14,63.636363636364,0,225,235,1,0.2601,52,7,19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oleksandr Zubkov,353282,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,7.24,25,3,13,3,6,5.90126527,547,693,78.932178932179,202,345,240,61,35,57.377049180328,27,7,1,0,0,42,28.571428571429,63,16,83,47.701149425287,5,41.666666666667,1855,4.7619047619048,0,0,1,0,4,0,50,58.139534883721,1,0,0,21,345,13,90,46,1152,22,23,3,0,22,4,21,0,0,0,0,0,0,0,0,0,21,0.0,61,61,147,86,19,18,66.666666666667,0,221,472,5,3.6119,74,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edin Višća,109779,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.6666666666667,9,0,0,0,0,0.35072309,53,66,80.30303030303,17,36,25,5,1,50.0,2,0,0,0,0,6,27.272727272727,8,2,10,62.5,1,25.0,188,0.0,0,0,0,0,0,0,5,83.333333333333,3,0,0,1,35,3,8,5,130,7,0,0,0,4,2,3,0,0,0,0,0,0,0,0,0,2,0.0,5,2,22,6,2,1,50.0,0,20,46,0,0.3478,9,1,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Nwakaeme,139455,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.525,8,0,0,0,2,0.21826178,100,118,84.745762711864,40,60,28,5,1,33.333333333333,3,1,1,0,0,1,14.285714285714,3,0,6,35.294117647059,3,42.857142857143,252,0.0,0,0,0,0,0,0,2,40.0,2,0,0,5,36,0,5,3,160,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,5,3,7,5,2,1,33.333333333333,0,45,73,0,0.2256,12,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okay Yokuşlu,97967,Super Lig 25/26,Trendyol Süper Lig,Trabzonspor,6.69375,16,1,1,0,0,0.74074289,451,507,88.954635108481,285,166,54,6,2,66.666666666667,9,8,1,1,1,2,50.0,6,3,28,51.851851851852,25,54.347826086957,890,16.666666666667,0,0,0,1,0,0,22,53.658536585366,44,0,1,6,76,1,30,17,652,18,16,0,1,7,0,1,0,0,3,0,0,0,0,0,0,10,0.0,6,3,4,41,8,5,55.555555555556,0,297,210,1,0.3309,34,6,21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
