İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Vladyslav Vanat,976374,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.4,0,1,0,0,1,0.0,15,20,75.0,0,0,1,3,1,50.0,0,0,0,0,0,0,0.0,4,3,0,0.0,0,0.0,118,25.0,0,0,0,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,1,0,0,0.0,0,0,0,0,0.0,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ángel Torres,954090,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.0,0,0,0,0,0,0.0,17,22,77.27,0,0,1,2,3,100.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,48,0.0,0,0,0,0,0,0,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,0,1,4,0,0,0.0,0,0,0,0,0.0,4,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matvii Ponomarenko,1596425,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.3090909090909,0,9,0,0,0,0.0,90,123,73.17,0,0,6,4,16,80.0,0,0,2,0,1,1,20.0,33,16,0,0.0,9,34.62,763,27.27,0,0,0,0,0,0,3,75.0,2,0,4,0,0,0,0,0,0,8,14,0,0,1,5,1,0,0,0,0,0,0,0,0,0,8,0.0,0,0,5,4,0,0,0.0,1,0,0,0,0.0,18,0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Guerrero,985134,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.0333333333333,0,3,0,0,1,0.0,135,176,76.7,0,0,9,9,17,80.95,0,0,0,0,0,3,33.33,28,13,0,0.0,18,43.9,899,10.71,0,0,0,0,0,0,3,75.0,4,0,1,0,0,0,0,0,0,6,5,0,0,3,5,0,2,0,0,0,0,0,0,0,0,9,0.0,0,0,9,4,0,0,0.0,0,0,0,0,0.0,22,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vladislav Blănuță,1002005,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,6.5166666666667,0,0,0,0,0,0.0,17,24,70.83,0,0,0,1,3,100.0,0,0,0,0,0,0,0.0,5,2,0,0.0,4,36.36,196,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,2,0,0,0,0.0,0,0,0,0,0.0,7,0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andriy Yarmolenko,41116,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.0357142857143,0,5,0,0,0,0.0,162,213,76.06,0,0,14,10,10,71.43,0,0,1,0,0,10,55.56,20,10,0,0.0,1,12.5,681,25.0,1,1,0,0,0,0,10,62.5,5,0,2,0,0,0,0,0,0,15,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8,0.0,0,0,18,16,0,0,0.0,0,0,0,0,0.0,21,0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shola Ogundana,1647589,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,6.8555555555556,0,1,0,0,0,0.0,156,199,78.39,0,0,2,6,13,65.0,0,0,1,0,0,8,53.33,11,5,0,0.0,4,44.44,627,9.091,0,0,0,0,0,0,4,57.14,2,0,2,0,0,0,0,0,0,12,5,0,0,7,1,1,0,0,0,0,0,0,0,0,0,7,0.0,0,0,15,7,0,0,0.0,0,0,0,0,0.0,31,0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mykola Shaparenko,793749,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.21875,0,2,0,0,2,0.0,406,479,84.76,0,0,41,17,23,95.83,0,0,0,0,0,6,31.58,23,8,0,0.0,5,45.45,833,8.696,0,0,0,0,1,0,39,67.24,8,0,3,0,0,0,0,0,0,16,5,0,0,10,0,1,1,0,0,0,0,0,0,0,0,9,0.0,0,0,19,58,0,0,0.0,0,0,0,0,0.0,63,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volodymyr Brazhko,1000408,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.2055555555556,0,2,0,0,1,0.0,555,654,84.86,0,0,79,9,11,84.62,0,0,2,0,0,5,41.67,41,7,0,0.0,17,45.95,1255,4.878,1,1,0,0,8,0,52,61.18,20,0,10,0,0,0,0,0,0,11,14,0,0,22,0,10,0,0,0,0,0,0,0,0,0,12,0.0,0,0,12,85,0,0,0.0,0,0,0,0,0.0,146,0,18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nazar Voloshyn,1006066,Premier League 25/26,Ukrainian Premier League,Dynamo Kyiv,7.155,0,4,0,0,4,0.0,452,561,80.57,0,0,30,28,36,70.59,0,0,2,0,0,14,29.79,38,17,0,0.0,8,24.24,1529,10.53,0,0,0,0,0,0,12,54.55,10,0,1,0,0,0,0,0,0,17,13,0,0,7,3,0,1,0,0,0,0,0,0,0,0,15,0.0,0,0,47,22,0,0,0.0,0,0,0,0,0.0,79,0,20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
