İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Baboucarr Faal,1493004,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,7.1681818181818,0,9,0,0,4,0.0,221,305,72.46,0,0,24,13,21,70.0,0,0,1,0,0,2,33.33,51,21,0,0.0,73,43.45,1980,17.65,1,0,0,0,0,0,3,42.86,23,0,4,0,0,0,0,0,0,30,25,0,0,5,9,6,0,0,0,0,0,0,0,0,0,22,0.0,0,0,6,7,0,0,0.0,0,0,0,0,0.0,70,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stênio Zanetti,1046740,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.44,0,0,0,0,0,0.0,40,49,81.63,0,0,2,1,7,77.78,0,0,1,0,0,1,100.0,1,1,0,0.0,0,0.0,250,0.0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0,3,4,0,0,6,2,1,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,9,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruninho,923949,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,7.4,0,7,0,0,2,0.0,397,487,81.52,0,0,49,16,79,84.04,0,0,4,0,0,12,33.33,49,23,0,0.0,7,30.43,1805,14.29,1,1,0,0,3,0,10,52.63,7,0,6,0,0,0,0,0,0,31,16,0,0,16,1,1,1,0,0,0,0,0,0,0,0,18,0.0,0,0,36,19,0,0,0.0,0,0,0,0,0.0,60,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Vitor,881153,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.955,0,1,0,0,0,0.0,225,293,76.79,0,0,14,10,52,82.54,0,0,1,0,0,18,37.5,35,15,0,0.0,4,30.77,1261,2.857,0,0,0,0,0,0,9,60.0,8,0,2,0,0,0,0,0,0,16,17,0,0,28,1,2,1,0,0,0,0,0,0,0,0,13,0.0,0,0,48,15,0,0,0.0,0,0,0,0,0.0,60,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilya Kvasnytsya,1218823,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.64,0,1,0,0,0,0.0,152,198,76.77,0,0,11,5,18,60.0,0,0,2,0,0,4,26.67,9,3,0,0.0,3,16.67,811,11.11,0,0,0,0,0,0,7,63.64,10,0,4,0,0,0,0,0,0,12,12,0,0,17,2,0,1,0,0,0,0,0,0,0,0,11,0.0,0,0,15,11,0,0,0.0,0,0,0,0,0.0,65,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marko Sapuga,1186239,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.6384615384615,0,0,0,0,0,0.0,131,169,77.51,0,0,14,0,3,75.0,0,0,2,0,0,0,0.0,6,3,0,0.0,17,53.13,561,0.0,0,0,0,0,0,0,11,50.0,11,0,1,0,0,0,0,0,0,12,10,0,0,7,0,2,0,0,0,0,0,0,0,0,0,5,0.0,0,0,2,22,0,0,0.0,0,0,0,0,0.0,32,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valentyn Rubchynskyi,1397134,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.525,0,0,0,0,0,0.0,38,45,84.44,0,0,2,1,1,50.0,0,0,0,0,0,0,0.0,0,0,0,0.0,1,16.67,115,0.0,0,0,0,0,0,0,2,100.0,1,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,2,0,0,0.0,0,0,0,0,0.0,12,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xeber Alkain,1010409,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.9,0,2,0,0,0,0.0,65,79,82.28,0,0,4,4,8,80.0,0,0,0,0,0,2,50.0,8,3,0,0.0,1,12.5,330,25.0,0,0,0,0,0,0,1,50.0,3,0,0,0,0,0,0,0,0,5,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0,0,4,2,0,0,0.0,0,0,0,0,0.0,21,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edson Fernando,988779,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.8294117647059,0,0,0,0,1,0.0,454,506,89.72,0,0,52,9,11,91.67,0,0,5,0,0,4,50.0,3,1,0,0.0,18,60.0,1230,0.0,0,0,0,0,0,0,27,67.5,27,0,7,0,0,0,0,0,0,19,32,0,0,17,0,6,0,0,0,0,0,0,0,0,0,13,0.0,0,0,8,40,0,0,0.0,0,0,0,0,0.0,122,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosiy Chachua,282613,Premier League 25/26,Ukrainian Premier League,Karpaty Lviv,6.8136363636364,0,0,0,0,2,0.0,446,574,77.7,0,0,30,17,13,61.9,0,0,2,0,0,23,45.1,24,5,0,0.0,15,41.67,1906,0.0,0,0,0,0,0,0,21,50.0,25,0,12,0,0,0,0,0,0,28,16,0,0,26,2,8,0,0,0,0,0,0,0,0,0,20,0.0,0,0,51,42,0,0,0.0,0,0,0,0,0.0,105,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
