İsim,Oyuncu_ID,Sezon,Turnuva_Ligi,Takım,rating,countRating,goals,bigChancesCreated,bigChancesMissed,assists,expectedAssists,accuratePasses,totalPasses,accuratePassesPercentage,accurateOwnHalfPasses,accurateOppositionHalfPasses,accurateFinalThirdPasses,keyPasses,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,yellowCards,directRedCards,redCards,accurateCrosses,accurateCrossesPercentage,totalShots,shotsOnTarget,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,minutesPlayed,goalConversionPercentage,penaltiesTaken,penaltyGoals,penaltyWon,penaltyConceded,shotFromSetPiece,freeKickGoal,accurateLongBalls,accurateLongBallsPercentage,clearances,errorLeadToGoal,errorLeadToShot,dispossessed,possessionLost,possessionWonAttThird,totalChippedPasses,accurateChippedPasses,touches,wasFouled,fouls,hitWoodwork,ownGoals,dribbledPast,offsides,blockedShots,passToAssist,saves,cleanSheet,penaltySave,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,matchesStarted,setPieceConversion,totalAttemptAssist,totalContest,totalCross,totalLongBalls,goalsConceded,tacklesWon,tacklesWonPercentage,yellowRedCards,totalOwnHalfPasses,totalOppositionHalfPasses,totwAppearances,expectedGoals,ballRecovery,outfielderBlocks,appearances,goalsPrevented,totalRating,goalsAssistsSum,inaccuratePasses,shotsOffTarget,totalDuelsWon,totalDuelsWonPercentage,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,penaltyFaced,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,penaltyConversion,duelLost,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,scoringFrequency,savesCaught,savesParried,goalKicks,id,kilometersCovered,numberOfSprints,topSpeed,substitutionsIn,substitutionsOut
Tetê,980327,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.8384615384615,13,2,2,3,3,1.56097726,348,425,81.882352941176,82,266,158,20,18,54.545454545455,8,5,2,0,0,8,21.052631578947,25,11,35,38.888888888889,10,35.714285714286,1127,8.0,0,0,1,0,0,0,15,83.333333333333,4,0,0,16,165,7,22,13,622,9,15,1,0,10,3,7,0,0,2,0,0,0,0,0,0,13,0.0,20,33,38,18,14,3,37.5,0,100,325,1,2.251,41,0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Mladenović,126680,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.775,8,0,1,0,1,0.58125083,155,192,80.729166666667,69,86,46,6,1,50.0,7,5,1,0,1,8,29.62962962963,3,0,13,56.521739130435,3,60.0,367,0.0,0,0,0,1,0,0,16,44.444444444444,11,1,0,3,68,0,19,10,319,5,4,0,0,2,1,2,0,0,1,0,0,0,0,0,0,3,0.0,6,2,27,36,6,4,57.142857142857,1,76,116,1,0.0648,15,2,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karol Świderski,576438,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.65,22,5,4,6,0,1.70598057,162,230,70.434782608696,50,112,72,11,7,43.75,4,4,4,0,0,1,25.0,35,13,31,51.666666666667,20,40.0,1090,14.285714285714,3,2,1,0,1,0,5,100.0,8,0,0,5,113,5,5,1,386,20,15,0,0,2,8,8,0,0,0,0,0,0,0,0,0,13,0.0,11,16,4,5,12,2,50.0,0,55,175,1,6.7427,14,0,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anass Zaroury,877036,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.96,25,4,10,1,2,4.30609605,404,518,77.992277992278,159,245,155,32,23,52.272727272727,18,8,1,0,0,22,21.153846153846,28,8,58,49.57264957265,4,22.222222222222,1461,14.285714285714,2,2,1,0,1,0,21,53.846153846154,10,0,0,8,266,5,43,25,878,18,19,2,0,13,3,11,1,0,2,0,0,0,0,0,0,15,0.0,31,44,104,39,16,10,55.555555555556,0,188,330,3,2.9569,62,0,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyriel Dessers,541464,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.82,5,2,0,0,0,0.05710569,20,27,74.074074074074,5,15,12,1,2,40.0,1,0,2,0,0,0,0.0,7,3,7,33.333333333333,6,35.294117647059,193,28.571428571429,0,0,1,0,0,0,0,0.0,4,0,0,3,20,3,0,0,64,4,7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0.0,1,5,1,0,5,0,0.0,0,5,22,0,0.437,5,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Tetteh,1165457,Super League 25/26,Stoiximan Super League,Panathinaikos FC,7.148,25,8,8,19,6,2.54335226,139,275,50.545454545455,38,101,74,28,45,48.913043478261,14,2,6,0,0,2,33.333333333333,72,33,129,46.236559139785,79,49.685534591195,2047,11.111111111111,3,2,3,0,0,0,6,54.545454545455,24,0,0,33,313,21,10,6,760,77,65,1,0,14,6,10,0,0,2,0,0,0,0,0,0,24,0.0,28,92,6,11,29,12,85.714285714286,0,49,226,3,11.1549,54,1,25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miloš Pantović,997191,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.55625,16,1,3,3,2,0.78090851,120,156,76.923076923077,29,91,46,9,5,62.5,3,0,0,0,0,1,20.0,7,2,19,51.351351351351,15,46.875,462,14.285714285714,0,0,0,0,0,0,3,60.0,2,0,0,11,68,0,4,3,236,13,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0.0,9,8,5,5,5,2,66.666666666667,0,33,123,0,2.3372,8,0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonny Vilhena,149659,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.25,2,0,0,2,0,0.01906087,11,12,91.666666666667,1,10,6,0,0,0.0,1,0,0,0,0,0,0.0,3,2,1,100.0,0,0.0,24,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,2,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,0.0,0,1,11,0,1.1732,1,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giannis Bokos,2038119,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.6,3,0,0,1,0,0.17381733,17,18,94.444444444444,5,12,9,2,0,0.0,1,0,0,0,0,1,50.0,1,0,4,44.444444444444,2,100.0,81,0.0,0,0,0,0,0,0,0,0.0,0,0,0,1,8,0,0,0,37,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,2,2,0,0,0,0.0,0,5,13,0,0.3737,2,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renato Sanches,318967,Super League 25/26,Stoiximan Super League,Panathinaikos FC,6.9166666666667,12,1,1,2,1,0.87412966,325,362,89.779005524862,99,226,122,8,12,63.157894736842,4,4,1,0,0,4,23.529411764706,13,5,31,51.666666666667,3,50.0,487,7.6923076923077,0,0,0,0,2,0,25,83.333333333333,2,0,1,6,75,7,26,24,471,15,10,0,0,6,1,4,0,0,1,0,0,0,0,0,0,4,0.0,8,19,17,30,7,2,50.0,0,108,254,0,1.0305,36,1,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
