player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
82350,Stefan,Bell,Stefan Bell,2025,39,stefan-bell,Germany,Andernach,Germany,1991-08-24 00:00:00,Centre-Back,Defender,right,192.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/82350-1657706740.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/stefan-bell/profil/spieler/82350,L1,1. Fußball- und Sportverein Mainz 05,600000.0,6000000.0,106662.0
85906,Danny,da Costa,Danny da Costa,2025,39,danny-da-costa,Germany,Neuss,Germany,1993-07-13 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/85906-1752588257.jpg?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/danny-da-costa/profil/spieler/85906,L1,1. Fußball- und Sportverein Mainz 05,1200000.0,15000000.0,97926.0
90317,Daniel,Batz,Daniel Batz,2025,39,daniel-batz,Germany,Erlangen,Germany,1991-01-12 00:00:00,Goalkeeper,Goalkeeper,both,191.0,2026-06-30 00:00:00,Soccer and more,https://img.a.transfermarkt.technology/portrait/header/90317-1722886526.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/daniel-batz/profil/spieler/90317,L1,1. Fußball- und Sportverein Mainz 05,350000.0,350000.0,94312.0
118847,Dominik,Kohr,Dominik Kohr,2025,39,dominik-kohr,Germany,Trier,Germany,1994-01-31 00:00:00,Centre-Back,Defender,right,183.0,2028-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/118847-1722886760.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/dominik-kohr/profil/spieler/118847,L1,1. Fußball- und Sportverein Mainz 05,2000000.0,8500000.0,152206.0
127573,Phillipp,Mwene,Phillipp Mwene,2025,39,phillipp-mwene,Austria,Wien,Austria,1994-01-29 00:00:00,Left-Back,Defender,right,170.0,,peak ,https://img.a.transfermarkt.technology/portrait/header/127573-1722886402.jpg?lm=1,28.0,0.0,,https://www.transfermarkt.co.uk/phillipp-mwene/profil/spieler/127573,L1,1. Fußball- und Sportverein Mainz 05,1500000.0,3000000.0,138126.0
160963,Robin,Zentner,Robin Zentner,2025,39,robin-zentner,Germany,Rüdesheim am Rhein,Germany,1994-10-28 00:00:00,Goalkeeper,Goalkeeper,right,194.0,2028-06-30 00:00:00,W&K Fairplay,https://img.a.transfermarkt.technology/portrait/header/160963-1676499369.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/robin-zentner/profil/spieler/160963,L1,1. Fußball- und Sportverein Mainz 05,3000000.0,5000000.0,174345.0
168989,Silvan,Widmer,Silvan Widmer,2025,39,silvan-widmer,Switzerland,Aarau,Switzerland,1993-03-05 00:00:00,Right-Back,Defender,right,183.0,2026-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/168989-1629202510.jpg?lm=1,56.0,5.0,,https://www.transfermarkt.co.uk/silvan-widmer/profil/spieler/168989,L1,1. Fußball- und Sportverein Mainz 05,800000.0,9000000.0,157377.0
188888,Sheraldo,Becker,Sheraldo Becker,2025,39,sheraldo-becker,Netherlands,Amsterdam,Suriname,1995-02-09 00:00:00,Left Winger,Attack,right,180.0,2026-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/188888-1692707512.jpg?lm=1,23.0,5.0,,https://www.transfermarkt.co.uk/sheraldo-becker/profil/spieler/188888,L1,1. Fußball- und Sportverein Mainz 05,1500000.0,17000000.0,352544.0
223974,Stefan,Posch,Stefan Posch,2025,39,stefan-posch,Austria,Judenburg,Austria,1997-05-14 00:00:00,Centre-Back,Defender,right,190.0,2026-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/223974-1725531246.jpg?lm=1,50.0,5.0,,https://www.transfermarkt.co.uk/stefan-posch/profil/spieler/223974,L1,1. Fußball- und Sportverein Mainz 05,5500000.0,14000000.0,355486.0
232454,Nadiem,Amiri,Nadiem Amiri,2025,39,nadiem-amiri,Germany,Ludwigshafen am Rhein,Germany,1996-10-27 00:00:00,Central Midfield,Midfield,right,180.0,2028-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/232454-1722885996.jpg?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/nadiem-amiri/profil/spieler/232454,L1,1. Fußball- und Sportverein Mainz 05,17000000.0,22000000.0,327755.0
288340,Phillip,Tietz,Phillip Tietz,2025,39,phillip-tietz,Germany,Braunschweig,Germany,1997-07-09 00:00:00,Centre-Forward,Attack,right,190.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/288340-1755201829.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/phillip-tietz/profil/spieler/288340,L1,1. Fußball- und Sportverein Mainz 05,3500000.0,5000000.0,822340.0
314398,Jae-sung,Lee,Jae-sung Lee,2025,39,jae-sung-lee,"Korea, South",Ulsan,"Korea, South",1992-08-10 00:00:00,Attacking Midfield,Midfield,left,180.0,,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/314398-1668504727.jpg?lm=1,102.0,15.0,,https://www.transfermarkt.co.uk/jae-sung-lee/profil/spieler/314398,L1,1. Fußball- und Sportverein Mainz 05,2000000.0,4000000.0,537552.0
334207,Maxim,Leitsch,Maxim Leitsch,2025,39,maxim-leitsch,Germany,Essen,Germany,1998-05-18 00:00:00,Centre-Back,Defender,left,189.0,2026-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/334207-1676499456.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/maxim-leitsch/profil/spieler/334207,L1,1. Fußball- und Sportverein Mainz 05,1000000.0,5000000.0,842869.0
370683,Andreas,Hanche-Olsen,Andreas Hanche-Olsen,2025,39,andreas-hanche-olsen,Norway,Bodø,Norway,1997-01-17 00:00:00,Centre-Back,Defender,right,185.0,2028-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/370683-1692000124.jpg?lm=1,22.0,0.0,,https://www.transfermarkt.co.uk/andreas-hanche-olsen/profil/spieler/370683,L1,1. Fußball- und Sportverein Mainz 05,4000000.0,9000000.0,794294.0
392710,Lennard,Maloney,Lennard Maloney,2025,39,lennard-maloney,Germany,Berlin,United States,1999-10-08 00:00:00,Defensive Midfield,Midfield,right,188.0,2028-06-30 00:00:00,AKA Global GmbH,https://img.a.transfermarkt.technology/portrait/header/392710-1752587852.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/lennard-maloney/profil/spieler/392710,L1,1. Fußball- und Sportverein Mainz 05,2500000.0,5000000.0,893962.0
453016,Anthony,Caci,Anthony Caci,2025,39,anthony-caci,France,Forbach,France,1997-07-01 00:00:00,Right-Back,Defender,both,184.0,2028-06-30 00:00:00,Only Pro Sport,https://img.a.transfermarkt.technology/portrait/header/453016-1657706767.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/anthony-caci/profil/spieler/453016,L1,1. Fußball- und Sportverein Mainz 05,8000000.0,12000000.0,846471.0
453870,Benedict,Hollerbach,Benedict Hollerbach,2025,39,benedict-hollerbach,Germany,Starnberg,Germany,2001-05-17 00:00:00,Centre-Forward,Attack,both,181.0,2029-06-30 00:00:00,BH Private Office,https://img.a.transfermarkt.technology/portrait/header/453870-1752587912.jpg?lm=1,2.0,1.0,,https://www.transfermarkt.co.uk/benedict-hollerbach/profil/spieler/453870,L1,1. Fußball- und Sportverein Mainz 05,8000000.0,12000000.0,975800.0
490609,Lasse,Rieß,Lasse Rieß,2025,39,lasse-riess,Germany,Münster,Germany,2001-07-27 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2027-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/490609-1752587621.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lasse-riess/profil/spieler/490609,L1,1. Fußball- und Sportverein Mainz 05,500000.0,700000.0,1069252.0
503160,Paul,Nebel,Paul Nebel,2025,39,paul-nebel,Germany,Bad Nauheim,Germany,2002-10-10 00:00:00,Attacking Midfield,Midfield,both,169.0,2027-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/503160-1722886613.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/paul-nebel/profil/spieler/503160,L1,1. Fußball- und Sportverein Mainz 05,15000000.0,24000000.0,980621.0
569033,Armindo,Sieb,Armindo Sieb,2025,39,armindo-sieb,Germany,Halle (Saale),Germany,2003-02-17 00:00:00,Second Striker,Attack,both,175.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/569033-1722886149.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/armindo-sieb/profil/spieler/569033,L1,1. Fußball- und Sportverein Mainz 05,3000000.0,4000000.0,1005834.0
