player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
69741,Tobias,Kainz,Tobias Kainz,2025,4467,tobias-kainz,Austria,Feldbach,Austria,1992-10-31 00:00:00,Left Midfield,Midfield,right,174.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/69741-1722941654.jpg?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/tobias-kainz/profil/spieler/69741,A1,Turn- und Sportverein Egger Glas Hartberg,250000.0,650000.0,95691.0
126114,Lukas,Spendlhofer,Lukas Spendlhofer,2025,4467,lukas-spendlhofer,Austria,Neunkirchen,Austria,1993-06-02 00:00:00,Centre-Back,Defender,right,187.0,2028-06-30 00:00:00,Signature - ISCM AG,https://img.a.transfermarkt.technology/portrait/header/126114-1705431699.png?lm=1,18.0,1.0,,https://www.transfermarkt.co.uk/lukas-spendlhofer/profil/spieler/126114,A1,Turn- und Sportverein Egger Glas Hartberg,200000.0,1500000.0,183685.0
271223,Jürgen,Heil,Jürgen Heil,2025,4467,jurgen-heil,,,Austria,1997-04-04 00:00:00,Right Midfield,Midfield,,176.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/271223-1722941509.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/jurgen-heil/profil/spieler/271223,A1,Turn- und Sportverein Egger Glas Hartberg,800000.0,900000.0,799651.0
291090,Lukas,Fridrikas,Lukas Fridrikas,2025,4467,lukas-fridrikas,Austria,Wien,Austria,1997-12-30 00:00:00,Centre-Forward,Attack,right,180.0,2027-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/291090-1752849139.jpg?lm=1,,,,https://www.transfermarkt.co.uk/lukas-fridrikas/profil/spieler/291090,A1,Turn- und Sportverein Egger Glas Hartberg,350000.0,700000.0,818049.0
307598,Ammar,Helac,Ammar Helac,2025,4467,ammar-helac,Austria,Linz,Austria,1998-06-13 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2026-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/307598-1726056797.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/ammar-helac/profil/spieler/307598,A1,Turn- und Sportverein Egger Glas Hartberg,200000.0,300000.0,886066.0
339826,Julian,Gölles,Julian Gölles,2025,4467,julian-golles,,,Austria,1999-09-22 00:00:00,Right-Back,Defender,right,190.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/339826-1726058112.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/julian-golles/profil/spieler/339826,A1,Turn- und Sportverein Egger Glas Hartberg,250000.0,350000.0,858869.0
515480,Benjamin,Markus,Benjamin Markus,2025,4467,benjamin-markus,,,Slovenia,2001-01-30 00:00:00,Defensive Midfield,Midfield,right,185.0,2027-06-30 00:00:00,firsteleven ISM,https://img.a.transfermarkt.technology/portrait/header/515480-1722941611.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/benjamin-markus/profil/spieler/515480,A1,Turn- und Sportverein Egger Glas Hartberg,900000.0,900000.0,1032333.0
564451,Youba,Diarra,Youba Diarra,2025,4467,youba-diarra,Mali,Bamako,Mali,1998-03-24 00:00:00,Central Midfield,Midfield,right,178.0,,12 MANagement,https://img.a.transfermarkt.technology/portrait/header/564451-1722941864.jpg?lm=1,,,,https://www.transfermarkt.co.uk/youba-diarra/profil/spieler/564451,A1,Turn- und Sportverein Egger Glas Hartberg,400000.0,1000000.0,924369.0
566626,Elias,Havel,Elias Havel,2025,4467,elias-havel,Austria,Wien,Austria,2003-04-16 00:00:00,Centre-Forward,Attack,right,184.0,2028-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/566626-1722942514.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/elias-havel/profil/spieler/566626,A1,Turn- und Sportverein Egger Glas Hartberg,2000000.0,2000000.0,1103911.0
581879,Julian,Halwachs,Julian Halwachs,2025,4467,julian-halwachs,,,Austria,2003-01-25 00:00:00,Defensive Midfield,Midfield,right,188.0,2026-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/581879-1722941693.jpg?lm=1,,,,https://www.transfermarkt.co.uk/julian-halwachs/profil/spieler/581879,A1,Turn- und Sportverein Egger Glas Hartberg,125000.0,300000.0,1129553.0
