player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
50219,Simon,Mignolet,Simon Mignolet,2025,2282,simon-mignolet,Belgium,Sint-Truiden,Belgium,1988-03-06 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/50219-1705413908.jpg?lm=1,35.0,0.0,,https://www.transfermarkt.co.uk/simon-mignolet/profil/spieler/50219,BE1,Club Brugge Koninklijke Voetbalvereniging,1000000.0,14000000.0,10406.0
137576,Hans,Vanaken,Hans Vanaken,2025,2282,hans-vanaken,Belgium,Neerpelt,Belgium,1992-08-24 00:00:00,Attacking Midfield,Midfield,right,195.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/137576-1705414489.jpg?lm=1,32.0,7.0,,https://www.transfermarkt.co.uk/hans-vanaken/profil/spieler/137576,BE1,Club Brugge Koninklijke Voetbalvereniging,6000000.0,16000000.0,118085.0
236168,Brandon,Mechele,Brandon Mechele,2025,2282,brandon-mechele,Belgium,Bredene,Belgium,1993-01-28 00:00:00,Centre-Back,Defender,right,190.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/236168-1704874625.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/brandon-mechele/profil/spieler/236168,BE1,Club Brugge Koninklijke Voetbalvereniging,3000000.0,7000000.0,248331.0
250543,Nordin,Jackers,Nordin Jackers,2025,2282,nordin-jackers,Belgium,Veldwezelt,Belgium,1997-09-05 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2029-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/250543-1705416091.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/nordin-jackers/profil/spieler/250543,BE1,Club Brugge Koninklijke Voetbalvereniging,1500000.0,1500000.0,361722.0
320440,Gustaf,Nilsson,Gustaf Nilsson,2025,2282,gustaf-nilsson,Sweden,Falkenberg,Sweden,1997-05-23 00:00:00,Centre-Forward,Attack,right,196.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/320440-1754511265.jpg?lm=1,8.0,3.0,,https://www.transfermarkt.co.uk/gustaf-nilsson/profil/spieler/320440,BE1,Club Brugge Koninklijke Voetbalvereniging,2000000.0,7000000.0,572286.0
451677,Christos,Tzolis,Christos Tzolis,2025,2282,christos-tzolis,Greece,Thessaloniki,Greece,2002-01-30 00:00:00,Left Winger,Attack,right,179.0,2029-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/451677-1754510866.jpg?lm=1,30.0,9.0,,https://www.transfermarkt.co.uk/christos-tzolis/profil/spieler/451677,BE1,Club Brugge Koninklijke Voetbalvereniging,30000000.0,30000000.0,1031259.0
490884,Ludovit,Reis,Ludovit Reis,2025,2282,ludovit-reis,Netherlands,Haarlem,Netherlands,2000-06-01 00:00:00,Central Midfield,Midfield,right,178.0,2029-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/490884-1728397902.jpg?lm=1,17.0,1.0,,https://www.transfermarkt.co.uk/ludovit-reis/profil/spieler/490884,BE1,Club Brugge Koninklijke Voetbalvereniging,4500000.0,7000000.0,893586.0
499758,Hugo,Vetlesen,Hugo Vetlesen,2025,2282,hugo-vetlesen,Belgium,Braine-l’Alleud,Norway,2000-02-29 00:00:00,Central Midfield,Midfield,right,174.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/499758-1754511519.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/hugo-vetlesen/profil/spieler/499758,BE1,Club Brugge Koninklijke Voetbalvereniging,3000000.0,7000000.0,877236.0
559320,Dani,van den Heuvel,Dani van den Heuvel,2025,2282,dani-van-den-heuvel,Netherlands,Delft,Netherlands,2003-05-28 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/559320-1754511080.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/dani-van-den-heuvel/profil/spieler/559320,BE1,Club Brugge Koninklijke Voetbalvereniging,400000.0,400000.0,1049432.0
578680,Hugo,Siquet,Hugo Siquet,2025,2282,hugo-siquet,Belgium,Marche-en-Famenne,Belgium,2002-07-09 00:00:00,Right-Back,Defender,right,180.0,2028-06-30 00:00:00,Eleven Plus,https://img.a.transfermarkt.technology/portrait/header/578680-1754510812.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/hugo-siquet/profil/spieler/578680,BE1,Club Brugge Koninklijke Voetbalvereniging,3000000.0,7000000.0,983041.0
594227,Bjorn,Meijer,Bjorn Meijer,2025,2282,bjorn-meijer,Netherlands,Groningen,Netherlands,2003-03-18 00:00:00,Left-Back,Defender,left,190.0,2027-06-30 00:00:00,Muy Manero,https://img.a.transfermarkt.technology/portrait/header/594227-1673726046.jpg?lm=1,13.0,2.0,,https://www.transfermarkt.co.uk/bjorn-meijer/profil/spieler/594227,BE1,Club Brugge Koninklijke Voetbalvereniging,3500000.0,10000000.0,1047509.0
623095,Lynnt,Audoor,Lynnt Audoor,2025,2282,lynnt-audoor,Belgium,Merelbeke,Belgium,2003-10-13 00:00:00,Defensive Midfield,Midfield,right,182.0,2029-06-30 00:00:00,Quadrans,https://img.a.transfermarkt.technology/portrait/header/623095-1704452328.jpg?lm=1,10.0,1.0,,https://www.transfermarkt.co.uk/lynnt-audoor/profil/spieler/623095,BE1,Club Brugge Koninklijke Voetbalvereniging,1800000.0,1800000.0,1067539.0
632088,Cisse,Sandra,Cisse Sandra,2025,2282,cisse-sandra,Belgium,Bellegem,Belgium,2003-12-16 00:00:00,Attacking Midfield,Midfield,left,183.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/632088-1745075831.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/cisse-sandra/profil/spieler/632088,BE1,Club Brugge Koninklijke Voetbalvereniging,1500000.0,1500000.0,1004449.0
659518,Félix,Lemaréchal,Félix Lemaréchal,2025,2282,felix-lemarechal,France,Tours,France,2003-08-07 00:00:00,Attacking Midfield,Midfield,right,180.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/659518-1732576183.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/felix-lemarechal/profil/spieler/659518,BE1,Club Brugge Koninklijke Voetbalvereniging,8000000.0,10000000.0,1130942.0
699783,Raphael,Onyedika,Raphael Onyedika,2025,2282,raphael-onyedika,Nigeria,Imo,Nigeria,2001-04-19 00:00:00,Defensive Midfield,Midfield,right,184.0,2027-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/699783-1754511026.jpg?lm=1,24.0,3.0,,https://www.transfermarkt.co.uk/raphael-onyedika/profil/spieler/699783,BE1,Club Brugge Koninklijke Voetbalvereniging,23000000.0,23000000.0,1129862.0
708454,Romeo,Vermant,Romeo Vermant,2025,2282,romeo-vermant,Germany,Gelsenkirchen,Belgium,2004-01-24 00:00:00,Centre-Forward,Attack,right,184.0,2028-06-30 00:00:00,Claes Agency,https://img.a.transfermarkt.technology/portrait/header/708454-1754510947.jpg?lm=1,10.0,3.0,,https://www.transfermarkt.co.uk/romeo-vermant/profil/spieler/708454,BE1,Club Brugge Koninklijke Voetbalvereniging,11000000.0,11000000.0,1069336.0
717329,Nicolò,Tresoldi,Nicolò Tresoldi,2025,2282,nicolo-tresoldi,Italy,Cagliari,Germany,2004-08-20 00:00:00,Centre-Forward,Attack,right,186.0,2029-06-30 00:00:00,11WINS,https://img.a.transfermarkt.technology/portrait/header/717329-1754510555.jpg?lm=1,22.0,10.0,,https://www.transfermarkt.co.uk/nicolo-tresoldi/profil/spieler/717329,BE1,Club Brugge Koninklijke Voetbalvereniging,13000000.0,13000000.0,1177167.0
742451,Carlos,Forbs,Carlos Forbs,2025,2282,carlos-forbs,Portugal,Sintra,Portugal,2004-03-19 00:00:00,Left Winger,Attack,left,169.0,2029-06-30 00:00:00,CMG Sports,https://img.a.transfermarkt.technology/portrait/header/742451-1721657852.jpg?lm=1,19.0,5.0,,https://www.transfermarkt.co.uk/carlos-forbs/profil/spieler/742451,BE1,Club Brugge Koninklijke Voetbalvereniging,18000000.0,18000000.0,1069486.0
743122,Kyriani,Sabbe,Kyriani Sabbe,2025,2282,kyriani-sabbe,Belgium,Gent,Belgium,2005-01-26 00:00:00,Right-Back,Defender,right,175.0,2028-06-30 00:00:00,RGM,https://img.a.transfermarkt.technology/portrait/header/743122-1705056437.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/kyriani-sabbe/profil/spieler/743122,BE1,Club Brugge Koninklijke Voetbalvereniging,8000000.0,8000000.0,1101258.0
