player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
160736,Noë,Dussenne,Noë Dussenne,2025,2727,noe-dussenne,Belgium,Mons,Belgium,1992-04-07 00:00:00,Centre-Back,Defender,right,192.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/160736-1616872819.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/noe-dussenne/profil/spieler/160736,BE1,Oud-Heverlee Leuven,400000.0,1500000.0,115569.0
208552,Siebe,Schrijvers,Siebe Schrijvers,2025,2727,siebe-schrijvers,Belgium,Peer,Belgium,1996-07-18 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/208552-1713336899.png?lm=1,23.0,4.0,,https://www.transfermarkt.co.uk/siebe-schrijvers/profil/spieler/208552,BE1,Oud-Heverlee Leuven,1500000.0,7500000.0,190413.0
234193,Birger,Verstraete,Birger Verstraete,2025,2727,birger-verstraete,Belgium,Oostende,Belgium,1994-04-16 00:00:00,Defensive Midfield,Midfield,right,174.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/234193-1608908875.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/birger-verstraete/profil/spieler/234193,BE1,Oud-Heverlee Leuven,1300000.0,4000000.0,192268.0
249568,Thibault,Vlietinck,Thibault Vlietinck,2025,2727,thibault-vlietinck,Belgium,Knokke,Belgium,1997-08-19 00:00:00,Right-Back,Defender,right,180.0,2028-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/249568-1713280347.png?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/thibault-vlietinck/profil/spieler/249568,BE1,Oud-Heverlee Leuven,500000.0,750000.0,823046.0
310131,Mathieu,Maertens,Mathieu Maertens,2025,2727,mathieu-maertens,,,Belgium,1995-03-27 00:00:00,Attacking Midfield,Midfield,right,185.0,2026-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/310131-1713337167.png?lm=1,,,,https://www.transfermarkt.co.uk/mathieu-maertens/profil/spieler/310131,BE1,Oud-Heverlee Leuven,900000.0,3000000.0,360652.0
338673,Thibaud,Verlinden,Thibaud Verlinden,2025,2727,thibaud-verlinden,Belgium,Brugge,Belgium,1999-07-09 00:00:00,Left Winger,Attack,right,174.0,2028-06-30 00:00:00,EMG Mundial,https://img.a.transfermarkt.technology/portrait/header/338673-1711615201.png?lm=1,14.0,2.0,,https://www.transfermarkt.co.uk/thibaud-verlinden/profil/spieler/338673,BE1,Oud-Heverlee Leuven,1200000.0,1700000.0,826172.0
355689,Sory,Kaba,Sory Kaba,2025,2727,sory-kaba,Guinea,Conakry,Guinea,1995-07-28 00:00:00,Centre-Forward,Attack,right,191.0,2026-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/355689-1556009401.jpg?lm=1,21.0,3.0,,https://www.transfermarkt.co.uk/sory-kaba/profil/spieler/355689,BE1,Oud-Heverlee Leuven,1300000.0,3000000.0,869131.0
381968,William,Balikwisha,William Balikwisha,2025,2727,william-balikwisha,Belgium,Brussel,DR Congo,1999-05-12 00:00:00,Attacking Midfield,Midfield,right,173.0,2028-06-30 00:00:00,Team Balikwisha,https://img.a.transfermarkt.technology/portrait/header/381968-1705488589.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/william-balikwisha/profil/spieler/381968,BE1,Oud-Heverlee Leuven,400000.0,4000000.0,943881.0
394903,Maxence,Prévot,Maxence Prévot,2025,2727,maxence-prevot,France,Belfort,France,1997-04-09 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/394903-1713278236.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/maxence-prevot/profil/spieler/394903,BE1,Oud-Heverlee Leuven,300000.0,2000000.0,785520.0
401598,Lukasz,Lakomy,Lukasz Lakomy,2025,2727,lukasz-lakomy,Poland,Puławy,Poland,2001-01-18 00:00:00,Defensive Midfield,Midfield,left,183.0,2026-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/401598-1733948230.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/lukasz-lakomy/profil/spieler/401598,BE1,Oud-Heverlee Leuven,3000000.0,4000000.0,1001201.0
