player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
148365,Casper,Nielsen,Casper Nielsen,2025,3057,casper-nielsen,Denmark,Esbjerg,Denmark,1994-04-29 00:00:00,Central Midfield,Midfield,right,182.0,2028-06-30 00:00:00,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/148365-1733899547.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/casper-nielsen/profil/spieler/148365,BE1,Royal Standard Club de Liège,1500000.0,8000000.0,247471.0
153661,Tobias,Mohr,Tobias Mohr,2025,3057,tobias-mohr,Germany,Aachen,Germany,1995-08-24 00:00:00,Left Midfield,Midfield,left,182.0,2028-06-30 00:00:00,KL Sportsbase,https://img.a.transfermarkt.technology/portrait/header/153661-1657108199.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tobias-mohr/profil/spieler/153661,BE1,Royal Standard Club de Liège,900000.0,1800000.0,237048.0
168156,Boli,Bolingoli,Boli Bolingoli,2025,3057,boli-bolingoli,Zaire,Kinshasa,Belgium,1995-07-01 00:00:00,Left-Back,Defender,left,181.0,2026-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/168156-1645553569.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/boli-bolingoli/profil/spieler/168156,BE1,Royal Standard Club de Liège,400000.0,3500000.0,333301.0
168166,Lucas,Pirard,Lucas Pirard,2025,3057,lucas-pirard,Belgium,Sprimont,Belgium,1995-03-10 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/168166-1706870344.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/lucas-pirard/profil/spieler/168166,BE1,Royal Standard Club de Liège,200000.0,1500000.0,190379.0
205550,Marco,Ilaimaharitra,Marco Ilaimaharitra,2025,3057,marco-ilaimaharitra,France,Mulhouse,Madagascar,1995-07-26 00:00:00,Defensive Midfield,Midfield,right,178.0,2027-06-30 00:00:00,Horizon,https://img.a.transfermarkt.technology/portrait/header/205550-1672593922.jpg?lm=1,35.0,3.0,,https://www.transfermarkt.co.uk/marco-ilaimaharitra/profil/spieler/205550,BE1,Royal Standard Club de Liège,800000.0,5000000.0,358198.0
249303,Dennis,Eckert Ayensa,Dennis Eckert Ayensa,2025,3057,dennis-eckert-ayensa,Germany,Bonn,Iran,1997-01-09 00:00:00,Centre-Forward,Attack,right,183.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/249303-1666292999.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/dennis-eckert-ayensa/profil/spieler/249303,BE1,Royal Standard Club de Liège,2000000.0,2500000.0,812797.0
272539,David,Bates,David Bates,2025,3057,david-bates,Scotland,Kirkcaldy,Scotland,1996-10-05 00:00:00,Centre-Back,Defender,right,193.0,2027-06-30 00:00:00,Classico,https://img.a.transfermarkt.technology/portrait/header/272539-1665744420.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/david-bates/profil/spieler/272539,BE1,Royal Standard Club de Liège,1200000.0,2800000.0,839675.0
384587,Mohammed,El Hankouri,Mohammed El Hankouri,2025,3057,mohammed-el-hankouri,Netherlands,Rotterdam,Morocco,1997-07-01 00:00:00,Attacking Midfield,Midfield,right,176.0,2027-06-30 00:00:00,Juzzt Football,https://img.a.transfermarkt.technology/portrait/header/384587-1719302263.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/mohammed-el-hankouri/profil/spieler/384587,BE1,Royal Standard Club de Liège,1500000.0,2000000.0,845199.0
408562,Marlon,Fossey,Marlon Fossey,2025,3057,marlon-fossey,United States,"Los Angeles, California",United States,1998-09-09 00:00:00,Right-Back,Defender,right,179.0,2027-06-30 00:00:00,Concilium Sport,https://img.a.transfermarkt.technology/portrait/header/408562-1706694611.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/marlon-fossey/profil/spieler/408562,BE1,Royal Standard Club de Liège,4000000.0,5000000.0,880762.0
409153,Teddy,Teuma,Teddy Teuma,2025,3057,teddy-teuma,France,Toulon,Malta,1993-09-30 00:00:00,Central Midfield,Midfield,left,176.0,2026-06-30 00:00:00,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/409153-1723821029.png?lm=1,49.0,5.0,,https://www.transfermarkt.co.uk/teddy-teuma/profil/spieler/409153,BE1,Royal Standard Club de Liège,2500000.0,7000000.0,829643.0
