player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
67144,,Léo Vieira,Léo Vieira,2025,17776,leo-vieira,Brazil,Suzano,Brazil,1990-09-22 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-11-30 00:00:00,Brasoccer Sports,https://img.a.transfermarkt.technology/portrait/header/67144-1634133119.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/leo-vieira/profil/spieler/67144,BRA1,Associação Chapecoense de Futebol,200000.0,200000.0,166279.0
75471,Yannick,Bolasie,Yannick Bolasie,2025,17776,yannick-bolasie,France,Lyon,DR Congo,1989-05-24 00:00:00,Centre-Forward,Attack,right,185.0,2026-12-31 00:00:00,S.S.G,https://img.a.transfermarkt.technology/portrait/header/75471-1663954867.png?lm=1,50.0,9.0,,https://www.transfermarkt.co.uk/yannick-bolasie/profil/spieler/75471,BRA1,Associação Chapecoense de Futebol,200000.0,20000000.0,46620.0
93243,,Rafael Santos,Rafael Santos,2025,17776,rafael-santos,Brazil,São Paulo,Brazil,1989-03-14 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/93243-1674928538.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rafael-santos/profil/spieler/93243,BRA1,Associação Chapecoense de Futebol,100000.0,400000.0,108480.0
102574,,Jean Carlos,Jean Carlos,2025,17776,jean-carlos,Brazil,Cornélio Procópio,Brazil,1992-02-15 00:00:00,Attacking Midfield,Midfield,left,178.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/102574-1769019126.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jean-carlos/profil/spieler/102574,BRA1,Associação Chapecoense de Futebol,400000.0,1400000.0,850475.0
125513,,Giovanni Augusto,Giovanni Augusto,2025,17776,giovanni-augusto,Brazil,Belém,Brazil,1989-09-05 00:00:00,Attacking Midfield,Midfield,right,177.0,2027-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/125513-1759511182.jpg?lm=1,,,,https://www.transfermarkt.co.uk/giovanni-augusto/profil/spieler/125513,BRA1,Associação Chapecoense de Futebol,200000.0,4500000.0,82680.0
292152,,Rafael Thyere,Rafael Thyere,2025,17776,rafael-thyere,Brazil,João Pessoa,Brazil,1993-05-17 00:00:00,Centre-Back,Defender,right,190.0,2026-12-31 00:00:00,Movement Sports,https://img.a.transfermarkt.technology/portrait/header/292152-1769019447.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rafael-thyere/profil/spieler/292152,BRA1,Associação Chapecoense de Futebol,300000.0,700000.0,33132.0
415843,Walter,Clar,Walter Clar,2025,17776,walter-clar,Paraguay,Pirapó,Paraguay,1994-09-27 00:00:00,Left-Back,Defender,left,177.0,2026-11-30 00:00:00,EagleEye,https://img.a.transfermarkt.technology/portrait/header/415843-1759511244.jpg?lm=1,,,,https://www.transfermarkt.co.uk/walter-clar/profil/spieler/415843,BRA1,Associação Chapecoense de Futebol,500000.0,700000.0,846362.0
435163,,Bruno Pacheco,Bruno Pacheco,2025,17776,bruno-pacheco,Brazil,Araraquara,Brazil,1991-12-08 00:00:00,Left-Back,Defender,left,175.0,2026-12-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/435163-1769019718.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bruno-pacheco/profil/spieler/435163,BRA1,Associação Chapecoense de Futebol,250000.0,1000000.0,870691.0
514500,,Marcinho,Marcinho,2025,17776,marcinho,Brazil,Itauçu,Brazil,1995-06-08 00:00:00,Right Winger,Attack,right,176.0,2026-11-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/514500-1769019633.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcinho/profil/spieler/514500,BRA1,Associação Chapecoense de Futebol,750000.0,1000000.0,870329.0
594006,,Marcos Vinícius,Marcos Vinícius,2025,17776,marcos-vinicius,Brazil,Emilianópolis,Brazil,1997-03-26 00:00:00,Right-Back,Defender,right,176.0,2026-12-31 00:00:00,BBM Sports,https://img.a.transfermarkt.technology/portrait/header/594006-1769019306.jpg?lm=1,,,,https://www.transfermarkt.co.uk/marcos-vinicius/profil/spieler/594006,BRA1,Associação Chapecoense de Futebol,400000.0,400000.0,942054.0
598974,,Anderson,Anderson,2025,17776,anderson,Brazil,Ribeirão Pires,Brazil,1998-03-05 00:00:00,Goalkeeper,Goalkeeper,left,190.0,2027-12-31 00:00:00,FOOT STARS BRAZIL,https://img.a.transfermarkt.technology/portrait/header/598974-1769019800.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/anderson/profil/spieler/598974,BRA1,Associação Chapecoense de Futebol,450000.0,700000.0,152276.0
636507,,Victor Caetano,Victor Caetano,2025,17776,victor-caetano,Brazil,Belo Horizonte,Brazil,1997-10-19 00:00:00,Centre-Back,Defender,right,186.0,2027-12-15 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/636507-1744925783.jpg?lm=1,,,,https://www.transfermarkt.co.uk/victor-caetano/profil/spieler/636507,BRA1,Associação Chapecoense de Futebol,700000.0,700000.0,863292.0
639751,,Neto Pessoa,Neto Pessoa,2025,17776,neto-pessoa,Brazil,Rio Branco,Brazil,1994-05-16 00:00:00,Centre-Forward,Attack,left,182.0,2027-04-30 00:00:00,Full Sports,https://img.a.transfermarkt.technology/portrait/header/639751-1687916350.jpg?lm=1,,,,https://www.transfermarkt.co.uk/neto-pessoa/profil/spieler/639751,BRA1,Associação Chapecoense de Futebol,350000.0,500000.0,992025.0
