player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
80562,,Hulk,Hulk,2025,330,hulk,Brazil,Campina Grande,Brazil,1986-07-25 00:00:00,Centre-Forward,Attack,left,180.0,2026-12-31 00:00:00,Nuno Ferreira,https://img.a.transfermarkt.technology/portrait/header/80562-1563436073.jpg?lm=1,49.0,11.0,,https://www.transfermarkt.co.uk/hulk/profil/spieler/80562,BRA1,Clube Atlético Mineiro,1000000.0,48000000.0,34705.0
106032,,Everson,Everson,2025,330,everson,Brazil,Pindamonhangaba,Brazil,1990-07-22 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2027-12-31 00:00:00,REC Sports,https://img.a.transfermarkt.technology/portrait/header/106032-1686575213.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/everson/profil/spieler/106032,BRA1,Clube Atlético Mineiro,1000000.0,3500000.0,870748.0
114937,,Dudu,Dudu,2025,330,dudu,Brazil,Goiânia,Brazil,1992-01-07 00:00:00,Left Winger,Attack,right,166.0,2027-12-31 00:00:00,LINK SPORTS,https://img.a.transfermarkt.technology/portrait/header/114937-1483707641.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/dudu/profil/spieler/114937,BRA1,Clube Atlético Mineiro,1000000.0,15000000.0,1124220.0
149752,,Vitor Hugo,Vitor Hugo,2025,330,vitor-hugo,Brazil,Guaraci,Brazil,1991-05-20 00:00:00,Centre-Back,Defender,left,187.0,2028-12-31 00:00:00,BIS,https://img.a.transfermarkt.technology/portrait/header/149752-1630527249.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/vitor-hugo/profil/spieler/149752,BRA1,Clube Atlético Mineiro,600000.0,9000000.0,794838.0
175169,,Bernard,Bernard,2025,330,bernard,Brazil,Belo Horizonte,Brazil,1992-09-08 00:00:00,Left Winger,Attack,right,167.0,2027-12-31 00:00:00,AS Football,https://img.a.transfermarkt.technology/portrait/header/175169-1520412519.jpg?lm=1,14.0,1.0,,https://www.transfermarkt.co.uk/bernard/profil/spieler/175169,BRA1,Clube Atlético Mineiro,750000.0,20000000.0,241488.0
273000,Júnior,Alonso,Júnior Alonso,2025,330,junior-alonso,Paraguay,Asunción,Paraguay,1993-02-09 00:00:00,Centre-Back,Defender,left,185.0,2026-12-31 00:00:00,EagleEye,https://img.a.transfermarkt.technology/portrait/header/273000-1675329607.png?lm=1,69.0,3.0,,https://www.transfermarkt.co.uk/junior-alonso/profil/spieler/273000,BRA1,Clube Atlético Mineiro,2000000.0,8000000.0,333275.0
330085,Gustavo,Scarpa,Gustavo Scarpa,2025,330,gustavo-scarpa,Brazil,Campinas,Brazil,1994-01-05 00:00:00,Attacking Midfield,Midfield,left,177.0,2027-12-31 00:00:00,VERO Sports,https://img.a.transfermarkt.technology/portrait/header/330085-1671798544.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/gustavo-scarpa/profil/spieler/330085,BRA1,Clube Atlético Mineiro,5000000.0,12000000.0,559036.0
362667,Mateo,Cassierra,Mateo Cassierra,2025,330,mateo-cassierra,Colombia,Barbacoas,Colombia,1997-04-13 00:00:00,Centre-Forward,Attack,right,186.0,2029-12-31 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/362667-1756747129.png?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/mateo-cassierra/profil/spieler/362667,BRA1,Clube Atlético Mineiro,9000000.0,11000000.0,832708.0
379807,,Lyanco,Lyanco,2025,330,lyanco,Brazil,Vitória,Brazil,1997-02-01 00:00:00,Centre-Back,Defender,right,187.0,2029-12-31 00:00:00,MV SPORTS & MKT,https://img.a.transfermarkt.technology/portrait/header/379807-1756393635.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/lyanco/profil/spieler/379807,BRA1,Clube Atlético Mineiro,5000000.0,8000000.0,797893.0
400960,Alan,Franco,Alan Franco,2025,330,alan-franco,Ecuador,Alfredo Baquerizo Moreno,Ecuador,1998-08-21 00:00:00,Central Midfield,Midfield,right,176.0,2027-12-31 00:00:00,Kancha Agency,https://img.a.transfermarkt.technology/portrait/header/400960-1719230549.jpg?lm=1,55.0,1.0,,https://www.transfermarkt.co.uk/alan-franco/profil/spieler/400960,BRA1,Clube Atlético Mineiro,4500000.0,4500000.0,822729.0
