player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
146889,Peter,Ankersen,Peter Ankersen,2025,2778,peter-ankersen,Denmark,Esbjerg,Denmark,1990-09-22 00:00:00,Right-Back,Defender,right,180.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/146889-1595929730.jpg?lm=1,27.0,1.0,,https://www.transfermarkt.co.uk/peter-ankersen/profil/spieler/146889,DK1,Fodbold Club Nordsjælland,150000.0,3000000.0,113700.0
162101,Andreas,Hansen,Andreas Hansen,2025,2778,andreas-hansen,Denmark,Brøndbyøster,Denmark,1995-08-11 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2028-06-30 00:00:00,Pro 11 Management,https://img.a.transfermarkt.technology/portrait/header/162101-1701443502.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/andreas-hansen/profil/spieler/162101,DK1,Fodbold Club Nordsjælland,1000000.0,1300000.0,246197.0
293279,Mark,Brink,Mark Brink,2025,2778,mark-brink,Denmark,Esbjerg,Denmark,1998-03-15 00:00:00,Defensive Midfield,Midfield,right,177.0,2027-06-30 00:00:00,CMA Group,https://img.a.transfermarkt.technology/portrait/header/293279-1662668806.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/mark-brink/profil/spieler/293279,DK1,Fodbold Club Nordsjælland,2000000.0,2000000.0,809273.0
293326,Nicklas,Røjkjær,Nicklas Røjkjær,2025,2778,nicklas-rojkjaer,Denmark,Gødvad,Denmark,1998-07-24 00:00:00,Central Midfield,Midfield,right,179.0,2029-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/293326-1760993012.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/nicklas-rojkjaer/profil/spieler/293326,DK1,Fodbold Club Nordsjælland,2000000.0,2000000.0,929009.0
297990,Tobias,Salquist,Tobias Salquist,2025,2778,tobias-salquist,Denmark,Ikast,Denmark,1995-05-18 00:00:00,Centre-Back,Defender,both,190.0,2028-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/297990-1709390849.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tobias-salquist/profil/spieler/297990,DK1,Fodbold Club Nordsjælland,600000.0,1000000.0,790514.0
431811,Ola,Solbakken,Ola Solbakken,2025,2778,ola-solbakken,Norway,Oslo,Norway,1998-09-07 00:00:00,Right Winger,Attack,left,189.0,2029-06-30 00:00:00,Nordic Sky,https://img.a.transfermarkt.technology/portrait/header/431811-1673251136.jpg?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/ola-solbakken/profil/spieler/431811,DK1,Fodbold Club Nordsjælland,1800000.0,3500000.0,920744.0
514895,Alexander,Lind,Alexander Lind,2025,2778,alexander-lind,Denmark,Hørning,Denmark,2002-06-26 00:00:00,Centre-Forward,Attack,right,186.0,2026-06-30 00:00:00,CMA Group,https://img.a.transfermarkt.technology/portrait/header/514895-1753431515.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/alexander-lind/profil/spieler/514895,DK1,Fodbold Club Nordsjælland,6000000.0,6000000.0,963041.0
677278,,Ibrahim Adel,Ibrahim Adel,2025,2778,ibrahim-adel,Egypt,Port Said,Egypt,2001-04-23 00:00:00,Left Winger,Attack,right,178.0,2026-06-30 00:00:00,Westland Group,https://img.a.transfermarkt.technology/portrait/header/677278-1765896161.png?lm=1,21.0,3.0,,https://www.transfermarkt.co.uk/ibrahim-adel/profil/spieler/677278,DK1,Fodbold Club Nordsjælland,3200000.0,3500000.0,1008171.0
814992,Runar,Norheim,Runar Norheim,2025,2778,runar-norheim,Norway,Finnsnes,Norway,2005-02-14 00:00:00,Left-Back,Defender,right,184.0,2030-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/814992-1711151509.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/runar-norheim/profil/spieler/814992,DK1,Fodbold Club Nordsjælland,2000000.0,2000000.0,1066619.0
927970,Juho,Lähteenmäki,Juho Lähteenmäki,2025,2778,juho-lahteenmaki,Finland,Ylöjärvi,Finland,2006-06-15 00:00:00,Left-Back,Defender,left,175.0,2030-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/927970-1763565838.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/juho-lahteenmaki/profil/spieler/927970,DK1,Fodbold Club Nordsjælland,3500000.0,3500000.0,1195805.0
1042647,Daniel,Jóhannesson,Daniel Jóhannesson,2025,2778,daniel-johannesson,England,Manchester,Iceland,2007-04-03 00:00:00,Left Winger,Attack,right,,,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,14.0,4.0,,https://www.transfermarkt.co.uk/daniel-johannesson/profil/spieler/1042647,DK1,Fodbold Club Nordsjælland,,,1393606.0
1042873,Noah,Markmann,Noah Markmann,2025,2778,noah-markmann,Denmark,Hørsholm,Denmark,2007-02-24 00:00:00,Centre-Back,Defender,right,189.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/1042873-1765443823.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/noah-markmann/profil/spieler/1042873,DK1,Fodbold Club Nordsjælland,2500000.0,2500000.0,1506782.0
1042877,Victor,Gustafsen,Victor Gustafsen,2025,2778,victor-gustafsen,,,Denmark,2007-11-14 00:00:00,Right-Back,Defender,,,2028-06-30 00:00:00,BTAM,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,8.0,1.0,,https://www.transfermarkt.co.uk/victor-gustafsen/profil/spieler/1042877,DK1,Fodbold Club Nordsjælland,,,1566302.0
1042882,Malte,Heyde,Malte Heyde,2025,2778,malte-heyde,,,Denmark,2007-02-18 00:00:00,Defensive Midfield,Midfield,,,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/malte-heyde/profil/spieler/1042882,DK1,Fodbold Club Nordsjælland,25000.0,25000.0,1566276.0
1051640,Hjalte Boe,Rasmussen,Hjalte Boe Rasmussen,2025,2778,hjalte-boe-rasmussen,Denmark,Faldsled,Denmark,2007-10-15 00:00:00,Right Winger,Attack,,181.0,2028-12-31 00:00:00,FConsult,https://img.a.transfermarkt.technology/portrait/header/1051640-1765444060.jpg?lm=1,8.0,2.0,,https://www.transfermarkt.co.uk/hjalte-boe-rasmussen/profil/spieler/1051640,DK1,Fodbold Club Nordsjælland,50000.0,50000.0,1961790.0
1088534,Villum,Berthelsen,Villum Berthelsen,2025,2778,villum-berthelsen,Denmark,Allerød,Denmark,2006-04-14 00:00:00,Centre-Forward,Attack,right,181.0,2029-06-30 00:00:00,Elite Consulting,https://img.a.transfermarkt.technology/portrait/header/1088534-1773649352.jpg?lm=1,12.0,1.0,,https://www.transfermarkt.co.uk/villum-berthelsen/profil/spieler/1088534,DK1,Fodbold Club Nordsjælland,850000.0,850000.0,1863046.0
1110453,Markus,Walker,Markus Walker,2025,2778,markus-walker,Australia,Sydney,Denmark,2006-11-23 00:00:00,Centre-Back,Defender,both,177.0,2030-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/1110453-1750360420.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/markus-walker/profil/spieler/1110453,DK1,Fodbold Club Nordsjælland,400000.0,400000.0,1863044.0
1133737,Lamine,Sadio,Lamine Sadio,2025,2778,lamine-sadio,Senegal,Thiès,Senegal,2007-12-24 00:00:00,Central Midfield,Midfield,left,178.0,2030-12-31 00:00:00,EF11 SL,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/lamine-sadio/profil/spieler/1133737,DK1,Fodbold Club Nordsjælland,,,2271091.0
1133778,Souleymane,Alio,Souleymane Alio,2025,2778,souleymane-alio,,,Burkina Faso,2006-10-28 00:00:00,Centre-Forward,Attack,right,188.0,,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,9.0,3.0,,https://www.transfermarkt.co.uk/souleymane-alio/profil/spieler/1133778,DK1,Fodbold Club Nordsjælland,25000.0,25000.0,1542827.0
1146228,Justin,Janssen,Justin Janssen,2025,2778,justin-janssen,Denmark,Farum,Denmark,2006-07-25 00:00:00,Defensive Midfield,Midfield,right,181.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1146228-1750359867.jpg?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/justin-janssen/profil/spieler/1146228,DK1,Fodbold Club Nordsjælland,850000.0,850000.0,1863042.0
1240763,Caleb,Yirenkyi,Caleb Yirenkyi,2025,2778,caleb-yirenkyi,Ghana,Bechem,Ghana,2006-01-15 00:00:00,Central Midfield,Midfield,right,182.0,2030-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/1240763-1761816040.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/caleb-yirenkyi/profil/spieler/1240763,DK1,Fodbold Club Nordsjælland,6000000.0,6000000.0,1986794.0
1267429,Levy,Nene,Levy Nene,2025,2778,levy-nene,Mali,Kayes,Cote d'Ivoire,2006-03-17 00:00:00,Centre-Forward,Attack,,179.0,,BLACKSKILL,https://img.a.transfermarkt.technology/portrait/header/1267429-1756142115.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/levy-nene/profil/spieler/1267429,DK1,Fodbold Club Nordsjælland,750000.0,750000.0,1882332.0
1268078,Stephen,Acquah,Stephen Acquah,2025,2778,stephen-acquah,,,Ghana,2006-05-01 00:00:00,Centre-Back,Defender,right,186.0,2030-12-31 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/1268078-1773649170.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stephen-acquah/profil/spieler/1268078,DK1,Fodbold Club Nordsjælland,500000.0,500000.0,1629289.0
1380311,Prince,Amoako Junior,Prince Amoako Junior,2025,2778,prince-amoako-junior,Ghana,Amasaman,Ghana,2007-02-19 00:00:00,Left Winger,Attack,right,178.0,2030-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/1380311-1760993218.jpg?lm=1,,,,https://www.transfermarkt.co.uk/prince-amoako-junior/profil/spieler/1380311,DK1,Fodbold Club Nordsjælland,5000000.0,5000000.0,2029508.0
