player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
99100,Daniel,Høegh,Daniel Høegh,2025,5724,daniel-hoegh,Denmark,Odense,Denmark,1991-01-06 00:00:00,Centre-Back,Defender,right,190.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/99100-1735076326.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/daniel-hoegh/profil/spieler/99100,DK1,Randers Fodbold Club,150000.0,1500000.0,53790.0
103981,Jannich,Storch,Jannich Storch,2025,5724,jannich-storch,Denmark,Helsinge,Denmark,1993-05-12 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2028-06-30 00:00:00,BWM Fodbold,https://img.a.transfermarkt.technology/portrait/header/103981-1765444233.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jannich-storch/profil/spieler/103981,DK1,Randers Fodbold Club,50000.0,150000.0,134801.0
181921,Paul,Izzo,Paul Izzo,2025,5724,paul-izzo,Australia,Adelaide,Australia,1995-01-06 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2027-06-30 00:00:00,Benchmark Sports,https://img.a.transfermarkt.technology/portrait/header/181921-1735076008.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/paul-izzo/profil/spieler/181921,DK1,Randers Fodbold Club,600000.0,600000.0,155925.0
218085,André,Römer,André Römer,2025,5724,andre-romer,Denmark,Køge,Denmark,1993-07-18 00:00:00,Defensive Midfield,Midfield,right,186.0,2026-06-30 00:00:00,Nine Group ,https://img.a.transfermarkt.technology/portrait/header/218085-1765444317.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andre-romer/profil/spieler/218085,DK1,Randers Fodbold Club,400000.0,1200000.0,234944.0
237436,Mathias,Greve,Mathias Greve,2025,5724,mathias-greve,Denmark,Langeskov,Denmark,1995-02-11 00:00:00,Right Winger,Attack,right,186.0,2028-06-30 00:00:00,CMA Group,https://img.a.transfermarkt.technology/portrait/header/237436-1629726936.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/mathias-greve/profil/spieler/237436,DK1,Randers Fodbold Club,900000.0,900000.0,575270.0
250450,Wessel,Dammers,Wessel Dammers,2025,5724,wessel-dammers,Netherlands,Ouderkerk aan den IJssel,Netherlands,1995-03-01 00:00:00,Centre-Back,Defender,right,185.0,2030-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/250450-1735076421.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/wessel-dammers/profil/spieler/250450,DK1,Randers Fodbold Club,900000.0,900000.0,363794.0
320272,Frederik,Lauenborg,Frederik Lauenborg,2025,5724,frederik-lauenborg,Denmark,Aarhus,Denmark,1997-05-18 00:00:00,Central Midfield,Midfield,right,181.0,2028-06-30 00:00:00,Nine Group ,https://img.a.transfermarkt.technology/portrait/header/320272-1735076993.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/frederik-lauenborg/profil/spieler/320272,DK1,Randers Fodbold Club,250000.0,700000.0,798391.0
369599,Warren,Caddy,Warren Caddy,2025,5724,warren-caddy,France,Cagnes-sur-Mer,Madagascar,1997-04-09 00:00:00,Centre-Forward,Attack,right,183.0,2029-06-30 00:00:00,CB Sport Management,https://img.a.transfermarkt.technology/portrait/header/369599-1692226210.png?lm=1,12.0,2.0,,https://www.transfermarkt.co.uk/warren-caddy/profil/spieler/369599,DK1,Randers Fodbold Club,600000.0,700000.0,793998.0
413942,John,Björkengren,John Björkengren,2025,5724,john-bjorkengren,Sweden,Falkenberg,Sweden,1998-12-09 00:00:00,Central Midfield,Midfield,left,180.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/413942-1735076558.png?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/john-bjorkengren/profil/spieler/413942,DK1,Randers Fodbold Club,2000000.0,2000000.0,875408.0
462837,Nikolas,Dyhr,Nikolas Dyhr,2025,5724,nikolas-dyhr,Denmark,Horsens,Denmark,2001-06-18 00:00:00,Left-Back,Defender,left,179.0,2028-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/462837-1735102187.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/nikolas-dyhr/profil/spieler/462837,DK1,Randers Fodbold Club,2200000.0,2200000.0,976380.0
