player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
62351,Abdoulaye,Bamba,Abdoulaye Bamba,2025,1420,abdoulaye-bamba,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1990-04-25 00:00:00,Centre-Back,Defender,right,182.0,2026-06-30 00:00:00,AMS CONSULTING,https://img.a.transfermarkt.technology/portrait/header/62351-1750955806.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/abdoulaye-bamba/profil/spieler/62351,FR1,Angers Sporting Club de l'Ouest,250000.0,3000000.0,121180
111811,Florent,Hanin,Florent Hanin,2025,1420,florent-hanin,France,Le Havre,France,1990-02-04 00:00:00,Left-Back,Defender,left,177.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/111811-1750955915.png?lm=1,,,,https://www.transfermarkt.co.uk/florent-hanin/profil/spieler/111811,FR1,Angers Sporting Club de l'Ouest,250000.0,2000000.0,170129
138055,Haris,Belkebla,Haris Belkebla,2025,1420,haris-belkebla,France,Drancy,Algeria,1994-01-28 00:00:00,Central Midfield,Midfield,right,177.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/138055-1750956421.png?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/haris-belkebla/profil/spieler/138055,FR1,Angers Sporting Club de l'Ouest,2000000.0,4000000.0,580642
192492,Jordan,Lefort,Jordan Lefort,2025,1420,jordan-lefort,France,Champigny-sur-Marne,Mauritania,1993-08-09 00:00:00,Centre-Back,Defender,left,184.0,2029-06-30 00:00:00,BLACKSKILL,https://img.a.transfermarkt.technology/portrait/header/192492-1750956054.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/jordan-lefort/profil/spieler/192492,FR1,Angers Sporting Club de l'Ouest,1200000.0,3000000.0,363042
203938,Branco,van den Boomen,Branco van den Boomen,2025,1420,branco-van-den-boomen,Netherlands,Veldhoven,Netherlands,1995-07-21 00:00:00,Central Midfield,Midfield,right,188.0,2026-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/203938-1682946572.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/branco-van-den-boomen/profil/spieler/203938,FR1,Angers Sporting Club de l'Ouest,2500000.0,12000000.0,190883
214532,Pierrick,Capelle,Pierrick Capelle,2025,1420,pierrick-capelle,France,Lesquin,France,1987-04-15 00:00:00,Central Midfield,Midfield,left,181.0,2026-06-30 00:00:00,FAIR SPORT MNG,https://img.a.transfermarkt.technology/portrait/header/214532-1750956399.png?lm=1,,,,https://www.transfermarkt.co.uk/pierrick-capelle/profil/spieler/214532,FR1,Angers Sporting Club de l'Ouest,200000.0,2000000.0,209768
371686,Carlens,Arcus,Carlens Arcus,2025,1420,carlens-arcus,Haiti,Port-au-Prince,Haiti,1996-06-28 00:00:00,Right-Back,Defender,right,176.0,2026-06-30 00:00:00,Kemari,https://img.a.transfermarkt.technology/portrait/header/371686-1750955924.png?lm=1,51.0,1.0,,https://www.transfermarkt.co.uk/carlens-arcus/profil/spieler/371686,FR1,Angers Sporting Club de l'Ouest,1800000.0,1800000.0,794373
415383,Hervé,Koffi,Hervé Koffi,2025,1420,herve-koffi,Burkina Faso,Bobo-Dioulasso,Burkina Faso,1996-10-16 00:00:00,Goalkeeper,Goalkeeper,right,184.0,2026-06-30 00:00:00,ASR SPORT,https://img.a.transfermarkt.technology/portrait/header/415383-1672499883.jpg?lm=1,70.0,0.0,,https://www.transfermarkt.co.uk/herve-koffi/profil/spieler/415383,FR1,Angers Sporting Club de l'Ouest,5000000.0,5000000.0,867299
525140,Goduine,Koyalipou,Goduine Koyalipou,2025,1420,goduine-koyalipou,Central African Republic,Bangui,Central African Republic,2000-02-15 00:00:00,Centre-Forward,Attack,right,184.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/525140-1714738152.png?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/goduine-koyalipou/profil/spieler/525140,FR1,Angers Sporting Club de l'Ouest,2500000.0,2500000.0,891505
548347,Melvin,Zinga,Melvin Zinga,2025,1420,melvin-zinga,France,Montivilliers,France,2002-03-16 00:00:00,Goalkeeper,Goalkeeper,left,187.0,2026-06-30 00:00:00,TEAM REAG CONSULTING,https://img.a.transfermarkt.technology/portrait/header/548347-1750955335.png?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/melvin-zinga/profil/spieler/548347,FR1,Angers Sporting Club de l'Ouest,300000.0,300000.0,963201
