player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
48015,Lukas,Hradecky,Lukas Hradecky,2025,162,lukas-hradecky,CSSR,Bratislava,Finland,1989-11-24 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/48015-1695367833.jpg?lm=1,102.0,0.0,,https://www.transfermarkt.co.uk/lukas-hradecky/profil/spieler/48015,FR1,Association sportive de Monaco Football Club,1800000.0,12000000.0,15219.0
122153,Paul,Pogba,Paul Pogba,2025,162,paul-pogba,France,Lagny-sur-Marne,France,1993-03-15 00:00:00,Central Midfield,Midfield,both,191.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/122153-1764059298.jpg?lm=1,91.0,11.0,,https://www.transfermarkt.co.uk/paul-pogba/profil/spieler/122153,FR1,Association sportive de Monaco Football Club,3000000.0,100000000.0,111802.0
165793,Takumi,Minamino,Takumi Minamino,2025,162,takumi-minamino,Japan,"Izumisano, Osaka",Japan,1995-01-16 00:00:00,Left Winger,Attack,right,172.0,2027-06-30 00:00:00,Sarcle Co. Ltd.,https://img.a.transfermarkt.technology/portrait/header/165793-1737490576.jpg?lm=1,73.0,26.0,,https://www.transfermarkt.co.uk/takumi-minamino/profil/spieler/165793,FR1,Association sportive de Monaco Football Club,12000000.0,20000000.0,155818.0
175722,Eric,Dier,Eric Dier,2025,162,eric-dier,England,Cheltenham,England,1994-01-15 00:00:00,Centre-Back,Defender,right,191.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/175722-1665608595.jpg?lm=1,49.0,3.0,,https://www.transfermarkt.co.uk/eric-dier/profil/spieler/175722,FR1,Association sportive de Monaco Football Club,5000000.0,40000000.0,146101.0
228948,Thilo,Kehrer,Thilo Kehrer,2025,162,thilo-kehrer,Germany,Tübingen,Germany,1996-09-21 00:00:00,Centre-Back,Defender,both,186.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/228948-1737490227.jpg?lm=1,28.0,0.0,,https://www.transfermarkt.co.uk/thilo-kehrer/profil/spieler/228948,FR1,Association sportive de Monaco Football Club,15000000.0,35000000.0,281277.0
251322,Philipp,Köhn,Philipp Köhn,2025,162,philipp-kohn,Germany,Dinslaken,Switzerland,1998-04-02 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/251322-1661531623.png?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/philipp-kohn/profil/spieler/251322,FR1,Association sportive de Monaco Football Club,4000000.0,8000000.0,868964.0
263918,Aleksandr,Golovin,Aleksandr Golovin,2025,162,aleksandr-golovin,Russia,"Kaltan, Kemerovo Oblast",Russia,1996-05-30 00:00:00,Attacking Midfield,Midfield,right,178.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/263918-1614091807.jpg?lm=1,51.0,9.0,,https://www.transfermarkt.co.uk/aleksandr-golovin/profil/spieler/263918,FR1,Association sportive de Monaco Football Club,18000000.0,30000000.0,318963.0
292808,Wout,Faes,Wout Faes,2025,162,wout-faes,Belgium,Mol,Belgium,1998-04-03 00:00:00,Centre-Back,Defender,right,187.0,2026-06-30 00:00:00,Claes Agency,https://img.a.transfermarkt.technology/portrait/header/292808-1668080038.jpg?lm=1,28.0,0.0,,https://www.transfermarkt.co.uk/wout-faes/profil/spieler/292808,FR1,Association sportive de Monaco Football Club,10000000.0,20000000.0,361696.0
334526,Denis,Zakaria,Denis Zakaria,2025,162,denis-zakaria,Switzerland,Genf,Switzerland,1996-11-20 00:00:00,Defensive Midfield,Midfield,right,190.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/334526-1667990520.jpg?lm=1,61.0,3.0,,https://www.transfermarkt.co.uk/denis-zakaria/profil/spieler/334526,FR1,Association sportive de Monaco Football Club,25000000.0,45000000.0,770677.0
364245,Jordan,Teze,Jordan Teze,2025,162,jordan-teze,Netherlands,Groningen,Netherlands,1999-09-30 00:00:00,Right-Back,Defender,right,183.0,2029-06-30 00:00:00,Gol International,https://img.a.transfermarkt.technology/portrait/header/364245-1707214531.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/jordan-teze/profil/spieler/364245,FR1,Association sportive de Monaco Football Club,15000000.0,18000000.0,825846.0
420064,,Caio Henrique,Caio Henrique,2025,162,caio-henrique,Brazil,Santos,Brazil,1997-07-31 00:00:00,Left-Back,Defender,left,178.0,2027-06-30 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/420064-1614091193.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/caio-henrique/profil/spieler/420064,FR1,Association sportive de Monaco Football Club,15000000.0,20000000.0,845170.0
466810,Ansu,Fati,Ansu Fati,2025,162,ansu-fati,Guinea-Bissau,Bissau,Spain,2002-10-31 00:00:00,Left Winger,Attack,right,178.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/466810-1721828228.jpg?lm=1,10.0,2.0,,https://www.transfermarkt.co.uk/ansu-fati/profil/spieler/466810,FR1,Association sportive de Monaco Football Club,15000000.0,80000000.0,962883.0
490426,Krépin,Diatta,Krépin Diatta,2025,162,krepin-diatta,Senegal,Dakar,Senegal,1999-02-25 00:00:00,Right Midfield,Midfield,right,175.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/490426-1668163198.jpg?lm=1,57.0,2.0,,https://www.transfermarkt.co.uk/krepin-diatta/profil/spieler/490426,FR1,Association sportive de Monaco Football Club,6000000.0,21000000.0,873534.0
503770,Folarin,Balogun,Folarin Balogun,2025,162,folarin-balogun,United States,"New York City, New York",United States,2001-07-03 00:00:00,Centre-Forward,Attack,right,178.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/503770-1672838317.jpg?lm=1,23.0,8.0,,https://www.transfermarkt.co.uk/folarin-balogun/profil/spieler/503770,FR1,Association sportive de Monaco Football Club,30000000.0,30000000.0,934237.0
563963,Mohammed,Salisu,Mohammed Salisu,2025,162,mohammed-salisu,Ghana,Kumasi,Ghana,1999-04-17 00:00:00,Centre-Back,Defender,left,188.0,2028-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/563963-1668428508.jpg?lm=1,22.0,4.0,,https://www.transfermarkt.co.uk/mohammed-salisu/profil/spieler/563963,FR1,Association sportive de Monaco Football Club,10000000.0,18000000.0,946158.0
565821,Mika,Biereth,Mika Biereth,2025,162,mika-biereth,England,London,Denmark,2003-02-08 00:00:00,Centre-Forward,Attack,right,187.0,2030-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/565821-1736777758.jpg?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/mika-biereth/profil/spieler/565821,FR1,Association sportive de Monaco Football Club,18000000.0,30000000.0,1083007.0
658536,Simon,Adingra,Simon Adingra,2025,162,simon-adingra,Cote d'Ivoire,Abobo,Cote d'Ivoire,2002-01-01 00:00:00,Left Winger,Attack,right,175.0,2026-06-30 00:00:00,Fidus Sports,https://img.a.transfermarkt.technology/portrait/header/658536-1746437487.jpg?lm=1,26.0,4.0,,https://www.transfermarkt.co.uk/simon-adingra/profil/spieler/658536,FR1,Association sportive de Monaco Football Club,25000000.0,30000000.0,1110842.0
743387,Stanis,Idumbo,Stanis Idumbo,2025,162,stanis-idumbo,France,Melun,Belgium,2005-06-29 00:00:00,Attacking Midfield,Midfield,right,171.0,2030-06-30 00:00:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/743387-1652692759.jpg?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/stanis-idumbo/profil/spieler/743387,FR1,Association sportive de Monaco Football Club,5000000.0,5000000.0,1149152.0
745173,Mamadou,Coulibaly,Mamadou Coulibaly,2025,162,mamadou-coulibaly,France,Paris,France,2004-04-21 00:00:00,Central Midfield,Midfield,left,179.0,2028-06-30 00:00:00,One Team Management,https://img.a.transfermarkt.technology/portrait/header/745173-1693947752.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/mamadou-coulibaly/profil/spieler/745173,FR1,Association sportive de Monaco Football Club,15000000.0,15000000.0,1410148.0
