player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
181767,,Marquinhos,Marquinhos,2025,583,marquinhos,Brazil,São Paulo,Brazil,1994-05-14 00:00:00,Centre-Back,Defender,right,183.0,2028-06-30 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/181767-1672303747.jpg?lm=1,103.0,7.0,,https://www.transfermarkt.co.uk/marquinhos/profil/spieler/181767,FR1,Paris Saint-Germain Football Club,30000000.0,75000000.0,155995.0
281963,Lucas,Hernández,Lucas Hernández,2025,583,lucas-hernandez,France,Marseille,France,1996-02-14 00:00:00,Left-Back,Defender,left,184.0,2028-06-30 00:00:00,Manuel García Quilón,https://img.a.transfermarkt.technology/portrait/header/281963-1667830435.jpg?lm=1,40.0,0.0,,https://www.transfermarkt.co.uk/lucas-hernandez/profil/spieler/281963,FR1,Paris Saint-Germain Football Club,20000000.0,70000000.0,352370.0
288230,Ousmane,Dembélé,Ousmane Dembélé,2025,583,ousmane-dembele,France,Vernon,France,1997-05-15 00:00:00,Centre-Forward,Attack,both,178.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/288230-1684148641.jpg?lm=1,58.0,7.0,,https://www.transfermarkt.co.uk/ousmane-dembele/profil/spieler/288230,FR1,Paris Saint-Germain Football Club,100000000.0,120000000.0,818244.0
318470,Matvey,Safonov,Matvey Safonov,2025,583,matvey-safonov,Russia,Krasnodar,Russia,1999-02-25 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2029-06-30 00:00:00,BUILD-UP,https://img.a.transfermarkt.technology/portrait/header/318470-1732658603.jpg?lm=1,18.0,0.0,,https://www.transfermarkt.co.uk/matvey-safonov/profil/spieler/318470,FR1,Paris Saint-Germain Football Club,22000000.0,22000000.0,800749.0
350219,Fabián,Ruiz,Fabián Ruiz,2025,583,fabian-ruiz,Spain,Los Palacios y Villafranca,Spain,1996-04-03 00:00:00,Central Midfield,Midfield,left,189.0,2027-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/350219-1718958379.jpg?lm=1,41.0,6.0,,https://www.transfermarkt.co.uk/fabian-ruiz/profil/spieler/350219,FR1,Paris Saint-Germain Football Club,40000000.0,60000000.0,784655.0
398073,Achraf,Hakimi,Achraf Hakimi,2025,583,achraf-hakimi,Spain,Madrid,Morocco,1998-11-04 00:00:00,Right-Back,Defender,right,181.0,2029-06-30 00:00:00,Footfeel ISM  ,https://img.a.transfermarkt.technology/portrait/header/398073-1672304327.jpg?lm=1,93.0,11.0,,https://www.transfermarkt.co.uk/achraf-hakimi/profil/spieler/398073,FR1,Paris Saint-Germain Football Club,80000000.0,80000000.0,814594.0
463600,Lucas,Chevalier,Lucas Chevalier,2025,583,lucas-chevalier,France,Calais,France,2001-11-06 00:00:00,Goalkeeper,Goalkeeper,right,189.0,2030-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/463600-1708342501.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/lucas-chevalier/profil/spieler/463600,FR1,Paris Saint-Germain Football Club,30000000.0,40000000.0,996953.0
487469,,Vitinha,Vitinha,2025,583,vitinha,Portugal,Vila das Aves,Portugal,2000-02-13 00:00:00,Defensive Midfield,Midfield,right,172.0,2029-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/487469-1749415169.jpg?lm=1,35.0,0.0,,https://www.transfermarkt.co.uk/vitinha/profil/spieler/487469,FR1,Paris Saint-Germain Football Club,110000000.0,110000000.0,902029.0
502670,Khvicha,Kvaratskhelia,Khvicha Kvaratskhelia,2025,583,khvicha-kvaratskhelia,Georgia,Tiflis,Georgia,2001-02-12 00:00:00,Left Winger,Attack,both,183.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/502670-1708553120.jpg?lm=1,48.0,22.0,,https://www.transfermarkt.co.uk/khvicha-kvaratskhelia/profil/spieler/502670,FR1,Paris Saint-Germain Football Club,90000000.0,90000000.0,889259.0
550550,Gonçalo,Ramos,Gonçalo Ramos,2025,583,goncalo-ramos,Portugal,Olhão,Portugal,2001-06-20 00:00:00,Centre-Forward,Attack,right,185.0,2028-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/550550-1681906158.jpg?lm=1,22.0,10.0,,https://www.transfermarkt.co.uk/goncalo-ramos/profil/spieler/550550,FR1,Paris Saint-Germain Football Club,35000000.0,50000000.0,934510.0
557149,Kang-in,Lee,Kang-in Lee,2025,583,kang-in-lee,"Korea, South","Namdong-gu, Incheon","Korea, South",2001-02-19 00:00:00,Attacking Midfield,Midfield,left,173.0,2028-06-30 00:00:00,IF FOOTBALL,https://img.a.transfermarkt.technology/portrait/header/557149-1703978046.jpg?lm=1,44.0,11.0,,https://www.transfermarkt.co.uk/kang-in-lee/profil/spieler/557149,FR1,Paris Saint-Germain Football Club,28000000.0,30000000.0,917087.0
616341,Nuno,Mendes,Nuno Mendes,2025,583,nuno-mendes,Portugal,Lisboa,Portugal,2002-06-19 00:00:00,Left-Back,Defender,left,180.0,2029-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/616341-1749417164.jpg?lm=1,41.0,1.0,,https://www.transfermarkt.co.uk/nuno-mendes/profil/spieler/616341,FR1,Paris Saint-Germain Football Club,75000000.0,75000000.0,989768.0
659089,Ilya,Zabarnyi,Ilya Zabarnyi,2025,583,ilya-zabarnyi,Ukraine,Kyiv,Ukraine,2002-09-01 00:00:00,Centre-Back,Defender,right,189.0,2030-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/659089-1760065378.jpg?lm=1,56.0,3.0,,https://www.transfermarkt.co.uk/ilya-zabarnyi/profil/spieler/659089,FR1,Paris Saint-Germain Football Club,45000000.0,55000000.0,1023567.0
661171,Willian,Pacho,Willian Pacho,2025,583,willian-pacho,Ecuador,Quinindé,Ecuador,2001-10-16 00:00:00,Centre-Back,Defender,left,188.0,2029-06-30 00:00:00,Kancha Agency,https://img.a.transfermarkt.technology/portrait/header/661171-1696508666.jpg?lm=1,32.0,2.0,,https://www.transfermarkt.co.uk/willian-pacho/profil/spieler/661171,FR1,Paris Saint-Germain Football Club,70000000.0,70000000.0,979480.0
670681,João,Neves,João Neves,2025,583,joao-neves,Portugal,Tavira,Portugal,2004-09-27 00:00:00,Central Midfield,Midfield,right,174.0,2029-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/670681-1701295511.jpg?lm=1,20.0,3.0,,https://www.transfermarkt.co.uk/joao-neves/profil/spieler/670681,FR1,Paris Saint-Germain Football Club,110000000.0,110000000.0,1190933.0
708265,Bradley,Barcola,Bradley Barcola,2025,583,bradley-barcola,France,Lyon,France,2002-09-02 00:00:00,Left Winger,Attack,right,182.0,2028-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/708265-1653406915.jpg?lm=1,18.0,3.0,,https://www.transfermarkt.co.uk/bradley-barcola/profil/spieler/708265,FR1,Paris Saint-Germain Football Club,70000000.0,70000000.0,996952.0
810092,Warren,Zaïre-Emery,Warren Zaïre-Emery,2025,583,warren-zaire-emery,France,Montreuil,France,2006-03-08 00:00:00,Central Midfield,Midfield,right,178.0,2029-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/810092-1672303575.jpg?lm=1,9.0,1.0,,https://www.transfermarkt.co.uk/warren-zaire-emery/profil/spieler/810092,FR1,Paris Saint-Germain Football Club,60000000.0,60000000.0,1142672.0
872171,Lucas,Beraldo,Lucas Beraldo,2025,583,lucas-beraldo,Brazil,Piracicaba,Brazil,2003-11-24 00:00:00,Centre-Back,Defender,left,186.0,2028-06-30 00:00:00,VERO Sports,https://img.a.transfermarkt.technology/portrait/header/872171-1715107660.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/lucas-beraldo/profil/spieler/872171,FR1,Paris Saint-Germain Football Club,20000000.0,30000000.0,1108441.0
