player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
112822,Karl-Johan,Johnsson,Karl-Johan Johnsson,2025,667,karl-johan-johnsson,Sweden,Ränneslöv,Sweden,1990-01-28 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/112822-1732486706.png?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/karl-johan-johnsson/profil/spieler/112822,FR1,Racing Club de Strasbourg Alsace,250000.0,2500000.0,40973.0
316125,Ben,Chilwell,Ben Chilwell,2025,667,ben-chilwell,England,Milton Keynes,England,1996-12-21 00:00:00,Left-Back,Defender,left,180.0,2027-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/316125-1683899136.jpg?lm=1,21.0,1.0,,https://www.transfermarkt.co.uk/ben-chilwell/profil/spieler/316125,FR1,Racing Club de Strasbourg Alsace,12000000.0,50000000.0,802695.0
559328,Emmanuel,Emegha,Emmanuel Emegha,2025,667,emmanuel-emegha,Netherlands,Den Haag,Netherlands,2003-02-03 00:00:00,Centre-Forward,Attack,right,196.0,2028-06-30 00:00:00,Team Emegha,https://img.a.transfermarkt.technology/portrait/header/559328-1732575392.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/emmanuel-emegha/profil/spieler/559328,FR1,Racing Club de Strasbourg Alsace,28000000.0,28000000.0,1048333.0
579928,Sebastian,Nanasi,Sebastian Nanasi,2025,667,sebastian-nanasi,Sweden,Kristianstad,Sweden,2002-05-16 00:00:00,Left Midfield,Midfield,right,178.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/579928-1732576164.png?lm=1,9.0,3.0,,https://www.transfermarkt.co.uk/sebastian-nanasi/profil/spieler/579928,FR1,Racing Club de Strasbourg Alsace,12000000.0,18000000.0,962068.0
621993,Andrew,Omobamidele,Andrew Omobamidele,2025,667,andrew-omobamidele,Ireland,Leixlip,Ireland,2002-06-23 00:00:00,Centre-Back,Defender,right,188.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/621993-1750770741.png?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/andrew-omobamidele/profil/spieler/621993,FR1,Racing Club de Strasbourg Alsace,7000000.0,11000000.0,983066.0
637803,Rafael,Luís,Rafael Luís,2025,667,rafael-luis,Portugal,Amadora,Portugal,2005-02-18 00:00:00,Defensive Midfield,Midfield,left,188.0,2026-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/637803-1750853311.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/rafael-luis/profil/spieler/637803,FR1,Racing Club de Strasbourg Alsace,4000000.0,4000000.0,1153333.0
655006,Diego,Moreira,Diego Moreira,2025,667,diego-moreira,Belgium,Liège,Belgium,2004-08-06 00:00:00,Left Midfield,Midfield,left,179.0,2029-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/655006-1732575837.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/diego-moreira/profil/spieler/655006,FR1,Racing Club de Strasbourg Alsace,25000000.0,25000000.0,1142233.0
660867,Julio,Enciso,Julio Enciso,2025,667,julio-enciso,Paraguay,Caaguazú,Paraguay,2004-01-23 00:00:00,Attacking Midfield,Midfield,right,173.0,2029-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/660867-1669388786.jpg?lm=1,29.0,4.0,,https://www.transfermarkt.co.uk/julio-enciso/profil/spieler/660867,FR1,Racing Club de Strasbourg Alsace,22000000.0,22000000.0,973556.0
711980,Guéla,Doué,Guéla Doué,2025,667,guela-doue,France,Angers,Cote d'Ivoire,2002-10-17 00:00:00,Right-Back,Defender,right,186.0,2029-06-30 00:00:00,Hexagon,https://img.a.transfermarkt.technology/portrait/header/711980-1732575765.png?lm=1,17.0,2.0,,https://www.transfermarkt.co.uk/guela-doue/profil/spieler/711980,FR1,Racing Club de Strasbourg Alsace,18000000.0,18000000.0,1002033.0
786436,Ismaël,Doukouré,Ismaël Doukouré,2025,667,ismael-doukoure,France,Lille,France,2003-07-24 00:00:00,Centre-Back,Defender,right,183.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/786436-1732576094.png?lm=1,13.0,0.0,,https://www.transfermarkt.co.uk/ismael-doukoure/profil/spieler/786436,FR1,Racing Club de Strasbourg Alsace,20000000.0,20000000.0,1049517.0
