player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
48810,Domagoj,Antolic,Domagoj Antolic,2025,11194,domagoj-antolic,Jugoslawien (SFR),Zagreb,Croatia,1990-06-30 00:00:00,Central Midfield,Midfield,right,180.0,2026-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/48810-1680215547.JPG?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/domagoj-antolic/profil/spieler/48810,KR1,NK Lokomotiva Zagreb,200000.0,2500000.0,67645.0
51604,Marin,Leovac,Marin Leovac,2025,11194,marin-leovac,Jugoslawien (SFR),Jajce,Croatia,1988-08-07 00:00:00,Left-Back,Defender,left,180.0,2026-06-15 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/51604-1663606245.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/marin-leovac/profil/spieler/51604,KR1,NK Lokomotiva Zagreb,50000.0,2000000.0,37433.0
90725,Denis,Kolinger,Denis Kolinger,2025,11194,denis-kolinger,Germany,Malsch,Croatia,1994-01-14 00:00:00,Centre-Back,Defender,right,199.0,2026-06-30 00:00:00,DB COMPANY L.L.C-FZ,https://img.a.transfermarkt.technology/portrait/header/90725-1661769366.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/denis-kolinger/profil/spieler/90725,KR1,NK Lokomotiva Zagreb,500000.0,1500000.0,136715.0
98101,Marko,Vesovic,Marko Vesovic,2025,11194,marko-vesovic,Jugoslawien (SFR),Podgorica,Montenegro,1991-08-28 00:00:00,Right-Back,Defender,right,180.0,2027-06-30 00:00:00,Red ball agency,https://img.a.transfermarkt.technology/portrait/header/98101-1723010084.png?lm=1,60.0,2.0,,https://www.transfermarkt.co.uk/marko-vesovic/profil/spieler/98101,KR1,NK Lokomotiva Zagreb,150000.0,2500000.0,58170.0
138741,Mario,Situm,Mario Situm,2025,11194,mario-situm,Croatia,Zagreb,Croatia,1992-04-04 00:00:00,Right-Back,Defender,right,178.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/138741-1632461713.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/mario-situm/profil/spieler/138741,KR1,NK Lokomotiva Zagreb,100000.0,1500000.0,108030.0
142920,Aleksandar,Trajkovski,Aleksandar Trajkovski,2025,11194,aleksandar-trajkovski,Macedonia,Skopje,North Macedonia,1992-09-05 00:00:00,Left Winger,Attack,right,179.0,2026-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/142920-1696187939.jpg?lm=1,98.0,24.0,,https://www.transfermarkt.co.uk/aleksandar-trajkovski/profil/spieler/142920,KR1,NK Lokomotiva Zagreb,175000.0,2000000.0,60184.0
190634,Marko,Pajac,Marko Pajac,2025,11194,marko-pajac,Croatia,Zagreb,Croatia,1993-05-11 00:00:00,Left-Back,Defender,left,185.0,2026-06-30 00:00:00,Pro transfer,https://img.a.transfermarkt.technology/portrait/header/190634-1697615638.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/marko-pajac/profil/spieler/190634,KR1,NK Lokomotiva Zagreb,200000.0,1500000.0,156566.0
255322,Josip,Posavec,Josip Posavec,2025,11194,josip-posavec,Croatia,Varaždin,Croatia,1996-03-10 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2027-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/255322-1631128171.jpg?lm=1,16.0,0.0,,https://www.transfermarkt.co.uk/josip-posavec/profil/spieler/255322,KR1,NK Lokomotiva Zagreb,300000.0,2000000.0,798416.0
317482,Marko,Rog,Marko Rog,2025,11194,marko-rog,Croatia,Varaždin,Croatia,1995-07-19 00:00:00,Central Midfield,Midfield,right,180.0,2026-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/317482-1596004707.jpg?lm=1,21.0,0.0,,https://www.transfermarkt.co.uk/marko-rog/profil/spieler/317482,KR1,NK Lokomotiva Zagreb,600000.0,15000000.0,573616.0
465565,Dimitrije,Kamenovic,Dimitrije Kamenovic,2025,11194,dimitrije-kamenovic,Yugoslavia (Republic),Pirot,Serbia,2000-07-16 00:00:00,Left-Back,Defender,left,189.0,2028-06-30 00:00:00,Mateja Kezman,https://img.a.transfermarkt.technology/portrait/header/465565-1738845792.jpg?lm=1,12.0,1.0,,https://www.transfermarkt.co.uk/dimitrije-kamenovic/profil/spieler/465565,KR1,NK Lokomotiva Zagreb,300000.0,2000000.0,890910.0
528211,Tino,Jukic,Tino Jukic,2025,11194,tino-jukic,Germany,Filderstadt,Croatia,2001-10-10 00:00:00,Centre-Back,Defender,right,193.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/tino-jukic/profil/spieler/528211,KR1,NK Lokomotiva Zagreb,500000.0,500000.0,1090986.0
602906,Blaz,Boskovic,Blaz Boskovic,2025,11194,blaz-boskovic,Bosnia-Herzegovina,Mostar,Bosnia-Herzegovina,2001-12-15 00:00:00,Defensive Midfield,Midfield,right,,2026-06-15 00:00:00,ARGENTUM SPORT,https://img.a.transfermarkt.technology/portrait/header/602906-1603481393.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/blaz-boskovic/profil/spieler/602906,KR1,NK Lokomotiva Zagreb,350000.0,350000.0,999101.0
747417,Dusan,Vukovic,Dusan Vukovic,2025,11194,dusan-vukovic,Yugoslavia (Republic),Nikšić,Montenegro,2002-08-06 00:00:00,Left Winger,Attack,,188.0,2028-01-15 00:00:00,NIKOLA TADIĆ ,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/dusan-vukovic/profil/spieler/747417,KR1,NK Lokomotiva Zagreb,800000.0,800000.0,1142761.0
809157,Luka,Dajcer,Luka Dajcer,2025,11194,luka-dajcer,Croatia,Zagreb,Croatia,2001-06-06 00:00:00,Left-Back,Defender,left,184.0,2026-06-30 00:00:00,Soccer11,https://img.a.transfermarkt.technology/portrait/header/809157-1732377794.png?lm=1,,,,https://www.transfermarkt.co.uk/luka-dajcer/profil/spieler/809157,KR1,NK Lokomotiva Zagreb,350000.0,400000.0,1064398.0
