player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
76326,Tjaronn,Chery,Tjaronn Chery,2025,467,tjaronn-chery,Netherlands,Den Haag,Suriname,1988-06-04 00:00:00,Attacking Midfield,Midfield,left,171.0,2028-06-30 00:00:00,OER-SPORTS,https://img.a.transfermarkt.technology/portrait/header/76326-1764337013.png?lm=1,10.0,1.0,,https://www.transfermarkt.co.uk/tjaronn-chery/profil/spieler/76326,NL1,Nijmegen Eendracht Combinatie,400000.0,4500000.0,35208.0
82410,Bryan,Linssen,Bryan Linssen,2025,467,bryan-linssen,Netherlands,Neeritter,Netherlands,1990-10-08 00:00:00,Centre-Forward,Attack,right,170.0,2026-06-30 00:00:00,V4S,https://img.a.transfermarkt.technology/portrait/header/82410-1764256072.png?lm=1,,,,https://www.transfermarkt.co.uk/bryan-linssen/profil/spieler/82410,NL1,Nijmegen Eendracht Combinatie,350000.0,4000000.0,47753.0
104597,Bram,Nuytinck,Bram Nuytinck,2025,467,bram-nuytinck,Netherlands,Malden,Netherlands,1990-05-04 00:00:00,Centre-Back,Defender,left,191.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/104597-1723716327.jpg?lm=1,23.0,2.0,,https://www.transfermarkt.co.uk/bram-nuytinck/profil/spieler/104597,NL1,Nijmegen Eendracht Combinatie,250000.0,5000000.0,70930.0
146227,Jasper,Cillessen,Jasper Cillessen,2025,467,jasper-cillessen,Netherlands,Nijmegen,Netherlands,1989-04-22 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2026-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/146227-1764255346.png?lm=1,65.0,0.0,,https://www.transfermarkt.co.uk/jasper-cillessen/profil/spieler/146227,NL1,Nijmegen Eendracht Combinatie,300000.0,20000000.0,123865.0
146258,Jetro,Willems,Jetro Willems,2025,467,jetro-willems,Netherlands Antilles,Willemstad,Netherlands,1994-03-30 00:00:00,Centre-Back,Defender,left,177.0,2026-06-30 00:00:00,H2 Agency,https://img.a.transfermarkt.technology/portrait/header/146258-1764256518.png?lm=1,22.0,0.0,,https://www.transfermarkt.co.uk/jetro-willems/profil/spieler/146258,NL1,Nijmegen Eendracht Combinatie,300000.0,10000000.0,138828.0
163847,Eli,Dasa,Eli Dasa,2025,467,eli-dasa,Israel,Netanya,Israel,1992-12-03 00:00:00,Centre-Back,Defender,right,177.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/163847-1764256418.png?lm=1,76.0,1.0,,https://www.transfermarkt.co.uk/eli-dasa/profil/spieler/163847,NL1,Nijmegen Eendracht Combinatie,800000.0,2000000.0,127846.0
214346,Virgil,Misidjan,Virgil Misidjan,2025,467,virgil-misidjan,Netherlands,Goirle,Suriname,1993-07-24 00:00:00,Left Midfield,Midfield,right,173.0,2026-06-30 00:00:00,PURE,https://img.a.transfermarkt.technology/portrait/header/214346-1764337088.png?lm=1,13.0,3.0,,https://www.transfermarkt.co.uk/virgil-misidjan/profil/spieler/214346,NL1,Nijmegen Eendracht Combinatie,600000.0,6000000.0,148623.0
241477,Thomas,Ouwejan,Thomas Ouwejan,2025,467,thomas-ouwejan,Netherlands,Alkmaar,Netherlands,1996-09-30 00:00:00,Centre-Back,Defender,left,183.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/241477-1774356440.jpg?lm=1,12.0,0.0,,https://www.transfermarkt.co.uk/thomas-ouwejan/profil/spieler/241477,NL1,Nijmegen Eendracht Combinatie,900000.0,3000000.0,798180.0
340460,Philippe,Sandler,Philippe Sandler,2025,467,philippe-sandler,Netherlands,Amsterdam,Netherlands,1997-02-10 00:00:00,Centre-Back,Defender,right,190.0,2029-06-30 00:00:00,Team Raiola,https://img.a.transfermarkt.technology/portrait/header/340460-1764257025.png?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/philippe-sandler/profil/spieler/340460,NL1,Nijmegen Eendracht Combinatie,2000000.0,4500000.0,842275.0
351567,Koki,Ogawa,Koki Ogawa,2025,467,koki-ogawa,Japan,"Yokohama, Kanagawa",Japan,1997-08-08 00:00:00,Centre-Forward,Attack,right,186.0,2027-06-30 00:00:00,Sports360 GmbH,https://img.a.transfermarkt.technology/portrait/header/351567-1764256684.png?lm=1,13.0,10.0,,https://www.transfermarkt.co.uk/koki-ogawa/profil/spieler/351567,NL1,Nijmegen Eendracht Combinatie,2500000.0,3000000.0,831860.0
444380,Youssef,El Kachati,Youssef El Kachati,2025,467,youssef-el-kachati,Netherlands,Leiden,Morocco,1999-11-09 00:00:00,Centre-Forward,Attack,right,185.0,2028-06-30 00:00:00,PUM,https://img.a.transfermarkt.technology/portrait/header/444380-1764337274.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/youssef-el-kachati/profil/spieler/444380,NL1,Nijmegen Eendracht Combinatie,700000.0,800000.0,958317.0
455127,Willum Thór,Willumsson,Willum Thór Willumsson,2025,467,willum-thor-willumsson,Iceland,Reykjavík,Iceland,1998-10-23 00:00:00,Attacking Midfield,Midfield,left,194.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/455127-1690212997.jpg?lm=1,18.0,0.0,,https://www.transfermarkt.co.uk/willum-thor-willumsson/profil/spieler/455127,NL1,Nijmegen Eendracht Combinatie,3500000.0,4000000.0,978823.0
485587,Dirk,Proper,Dirk Proper,2025,467,dirk-proper,Netherlands,Elst,Netherlands,2002-02-24 00:00:00,Defensive Midfield,Midfield,right,167.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/485587-1764256321.png?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/dirk-proper/profil/spieler/485587,NL1,Nijmegen Eendracht Combinatie,2000000.0,6000000.0,961685.0
519731,,Danilo,Danilo,2025,467,danilo,Brazil,São Paulo,Brazil,1999-04-07 00:00:00,Centre-Forward,Attack,right,174.0,2026-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/519731-1659446747.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/danilo/profil/spieler/519731,NL1,Nijmegen Eendracht Combinatie,2000000.0,7000000.0,940647.0
