player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
203357,Ryan,Thomas,Ryan Thomas,2025,1269,ryan-thomas,New Zealand,Te Puke,New Zealand,1994-12-20 00:00:00,Defensive Midfield,Midfield,right,174.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/203357-1724750728.jpg?lm=1,24.0,3.0,,https://www.transfermarkt.co.uk/ryan-thomas/profil/spieler/203357,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,700000.0,3000000.0,333571.0
227039,Younes,Namli,Younes Namli,2025,1269,younes-namli,Denmark,København,Denmark,1994-06-20 00:00:00,Right Winger,Attack,left,180.0,2028-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/227039-1618670255.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/younes-namli/profil/spieler/227039,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,1000000.0,3000000.0,235538.0
272930,Jamiro,Monteiro,Jamiro Monteiro,2025,1269,jamiro-monteiro,Netherlands,Rotterdam,Cape Verde,1993-11-23 00:00:00,Central Midfield,Midfield,right,175.0,2026-06-30 00:00:00,Prestige Sports,https://img.a.transfermarkt.technology/portrait/header/272930-1755786603.jpg?lm=1,52.0,5.0,,https://www.transfermarkt.co.uk/jamiro-monteiro/profil/spieler/272930,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,750000.0,4000000.0,815080.0
315211,Sherel,Floranus,Sherel Floranus,2025,1269,sherel-floranus,Netherlands,Rotterdam,Curacao,1998-08-23 00:00:00,Left-Back,Defender,right,181.0,2027-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/315211-1755786473.jpg?lm=1,24.0,0.0,,https://www.transfermarkt.co.uk/sherel-floranus/profil/spieler/315211,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,800000.0,1000000.0,803021.0
357826,Thomas,Buitink,Thomas Buitink,2025,1269,thomas-buitink,Netherlands,Nijkerk,Netherlands,2000-06-14 00:00:00,Centre-Forward,Attack,right,174.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/357826-1724750685.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/thomas-buitink/profil/spieler/357826,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,350000.0,2500000.0,856736.0
360520,Odysseus,Velanas,Odysseus Velanas,2025,1269,odysseus-velanas,Greece,Samos,Netherlands,1998-06-05 00:00:00,Attacking Midfield,Midfield,right,180.0,2027-06-30 00:00:00,Rush & Guide,https://img.a.transfermarkt.technology/portrait/header/360520-1724750830.jpg?lm=1,7.0,1.0,,https://www.transfermarkt.co.uk/odysseus-velanas/profil/spieler/360520,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,500000.0,750000.0,846003.0
361082,Jasper,Schendelaar,Jasper Schendelaar,2025,1269,jasper-schendelaar,Netherlands,Alkmaar,Netherlands,2000-09-02 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2026-06-30 00:00:00,Muy Manero,https://img.a.transfermarkt.technology/portrait/header/361082-1755785844.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/jasper-schendelaar/profil/spieler/361082,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,2000000.0,2500000.0,856636.0
441216,Thijs,Oosting,Thijs Oosting,2025,1269,thijs-oosting,Netherlands,Emmen,Netherlands,2000-05-02 00:00:00,Attacking Midfield,Midfield,left,176.0,2026-06-30 00:00:00,V4S,https://img.a.transfermarkt.technology/portrait/header/441216-1723455783.jpg?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/thijs-oosting/profil/spieler/441216,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,700000.0,700000.0,876233.0
453121,Koen,Kostons,Koen Kostons,2025,1269,koen-kostons,Belgium,Genk,Netherlands,1999-09-18 00:00:00,Centre-Forward,Attack,right,186.0,2029-06-30 00:00:00,PURE,https://img.a.transfermarkt.technology/portrait/header/453121-1755785490.jpg?lm=1,,,,https://www.transfermarkt.co.uk/koen-kostons/profil/spieler/453121,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,1500000.0,1500000.0,847073.0
540927,Kaj,de Rooij,Kaj de Rooij,2025,1269,kaj-de-rooij,Netherlands,Best,Netherlands,2000-11-25 00:00:00,Left Winger,Attack,right,184.0,2026-06-30 00:00:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/540927-1724751305.jpg?lm=1,,,,https://www.transfermarkt.co.uk/kaj-de-rooij/profil/spieler/540927,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,1000000.0,1000000.0,927605.0
542858,Simon,Graves,Simon Graves,2025,1269,simon-graves,Denmark,Holstebro,Denmark,1999-05-22 00:00:00,Centre-Back,Defender,right,191.0,2028-06-30 00:00:00,CMA Group,https://img.a.transfermarkt.technology/portrait/header/542858-1755786294.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/simon-graves/profil/spieler/542858,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,1500000.0,1500000.0,927155.0
564620,Samir,Lagsir,Samir Lagsir,2025,1269,samir-lagsir,Netherlands,Deventer,Netherlands,2003-05-20 00:00:00,Attacking Midfield,Midfield,right,180.0,2026-06-30 00:00:00,Key United,https://img.a.transfermarkt.technology/portrait/header/564620-1724750777.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/samir-lagsir/profil/spieler/564620,NL1,Prins Hendrik Ende Desespereert Nimmer Combinatie Zwolle,150000.0,200000.0,1012931.0
