player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
85941,Stefan,Ortega,Stefan Ortega,2025,703,stefan-ortega,Germany,Hofgeismar,Germany,1992-11-06 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/85941-1668065114.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/stefan-ortega/profil/spieler/85941,GB1,Nottingham Forest Football Club,5000000.0,9000000.0,125274.0
108725,Chris,Wood,Chris Wood,2025,703,chris-wood,New Zealand,Auckland,New Zealand,1991-12-07 00:00:00,Centre-Forward,Attack,right,191.0,2027-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/108725-1740646786.jpg?lm=1,88.0,45.0,,https://www.transfermarkt.co.uk/chris-wood/profil/spieler/108725,GB1,Nottingham Forest Football Club,6000000.0,18000000.0,50480.0
127202,Matz,Sels,Matz Sels,2025,703,matz-sels,Belgium,Lint,Belgium,1992-02-26 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2027-06-30 00:00:00,Cherry Sports,https://img.a.transfermarkt.technology/portrait/header/127202-1665067633.jpg?lm=1,12.0,0.0,,https://www.transfermarkt.co.uk/matz-sels/profil/spieler/127202,GB1,Nottingham Forest Football Club,4000000.0,8000000.0,78152.0
201574,Angus,Gunn,Angus Gunn,2025,703,angus-gunn,England,Norwich,Scotland,1996-01-22 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2026-06-30 00:00:00,Triple S Sports,https://img.a.transfermarkt.technology/portrait/header/201574-1716378186.jpg?lm=1,20.0,0.0,,https://www.transfermarkt.co.uk/angus-gunn/profil/spieler/201574,GB1,Nottingham Forest Football Club,1500000.0,10000000.0,227946.0
236490,Ola,Aina,Ola Aina,2025,703,ola-aina,England,London,Nigeria,1996-10-08 00:00:00,Right-Back,Defender,right,184.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/236490-1707383919.jpg?lm=1,48.0,0.0,,https://www.transfermarkt.co.uk/ola-aina/profil/spieler/236490,GB1,Nottingham Forest Football Club,20000000.0,22000000.0,800417.0
295313,Taiwo,Awoniyi,Taiwo Awoniyi,2025,703,taiwo-awoniyi,Nigeria,Ilorin,Nigeria,1997-08-12 00:00:00,Centre-Forward,Attack,right,183.0,2027-06-30 00:00:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/295313-1774469214.jpg?lm=1,10.0,2.0,,https://www.transfermarkt.co.uk/taiwo-awoniyi/profil/spieler/295313,GB1,Nottingham Forest Football Club,9000000.0,30000000.0,359664.0
365108,Dan,Ndoye,Dan Ndoye,2025,703,dan-ndoye,Switzerland,Nyon,Switzerland,2000-10-25 00:00:00,Right Winger,Attack,right,184.0,2030-06-30 00:00:00,Binary Sports Group,https://img.a.transfermarkt.technology/portrait/header/365108-1718218474.jpg?lm=1,28.0,5.0,,https://www.transfermarkt.co.uk/dan-ndoye/profil/spieler/365108,GB1,Nottingham Forest Football Club,35000000.0,40000000.0,944327.0
375885,Ibrahim,Sangaré,Ibrahim Sangaré,2025,703,ibrahim-sangare,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1997-12-02 00:00:00,Defensive Midfield,Midfield,right,191.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/375885-1700738495.jpg?lm=1,52.0,11.0,,https://www.transfermarkt.co.uk/ibrahim-sangare/profil/spieler/375885,GB1,Nottingham Forest Football Club,22000000.0,35000000.0,843754.0
392768,Callum,Hudson-Odoi,Callum Hudson-Odoi,2025,703,callum-hudson-odoi,England,London,England,2000-11-07 00:00:00,Left Winger,Attack,right,178.0,2028-06-30 00:00:00,BTS,https://img.a.transfermarkt.technology/portrait/header/392768-1659969850.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/callum-hudson-odoi/profil/spieler/392768,GB1,Nottingham Forest Football Club,30000000.0,35000000.0,867442.0
413507,Nikola,Milenković,Nikola Milenković,2025,703,nikola-milenkovic,Yugoslavia (Republic),Belgrade,Serbia,1997-10-12 00:00:00,Centre-Back,Defender,right,195.0,2029-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/413507-1661166461.jpg?lm=1,70.0,3.0,,https://www.transfermarkt.co.uk/nikola-milenkovic/profil/spieler/413507,GB1,Nottingham Forest Football Club,30000000.0,35000000.0,836168.0
425902,Ryan,Yates,Ryan Yates,2025,703,ryan-yates,England,Lincoln,England,1997-11-21 00:00:00,Central Midfield,Midfield,right,190.0,2028-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/425902-1684239778.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ryan-yates/profil/spieler/425902,GB1,Nottingham Forest Football Club,8000000.0,13000000.0,846252.0
429014,Morgan,Gibbs-White,Morgan Gibbs-White,2025,703,morgan-gibbs-white,England,Stafford,England,2000-01-27 00:00:00,Attacking Midfield,Midfield,right,171.0,2028-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/429014-1687975822.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/morgan-gibbs-white/profil/spieler/429014,GB1,Nottingham Forest Football Club,60000000.0,65000000.0,865912.0
432164,,Igor Jesus,Igor Jesus,2025,703,igor-jesus,Brazil,Cuiabá,Brazil,2001-02-25 00:00:00,Centre-Forward,Attack,right,179.0,2029-06-30 00:00:00,JBSports,https://img.a.transfermarkt.technology/portrait/header/432164-1725325779.jpg?lm=1,5.0,1.0,,https://www.transfermarkt.co.uk/igor-jesus/profil/spieler/432164,GB1,Nottingham Forest Football Club,22000000.0,22000000.0,981619.0
432914,,John Victor,John Victor,2025,703,john-victor,Brazil,Diadema,Brazil,1996-02-13 00:00:00,Goalkeeper,Goalkeeper,right,197.0,2028-06-30 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/432914-1734107350.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/john-victor/profil/spieler/432914,GB1,Nottingham Forest Football Club,7000000.0,8000000.0,840103.0
497291,Nicolás,Domínguez,Nicolás Domínguez,2025,703,nicolas-dominguez,Argentina,Haedo,Argentina,1998-06-28 00:00:00,Central Midfield,Midfield,right,179.0,2028-06-30 00:00:00,Interplayers,https://img.a.transfermarkt.technology/portrait/header/497291-1767772056.jpg?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/nicolas-dominguez/profil/spieler/497291,GB1,Nottingham Forest Football Club,16000000.0,18000000.0,871765.0
503680,Neco,Williams,Neco Williams,2025,703,neco-williams,Wales,Wrexham,Wales,2001-04-13 00:00:00,Left-Back,Defender,right,183.0,2029-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/503680-1705499825.jpg?lm=1,54.0,4.0,,https://www.transfermarkt.co.uk/neco-williams/profil/spieler/503680,GB1,Nottingham Forest Football Club,25000000.0,25000000.0,927356.0
524285,Luca,Netz,Luca Netz,2025,703,luca-netz,Germany,Berlin,Germany,2003-05-15 00:00:00,Left-Back,Defender,left,184.0,2030-06-30 00:00:00,11WINS,https://img.a.transfermarkt.technology/portrait/header/524285-1760967382.jpg?lm=1,17.0,0.0,,https://www.transfermarkt.co.uk/luca-netz/profil/spieler/524285,GB1,Nottingham Forest Football Club,6000000.0,10000000.0,979144.0
540664,Dilane,Bakwa,Dilane Bakwa,2025,703,dilane-bakwa,France,Créteil,France,2002-08-26 00:00:00,Right Winger,Attack,left,180.0,2030-06-30 00:00:00,Sport Cover,https://img.a.transfermarkt.technology/portrait/header/540664-1732575429.png?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/dilane-bakwa/profil/spieler/540664,GB1,Nottingham Forest Football Club,28000000.0,35000000.0,963298.0
567576,Elliot,Anderson,Elliot Anderson,2025,703,elliot-anderson,England,Whitley Bay,England,2002-11-06 00:00:00,Central Midfield,Midfield,right,179.0,2029-06-30 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/567576-1696453772.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/elliot-anderson/profil/spieler/567576,GB1,Nottingham Forest Football Club,60000000.0,60000000.0,994546.0
572265,Lorenzo,Lucca,Lorenzo Lucca,2025,703,lorenzo-lucca,Italy,Moncalieri,Italy,2000-09-10 00:00:00,Centre-Forward,Attack,right,201.0,2026-06-30 00:00:00,GR Sports,https://img.a.transfermarkt.technology/portrait/header/572265-1725531439.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/lorenzo-lucca/profil/spieler/572265,GB1,Nottingham Forest Football Club,25000000.0,30000000.0,962364.0
583199,James,McAtee,James McAtee,2025,703,james-mcatee,England,Salford,England,2002-10-18 00:00:00,Attacking Midfield,Midfield,left,180.0,2030-06-30 00:00:00,YMU Management Ltd.,https://img.a.transfermarkt.technology/portrait/header/583199-1770845444.jpg?lm=1,24.0,8.0,,https://www.transfermarkt.co.uk/james-mcatee/profil/spieler/583199,GB1,Nottingham Forest Football Club,20000000.0,25000000.0,1003334.0
673492,,Morato,Morato,2025,703,morato,Brazil,Francisco Morato,Brazil,2001-06-30 00:00:00,Centre-Back,Defender,left,192.0,2029-06-30 00:00:00,Bertolucci Sports,https://img.a.transfermarkt.technology/portrait/header/673492-1701295349.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/morato/profil/spieler/673492,GB1,Nottingham Forest Football Club,14000000.0,15000000.0,985086.0
