player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
36709,Brian,Graham,Brian Graham,2025,1191,brian-graham,Scotland,Glasgow,Scotland,1987-11-23 00:00:00,Centre-Forward,Attack,right,188.0,2026-05-31 00:00:00,PLG Scotland,https://img.a.transfermarkt.technology/portrait/header/36709-1743657005.jpg?lm=1,,,,https://www.transfermarkt.co.uk/brian-graham/profil/spieler/36709,SC1,Falkirk Football & Athletic Club,50000.0,350000.0,74793.0
85627,Scott,Bain,Scott Bain,2025,1191,scott-bain,Scotland,Edinburgh,Scotland,1991-11-22 00:00:00,Goalkeeper,Goalkeeper,right,183.0,2028-05-31 00:00:00,EAA,https://img.a.transfermarkt.technology/portrait/header/85627-1684505325.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/scott-bain/profil/spieler/85627,SC1,Falkirk Football & Athletic Club,100000.0,800000.0,96493.0
196229,Coll,Donaldson,Coll Donaldson,2025,1191,coll-donaldson,Scotland,Edinburgh,Scotland,1995-04-09 00:00:00,Centre-Back,Defender,right,,2028-05-31 00:00:00,EAA,https://img.a.transfermarkt.technology/portrait/header/196229-1626338756.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/coll-donaldson/profil/spieler/196229,SC1,Falkirk Football & Athletic Club,100000.0,400000.0,302778.0
223971,Gary,Oliver,Gary Oliver,2025,1191,gary-oliver,Scotland,Glasgow,Scotland,1995-07-14 00:00:00,Attacking Midfield,Midfield,right,178.0,2026-05-31 00:00:00,QUANIC SPORTS,https://img.a.transfermarkt.technology/portrait/header/223971-1757540720.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/gary-oliver/profil/spieler/223971,SC1,Falkirk Football & Athletic Club,75000.0,150000.0,339627.0
244261,Calvin,Miller,Calvin Miller,2025,1191,calvin-miller,Scotland,Glasgow,Scotland,1998-01-09 00:00:00,Left Midfield,Midfield,left,182.0,2027-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/244261-1757540860.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/calvin-miller/profil/spieler/244261,SC1,Falkirk Football & Athletic Club,350000.0,350000.0,355460.0
279471,Sam,Hart,Sam Hart,2025,1191,sam-hart,England,Bolton,England,1996-09-10 00:00:00,Left-Back,Defender,left,183.0,2026-06-30 00:00:00,OmniSports,https://img.a.transfermarkt.technology/portrait/header/279471-1720806240.jpg?lm=1,,,,https://www.transfermarkt.co.uk/sam-hart/profil/spieler/279471,SC1,Falkirk Football & Athletic Club,100000.0,250000.0,846355.0
328429,Liam,Henderson,Liam Henderson,2025,1191,liam-henderson,Scotland,Edinburgh,Scotland,1996-08-23 00:00:00,Centre-Back,Defender,left,191.0,2028-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/328429-1757541308.jpg?lm=1,,,,https://www.transfermarkt.co.uk/liam-henderson/profil/spieler/328429,SC1,Falkirk Football & Athletic Club,100000.0,100000.0,844466.0
401046,Ross,MacIver,Ross MacIver,2025,1191,ross-maciver,Scotland,Inverness,Scotland,1999-02-28 00:00:00,Centre-Forward,Attack,right,189.0,2027-05-31 00:00:00,Deadline Day Soccer ,https://img.a.transfermarkt.technology/portrait/header/401046-1757499147.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ross-maciver/profil/spieler/401046,SC1,Falkirk Football & Athletic Club,200000.0,200000.0,926814.0
423750,Nicky,Hogarth,Nicky Hogarth,2025,1191,nicky-hogarth,Scotland,Falkirk,Scotland,2001-07-04 00:00:00,Goalkeeper,Goalkeeper,right,195.0,2028-05-31 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/423750-1757541621.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/nicky-hogarth/profil/spieler/423750,SC1,Falkirk Football & Athletic Club,150000.0,150000.0,1022433.0
512995,Ethan,Ross,Ethan Ross,2025,1191,ethan-ross,Scotland,Inverurie,Scotland,2001-08-15 00:00:00,Left Midfield,Midfield,right,173.0,2027-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/512995-1624024040.jpg?lm=1,3.0,1.0,,https://www.transfermarkt.co.uk/ethan-ross/profil/spieler/512995,SC1,Falkirk Football & Athletic Club,250000.0,275000.0,943124.0
527858,Leon,McCann,Leon McCann,2025,1191,leon-mccann,,,Scotland,2000-03-16 00:00:00,Left-Back,Defender,left,171.0,2026-05-31 00:00:00,451 FC,https://img.a.transfermarkt.technology/portrait/header/527858-1757541045.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/leon-mccann/profil/spieler/527858,SC1,Falkirk Football & Athletic Club,100000.0,100000.0,988291.0
531031,Brad,Spencer,Brad Spencer,2025,1191,brad-spencer,England,London,Scotland,1996-05-16 00:00:00,Defensive Midfield,Midfield,right,173.0,2028-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/531031-1757541726.jpg?lm=1,,,,https://www.transfermarkt.co.uk/brad-spencer/profil/spieler/531031,SC1,Falkirk Football & Athletic Club,225000.0,300000.0,894507.0
647281,Dylan,Tait,Dylan Tait,2025,1191,dylan-tait,Scotland,Glasgow,Scotland,2001-12-01 00:00:00,Central Midfield,Midfield,right,176.0,2026-05-31 00:00:00,Trueno Sports,https://img.a.transfermarkt.technology/portrait/header/647281-1757499279.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/dylan-tait/profil/spieler/647281,SC1,Falkirk Football & Athletic Club,500000.0,500000.0,988688.0
652633,Lewis,Neilson,Lewis Neilson,2025,1191,lewis-neilson,Scotland,Dundee,Scotland,2003-05-15 00:00:00,Centre-Back,Defender,right,193.0,2026-05-31 00:00:00,PLG Scotland,https://img.a.transfermarkt.technology/portrait/header/652633-1622032603.jpg?lm=1,11.0,1.0,,https://www.transfermarkt.co.uk/lewis-neilson/profil/spieler/652633,SC1,Falkirk Football & Athletic Club,700000.0,700000.0,1017216.0
719685,Finn,Yeats,Finn Yeats,2025,1191,finn-yeats,Scotland,Westhill,Scotland,2004-04-19 00:00:00,Attacking Midfield,Midfield,right,,2028-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/719685-1770021521.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/finn-yeats/profil/spieler/719685,SC1,Falkirk Football & Athletic Club,400000.0,400000.0,1149932.0
743556,Connor,Allan,Connor Allan,2025,1191,connor-allan,,,Scotland,2004-01-10 00:00:00,Centre-Back,Defender,right,19.0,,David Moss Group,https://img.a.transfermarkt.technology/portrait/header/743556-1757541143.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/connor-allan/profil/spieler/743556,SC1,Falkirk Football & Athletic Club,250000.0,250000.0,1145733.0
863734,Filip,Lissah,Filip Lissah,2025,1191,filip-lissah,,,Czech Republic,2004-12-08 00:00:00,Right-Back,Defender,right,,,Conquest SM,https://img.a.transfermarkt.technology/portrait/header/863734-1751921872.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/filip-lissah/profil/spieler/863734,SC1,Falkirk Football & Athletic Club,250000.0,250000.0,1515577.0
866651,Henry,Cartwright,Henry Cartwright,2025,1191,henry-cartwright,,,England,2004-12-11 00:00:00,Defensive Midfield,Midfield,right,,2026-06-30 00:00:00,SEG,https://img.a.transfermarkt.technology/portrait/header/866651-1746692873.jpg?lm=1,,,,https://www.transfermarkt.co.uk/henry-cartwright/profil/spieler/866651,SC1,Falkirk Football & Athletic Club,50000.0,50000.0,1171411.0
