player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
91315,Marley,Watkins,Marley Watkins,2025,2553,marley-watkins,England,London,Wales,1990-10-17 00:00:00,Centre-Forward,Attack,right,178.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/91315-1547131596.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/marley-watkins/profil/spieler/91315,SC1,Kilmarnock Football Club,50000.0,1000000.0,39189.0
123503,Kelle,Roos,Kelle Roos,2025,2553,kelle-roos,Netherlands,Rijkevoort,Netherlands,1992-05-31 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/123503-1697116027.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/kelle-roos/profil/spieler/123503,SC1,Kilmarnock Football Club,200000.0,1500000.0,373210.0
132209,Liam,Polworth,Liam Polworth,2025,2553,liam-polworth,Scotland,Inverness,Scotland,1994-10-12 00:00:00,Central Midfield,Midfield,right,179.0,2026-05-31 00:00:00,Deadline Day Soccer ,https://img.a.transfermarkt.technology/portrait/header/132209-1612223707.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/liam-polworth/profil/spieler/132209,SC1,Kilmarnock Football Club,150000.0,800000.0,134213.0
177550,Rory,McKenzie,Rory McKenzie,2025,2553,rory-mckenzie,Scotland,Irvine,Scotland,1993-10-07 00:00:00,Right Winger,Attack,right,176.0,2026-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/177550-1624880438.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/rory-mckenzie/profil/spieler/177550,SC1,Kilmarnock Football Club,100000.0,500000.0,147209.0
243633,Aaron,Tshibola,Aaron Tshibola,2025,2553,aaron-tshibola,England,London,DR Congo,1995-01-02 00:00:00,Central Midfield,Midfield,right,190.0,,,https://img.a.transfermarkt.technology/portrait/header/243633-1757720826.jpg?lm=1,16.0,1.0,,https://www.transfermarkt.co.uk/aaron-tshibola/profil/spieler/243633,SC1,Kilmarnock Football Club,250000.0,3000000.0,353602.0
244256,Greg,Kiltie,Greg Kiltie,2025,2553,greg-kiltie,Scotland,Irvine,Scotland,1997-01-18 00:00:00,Left Winger,Attack,left,173.0,2027-05-31 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/244256-1624880237.jpg?lm=1,9.0,4.0,,https://www.transfermarkt.co.uk/greg-kiltie/profil/spieler/244256,SC1,Kilmarnock Football Club,300000.0,600000.0,328073.0
334816,Brad,Lyons,Brad Lyons,2025,2553,brad-lyons,Northern Ireland,Ballymoney,Northern Ireland,1997-05-26 00:00:00,Central Midfield,Midfield,right,176.0,2026-05-31 00:00:00,Murdock Sports Group,https://img.a.transfermarkt.technology/portrait/header/334816-1757410713.jpg?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/brad-lyons/profil/spieler/334816,SC1,Kilmarnock Football Club,350000.0,350000.0,886878.0
347473,Jack,Thomson,Jack Thomson,2025,2553,jack-thomson,Scotland,Glasgow,Scotland,2000-01-20 00:00:00,Central Midfield,Midfield,,,2027-05-31 00:00:00,CAA Stellar,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/jack-thomson/profil/spieler/347473,SC1,Kilmarnock Football Club,250000.0,275000.0,833935.0
368984,Michael,Schjönning-Larsen,Michael Schjönning-Larsen,2025,2553,michael-schjonning-larsen,Denmark,Stenløse,Estonia,2001-02-02 00:00:00,Left-Back,Defender,both,187.0,2027-05-31 00:00:00,Avid Sports Group,https://img.a.transfermarkt.technology/portrait/header/368984-1709836076.png?lm=1,19.0,0.0,,https://www.transfermarkt.co.uk/michael-schjonning-larsen/profil/spieler/368984,SC1,Kilmarnock Football Club,350000.0,350000.0,953869.0
382096,Bruce,Anderson,Bruce Anderson,2025,2553,bruce-anderson,Scotland,Banff,Scotland,1998-09-23 00:00:00,Centre-Forward,Attack,right,173.0,2026-05-31 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/382096-1621263455.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/bruce-anderson/profil/spieler/382096,SC1,Kilmarnock Football Club,300000.0,600000.0,845437.0
