player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
165007,Denis,Suárez,Denis Suárez,2025,1108,denis-suarez,Spain,Salceda de Caselas,Spain,1994-01-06 00:00:00,Attacking Midfield,Midfield,right,176.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/165007-1687272769.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/denis-suarez/profil/spieler/165007,ES1,Deportivo Alavés S. A. D.,1200000.0,18000000.0,138383.0
175446,Jonny,Otto,Jonny Otto,2025,1108,jonny-otto,Spain,Vigo,Spain,1994-03-03 00:00:00,Right-Back,Defender,both,175.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/175446-1727967204.png?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/jonny-otto/profil/spieler/175446,ES1,Deportivo Alavés S. A. D.,2500000.0,20000000.0,235648.0
225020,Mariano,Díaz,Mariano Díaz,2025,1108,mariano-diaz,Spain,Premià de Mar,Dominican Republic,1993-08-01 00:00:00,Centre-Forward,Attack,right,180.0,2027-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/225020-1684487196.jpg?lm=1,3.0,2.0,,https://www.transfermarkt.co.uk/mariano-diaz/profil/spieler/225020,ES1,Deportivo Alavés S. A. D.,400000.0,22000000.0,175753.0
284854,Carles,Aleñá,Carles Aleñá,2025,1108,carles-alena,Spain,Mataró,Spain,1998-01-05 00:00:00,Central Midfield,Midfield,left,180.0,2029-06-30 00:00:00,De la Peña & Sostres,https://img.a.transfermarkt.technology/portrait/header/284854-1669364902.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/carles-alena/profil/spieler/284854,ES1,Deportivo Alavés S. A. D.,3500000.0,30000000.0,794937.0
289257,Jon,Guridi,Jon Guridi,2025,1108,jon-guridi,Spain,Azpeitia,Spain,1995-02-28 00:00:00,Central Midfield,Midfield,left,179.0,2026-06-30 00:00:00,IDUB GLOBAL,https://img.a.transfermarkt.technology/portrait/header/289257-1604301765.jpg?lm=1,,,,https://www.transfermarkt.co.uk/jon-guridi/profil/spieler/289257,ES1,Deportivo Alavés S. A. D.,2000000.0,5000000.0,788141.0
298197,Antonio,Sivera,Antonio Sivera,2025,1108,antonio-sivera,Spain,Xàbia,Spain,1996-08-11 00:00:00,Goalkeeper,Goalkeeper,right,185.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/298197-1713856039.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/antonio-sivera/profil/spieler/298197,ES1,Deportivo Alavés S. A. D.,6000000.0,6000000.0,369004.0
302371,Toni,Martínez,Toni Martínez,2025,1108,toni-martinez,Spain,Barrio del Progreso,Spain,1997-06-30 00:00:00,Centre-Forward,Attack,right,187.0,2028-06-30 00:00:00,LEADERBROCK,https://img.a.transfermarkt.technology/portrait/header/302371-1606396665.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/toni-martinez/profil/spieler/302371,ES1,Deportivo Alavés S. A. D.,4000000.0,7000000.0,831253.0
334222,Lucas,Boyé,Lucas Boyé,2025,1108,lucas-boye,Argentina,San Gregorio,Argentina,1996-02-28 00:00:00,Centre-Forward,Attack,right,183.0,2029-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/334222-1734010923.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/lucas-boye/profil/spieler/334222,ES1,Deportivo Alavés S. A. D.,5000000.0,15000000.0,814385.0
465967,Ander,Guevara,Ander Guevara,2025,1108,ander-guevara,Spain,Vitoria-Gasteiz,Spain,1997-07-07 00:00:00,Central Midfield,Midfield,right,180.0,2027-06-30 00:00:00,YOU FIRST,https://img.a.transfermarkt.technology/portrait/header/465967-1705338008.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ander-guevara/profil/spieler/465967,ES1,Deportivo Alavés S. A. D.,3000000.0,7500000.0,891931.0
495621,Antonio,Blanco,Antonio Blanco,2025,1108,antonio-blanco,Spain,Montalbán,Spain,2000-07-23 00:00:00,Defensive Midfield,Midfield,right,176.0,2027-06-30 00:00:00,Manuel García Quilón,https://img.a.transfermarkt.technology/portrait/header/495621-1705337231.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/antonio-blanco/profil/spieler/495621,ES1,Deportivo Alavés S. A. D.,10000000.0,10000000.0,855832.0
