player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
76467,Kiko,Femenía,Kiko Femenía,2025,3709,kiko-femenia,Spain,Sanet y Negrals,Spain,1991-02-02 00:00:00,Right-Back,Defender,right,174.0,2027-06-30 00:00:00,Goal Management,https://img.a.transfermarkt.technology/portrait/header/76467-1726231817.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/kiko-femenia/profil/spieler/76467,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,800000.0,6000000.0,53739.0
111508,Allan,Nyom,Allan Nyom,2025,3709,allan-nyom,France,Neuilly-sur-Seine,Cameroon,1988-05-10 00:00:00,Right-Back,Defender,right,189.0,2026-06-30 00:00:00,JV SPORTS ,https://img.a.transfermarkt.technology/portrait/header/111508-1541162382.jpg?lm=1,18.0,0.0,,https://www.transfermarkt.co.uk/allan-nyom/profil/spieler/111508,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,200000.0,5000000.0,128637.0
126737,,Juanmi,Juanmi,2025,3709,juanmi,Spain,Coín,Spain,1993-05-20 00:00:00,Left Winger,Attack,right,172.0,2027-06-30 00:00:00,Fútbol LLave,https://img.a.transfermarkt.technology/portrait/header/126737-1653043231.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/juanmi/profil/spieler/126737,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,1200000.0,15000000.0,96369.0
221150,Dakonam,Djené,Dakonam Djené,2025,3709,dakonam-djene,Togo,Lome Dapaong,Togo,1991-12-31 00:00:00,Centre-Back,Defender,right,178.0,2026-06-30 00:00:00,BY Sport Consulting,https://img.a.transfermarkt.technology/portrait/header/221150-1669364811.jpg?lm=1,89.0,0.0,,https://www.transfermarkt.co.uk/dakonam-djene/profil/spieler/221150,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,1600000.0,30000000.0,307702.0
226012,David,Soria,David Soria,2025,3709,david-soria,Spain,Madrid,Spain,1993-04-04 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/226012-1696863038.jpg?lm=1,,,,https://www.transfermarkt.co.uk/david-soria/profil/spieler/226012,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,3000000.0,18000000.0,604258.0
249513,Diego,Rico,Diego Rico,2025,3709,diego-rico,Spain,Burgos,Spain,1993-02-23 00:00:00,Left-Back,Defender,left,183.0,2026-06-30 00:00:00,IDUB GLOBAL,https://img.a.transfermarkt.technology/portrait/header/249513-1697221474.jpg?lm=1,,,,https://www.transfermarkt.co.uk/diego-rico/profil/spieler/249513,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,1200000.0,10000000.0,350560.0
257376,Domingos,Duarte,Domingos Duarte,2025,3709,domingos-duarte,Portugal,Cascais,Portugal,1995-03-10 00:00:00,Centre-Back,Defender,right,192.0,2026-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/257376-1583309064.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/domingos-duarte/profil/spieler/257376,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,800000.0,12000000.0,576276.0
281989,Luis,Milla,Luis Milla,2025,3709,luis-milla,Spain,Madrid,Spain,1994-10-07 00:00:00,Central Midfield,Midfield,right,175.0,2027-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/281989-1669364960.jpg?lm=1,,,,https://www.transfermarkt.co.uk/luis-milla/profil/spieler/281989,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,3500000.0,6000000.0,811629.0
282421,Javi,Muñoz,Javi Muñoz,2025,3709,javi-munoz,Spain,Parla,Spain,1995-02-28 00:00:00,Central Midfield,Midfield,right,177.0,2028-06-30 00:00:00,Gesport Espizua SL,https://img.a.transfermarkt.technology/portrait/header/282421-1698852390.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/javi-munoz/profil/spieler/282421,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,1500000.0,3000000.0,353154.0
290249,Mauro,Arambarri,Mauro Arambarri,2025,3709,mauro-arambarri,Uruguay,Salto,Uruguay,1995-09-30 00:00:00,Central Midfield,Midfield,right,175.0,2028-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/290249-1669365106.jpg?lm=1,12.0,0.0,,https://www.transfermarkt.co.uk/mauro-arambarri/profil/spieler/290249,ES1,Getafe Club de Fútbol S. A. D. Team Dubai,10000000.0,25000000.0,385888.0
