player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
40433,Alexis,Sánchez,Alexis Sánchez,2025,368,alexis-sanchez,Chile,Tocopilla,Chile,1988-12-19 00:00:00,Second Striker,Attack,right,169.0,2026-06-30 00:00:00,Vibra Futbol,https://img.a.transfermarkt.technology/portrait/header/40433-1759840737.jpg?lm=1,168.0,51.0,,https://www.transfermarkt.co.uk/alexis-sanchez/profil/spieler/40433,ES1,Sevilla Fútbol Club S.A.D.,1400000.0,70000000.0,34120.0
57500,César,Azpilicueta,César Azpilicueta,2025,368,cesar-azpilicueta,Spain,Pamplona,Spain,1989-08-28 00:00:00,Centre-Back,Defender,right,178.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/57500-1668169250.jpg?lm=1,44.0,1.0,,https://www.transfermarkt.co.uk/cesar-azpilicueta/profil/spieler/57500,ES1,Sevilla Fútbol Club S.A.D.,1200000.0,40000000.0,21555.0
73517,Ørjan,Nyland,Ørjan Nyland,2025,368,orjan-nyland,Norway,Volda,Norway,1990-09-10 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/73517-1532082757.jpg?lm=1,67.0,0.0,,https://www.transfermarkt.co.uk/orjan-nyland/profil/spieler/73517,ES1,Sevilla Fútbol Club S.A.D.,900000.0,3000000.0,22209.0
74294,Nemanja,Gudelj,Nemanja Gudelj,2025,368,nemanja-gudelj,Jugoslawien (SFR),Belgrad,Serbia,1991-11-16 00:00:00,Defensive Midfield,Midfield,right,187.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/74294-1718893660.jpg?lm=1,74.0,1.0,,https://www.transfermarkt.co.uk/nemanja-gudelj/profil/spieler/74294,ES1,Sevilla Fútbol Club S.A.D.,2500000.0,7000000.0,68332.0
124419,Odysseas,Vlachodimos,Odysseas Vlachodimos,2025,368,odysseas-vlachodimos,Germany,Stuttgart,Greece,1994-04-26 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2026-06-30 00:00:00,fair-sport GmbH,https://img.a.transfermarkt.technology/portrait/header/124419-1706829687.jpg?lm=1,52.0,0.0,,https://www.transfermarkt.co.uk/odysseas-vlachodimos/profil/spieler/124419,ES1,Sevilla Fútbol Club S.A.D.,4000000.0,18000000.0,138149.0
155025,Fábio,Cardoso,Fábio Cardoso,2025,368,fabio-cardoso,Portugal,Águeda,Portugal,1994-04-19 00:00:00,Centre-Back,Defender,right,187.0,2028-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/155025-1736318779.JPG?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/fabio-cardoso/profil/spieler/155025,ES1,Sevilla Fútbol Club S.A.D.,2000000.0,4000000.0,252815.0
177847,Adnan,Januzaj,Adnan Januzaj,2025,368,adnan-januzaj,Belgium,Brussel,Belgium,1995-02-05 00:00:00,Right Winger,Attack,left,186.0,2026-06-30 00:00:00,AS1,https://img.a.transfermarkt.technology/portrait/header/177847-1685115304.png?lm=1,15.0,1.0,,https://www.transfermarkt.co.uk/adnan-januzaj/profil/spieler/177847,ES1,Sevilla Fútbol Club S.A.D.,1200000.0,15000000.0,328145.0
212723,Djibril,Sow,Djibril Sow,2025,368,djibril-sow,Switzerland,Zürich,Switzerland,1997-02-06 00:00:00,Central Midfield,Midfield,right,184.0,2029-06-30 00:00:00,Signature - ISCM AG,https://img.a.transfermarkt.technology/portrait/header/212723-1663065652.jpg?lm=1,49.0,0.0,,https://www.transfermarkt.co.uk/djibril-sow/profil/spieler/212723,ES1,Sevilla Fútbol Club S.A.D.,7500000.0,22000000.0,799054.0
217115,Neal,Maupay,Neal Maupay,2025,368,neal-maupay,France,Versailles,France,1996-08-14 00:00:00,Centre-Forward,Attack,right,171.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/217115-1700737951.jpg?lm=1,2.0,1.0,,https://www.transfermarkt.co.uk/neal-maupay/profil/spieler/217115,ES1,Sevilla Fútbol Club S.A.D.,4000000.0,22000000.0,268903.0
263727,Joan,Jordán,Joan Jordán,2025,368,joan-jordan,Spain,Regencós,Spain,1994-07-06 00:00:00,Central Midfield,Midfield,right,185.0,2027-06-30 00:00:00,LEADERBROCK,https://img.a.transfermarkt.technology/portrait/header/263727-1620305031.jpg?lm=1,,,,https://www.transfermarkt.co.uk/joan-jordan/profil/spieler/263727,ES1,Sevilla Fútbol Club S.A.D.,2000000.0,30000000.0,591750.0
