player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
59246,Luca,Zuffi,Luca Zuffi,2025,242,luca-zuffi,Switzerland,Bern,Switzerland,1990-03-27 00:00:00,Central Midfield,Midfield,left,182.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/59246-1473155942.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/luca-zuffi/profil/spieler/59246,C1,Fussballclub Winterthur,100000.0,4000000.0,37803.0
68410,Stefanos,Kapino,Stefanos Kapino,2025,242,stefanos-kapino,Greece,Piraeus,Greece,1994-03-18 00:00:00,Goalkeeper,Goalkeeper,right,196.0,2027-06-30 00:00:00,feel soccer GmbH,https://img.a.transfermarkt.technology/portrait/header/68410-1657046244.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/stefanos-kapino/profil/spieler/68410,C1,Fussballclub Winterthur,400000.0,3000000.0,98210.0
111430,Roman,Buess,Roman Buess,2025,242,roman-buess,Switzerland,Basel,Switzerland,1992-09-21 00:00:00,Centre-Forward,Attack,left,183.0,2026-06-30 00:00:00,HWH Sport,https://img.a.transfermarkt.technology/portrait/header/111430-1689794498.jpg?lm=1,8.0,2.0,,https://www.transfermarkt.co.uk/roman-buess/profil/spieler/111430,C1,Fussballclub Winterthur,100000.0,1000000.0,179543.0
130108,Pajtim,Kasami,Pajtim Kasami,2025,242,pajtim-kasami,Switzerland,Andelfingen,Switzerland,1992-06-02 00:00:00,Central Midfield,Midfield,left,188.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/130108-1710270013.png?lm=1,12.0,2.0,,https://www.transfermarkt.co.uk/pajtim-kasami/profil/spieler/130108,C1,Fussballclub Winterthur,150000.0,6500000.0,104818.0
237677,Remo,Arnold,Remo Arnold,2025,242,remo-arnold,Switzerland,Sursee,Switzerland,1997-01-17 00:00:00,Centre-Back,Defender,right,190.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/237677-1765984847.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/remo-arnold/profil/spieler/237677,C1,Fussballclub Winterthur,500000.0,500000.0,355648.0
265208,Mirlind,Kryeziu,Mirlind Kryeziu,2025,242,mirlind-kryeziu,Switzerland,Zürich,Kosovo,1997-01-26 00:00:00,Centre-Back,Defender,left,196.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/265208-1720593774.jpg?lm=1,10.0,0.0,,https://www.transfermarkt.co.uk/mirlind-kryeziu/profil/spieler/265208,C1,Fussballclub Winterthur,300000.0,1700000.0,798826.0
269526,Basil,Stillhart,Basil Stillhart,2025,242,basil-stillhart,Switzerland,Wil,Switzerland,1994-03-24 00:00:00,Centre-Back,Defender,right,177.0,2026-06-30 00:00:00,ONEANDTEN,https://img.a.transfermarkt.technology/portrait/header/269526-1670353871.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/basil-stillhart/profil/spieler/269526,C1,Fussballclub Winterthur,100000.0,1500000.0,244345.0
279079,Lukas,Mühl,Lukas Mühl,2025,242,lukas-muhl,Germany,Zwiesel,Germany,1997-01-27 00:00:00,Centre-Back,Defender,right,189.0,2026-06-30 00:00:00,projectFIVE GmbH,https://img.a.transfermarkt.technology/portrait/header/279079-1659424141.png?lm=1,7.0,0.0,,https://www.transfermarkt.co.uk/lukas-muhl/profil/spieler/279079,C1,Fussballclub Winterthur,200000.0,4500000.0,833067.0
290040,Dario,Ulrich,Dario Ulrich,2025,242,dario-ulrich,Switzerland,Schwyz,Switzerland,1998-03-12 00:00:00,Right-Back,Defender,right,173.0,2026-06-30 00:00:00,25 ELEVEN GmbH,https://img.a.transfermarkt.technology/portrait/header/290040-1665851262.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/dario-ulrich/profil/spieler/290040,C1,Fussballclub Winterthur,250000.0,450000.0,814024.0
294801,Souleymane,Diaby,Souleymane Diaby,2025,242,souleymane-diaby,Cote d'Ivoire,Divo,Cote d'Ivoire,1999-10-08 00:00:00,Left-Back,Defender,left,173.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/294801-1667291148.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/souleymane-diaby/profil/spieler/294801,C1,Fussballclub Winterthur,400000.0,1200000.0,359244.0
