player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
42205,Yann,Sommer,Yann Sommer,2025,46,yann-sommer,Switzerland,Morges,Switzerland,1988-12-17 00:00:00,Goalkeeper,Goalkeeper,right,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/42205-1669897427.jpg?lm=1,94.0,0.0,,https://www.transfermarkt.co.uk/yann-sommer/profil/spieler/42205,IT1,Football Club Internazionale Milano S.p.A.,2500000.0,13000000.0,16206.0
54906,Matteo,Darmian,Matteo Darmian,2025,46,matteo-darmian,Italy,Legnano,Italy,1989-12-02 00:00:00,Right-Back,Defender,right,183.0,2026-06-30 00:00:00,TMP SOCCER srl ,https://img.a.transfermarkt.technology/portrait/header/54906-1695027410.jpg?lm=1,46.0,2.0,,https://www.transfermarkt.co.uk/matteo-darmian/profil/spieler/54906,IT1,Football Club Internazionale Milano S.p.A.,1500000.0,15000000.0,19352.0
55735,Henrikh,Mkhitaryan,Henrikh Mkhitaryan,2025,46,henrikh-mkhitaryan,UdSSR,Yerevan,Armenia,1989-01-21 00:00:00,Central Midfield,Midfield,both,177.0,2026-06-30 00:00:00,Rafaela Pimenta,https://img.a.transfermarkt.technology/portrait/header/55735-1664973670.jpg?lm=1,95.0,32.0,,https://www.transfermarkt.co.uk/henrikh-mkhitaryan/profil/spieler/55735,IT1,Football Club Internazionale Milano S.p.A.,3500000.0,37000000.0,37151.0
111196,Stefan,de Vrij,Stefan de Vrij,2025,46,stefan-de-vrij,Netherlands,Ouderkerk aan den IJssel,Netherlands,1992-02-05 00:00:00,Centre-Back,Defender,right,189.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/111196-1663572651.jpg?lm=1,77.0,4.0,3379.0,https://www.transfermarkt.co.uk/stefan-de-vrij/profil/spieler/111196,IT1,Football Club Internazionale Milano S.p.A.,3500000.0,60000000.0,91046.0
126414,Hakan,Çalhanoğlu,Hakan Çalhanoğlu,2025,46,hakan-calhanoglu,Germany,Mannheim,Türkiye,1994-02-08 00:00:00,Defensive Midfield,Midfield,right,178.0,2027-06-30 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/126414-1709035146.jpg?lm=1,102.0,22.0,3381.0,https://www.transfermarkt.co.uk/hakan-calhanoglu/profil/spieler/126414,IT1,Football Club Internazionale Milano S.p.A.,18000000.0,45000000.0,135700.0
131075,Francesco,Acerbi,Francesco Acerbi,2025,46,francesco-acerbi,Italy,Vizzolo Predabissi,Italy,1988-02-10 00:00:00,Centre-Back,Defender,left,192.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/131075-1663572709.jpg?lm=1,34.0,1.0,,https://www.transfermarkt.co.uk/francesco-acerbi/profil/spieler/131075,IT1,Football Club Internazionale Milano S.p.A.,2500000.0,15000000.0,126816.0
181136,Piotr,Zieliński,Piotr Zieliński,2025,46,piotr-zielinski,Poland,Ząbkowice Śląskie,Poland,1994-05-20 00:00:00,Central Midfield,Midfield,both,180.0,2028-06-30 00:00:00,BMG-SPORT,https://img.a.transfermarkt.technology/portrait/header/181136-1692962961.jpg?lm=1,106.0,17.0,,https://www.transfermarkt.co.uk/piotr-zielinski/profil/spieler/181136,IT1,Football Club Internazionale Milano S.p.A.,10000000.0,50000000.0,138605.0
198116,Federico,Dimarco,Federico Dimarco,2025,46,federico-dimarco,Italy,Milano,Italy,1997-11-10 00:00:00,Left-Back,Defender,left,175.0,2027-06-30 00:00:00,Roc Nation Sports,https://img.a.transfermarkt.technology/portrait/header/198116-1725531769.jpg?lm=1,37.0,3.0,,https://www.transfermarkt.co.uk/federico-dimarco/profil/spieler/198116,IT1,Football Club Internazionale Milano S.p.A.,50000000.0,60000000.0,284361.0
255942,Nicolò,Barella,Nicolò Barella,2025,46,nicolo-barella,Italy,Cagliari,Italy,1997-02-07 00:00:00,Central Midfield,Midfield,right,175.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/255942-1725531625.jpg?lm=1,68.0,10.0,3376.0,https://www.transfermarkt.co.uk/nicolo-barella/profil/spieler/255942,IT1,Football Club Internazionale Milano S.p.A.,50000000.0,80000000.0,363856.0
284730,Manuel,Akanji,Manuel Akanji,2025,46,manuel-akanji,Switzerland,Wiesendangen,Switzerland,1995-07-19 00:00:00,Centre-Back,Defender,right,188.0,2026-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/284730-1684165752.jpg?lm=1,78.0,4.0,,https://www.transfermarkt.co.uk/manuel-akanji/profil/spieler/284730,IT1,Football Club Internazionale Milano S.p.A.,18000000.0,45000000.0,383560.0
