player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
300532,Pontus,Almqvist,Pontus Almqvist,2025,130,pontus-almqvist,Sweden,Nyköping,Sweden,1999-07-10 00:00:00,Right Winger,Attack,left,183.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/300532-1692964187.jpg?lm=1,5.0,2.0,,https://www.transfermarkt.co.uk/pontus-almqvist/profil/spieler/300532,IT1,Parma Calcio 1913,2000000.0,3000000.0,856065.0
392956,Enrico,Delprato,Enrico Delprato,2025,130,enrico-delprato,Italy,Bergamo,Italy,1999-11-10 00:00:00,Right-Back,Defender,right,183.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/392956-1730185180.jpg?lm=1,12.0,1.0,,https://www.transfermarkt.co.uk/enrico-delprato/profil/spieler/392956,IT1,Parma Calcio 1913,6000000.0,6500000.0,928103.0
430280,Hans,Nicolussi Caviglia,Hans Nicolussi Caviglia,2025,130,hans-nicolussi-caviglia,Italy,Aosta,Italy,2000-06-18 00:00:00,Central Midfield,Midfield,right,184.0,2026-06-30 00:00:00,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/430280-1743004805.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/hans-nicolussi-caviglia/profil/spieler/430280,IT1,Parma Calcio 1913,6000000.0,8500000.0,876259.0
432298,Zion,Suzuki,Zion Suzuki,2025,130,zion-suzuki,United States,"Newark, New Jersey",Japan,2002-08-21 00:00:00,Goalkeeper,Goalkeeper,right,190.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/432298-1713345567.png?lm=1,21.0,0.0,,https://www.transfermarkt.co.uk/zion-suzuki/profil/spieler/432298,IT1,Parma Calcio 1913,20000000.0,20000000.0,905351.0
445126,Emanuele,Valeri,Emanuele Valeri,2025,130,emanuele-valeri,Italy,Roma,Italy,1998-12-07 00:00:00,Left-Back,Defender,left,180.0,2028-06-30 00:00:00,Daniele Ferri,https://img.a.transfermarkt.technology/portrait/header/445126-1663684061.jpg?lm=1,,,,https://www.transfermarkt.co.uk/emanuele-valeri/profil/spieler/445126,IT1,Parma Calcio 1913,3000000.0,3500000.0,891346.0
457673,Gabriel,Strefezza,Gabriel Strefezza,2025,130,gabriel-strefezza,Brazil,São Paulo,Brazil,1997-04-18 00:00:00,Right Winger,Attack,right,168.0,2026-06-30 00:00:00,World Soccer Agency,https://img.a.transfermarkt.technology/portrait/header/457673-1757716704.png?lm=1,,,,https://www.transfermarkt.co.uk/gabriel-strefezza/profil/spieler/457673,IT1,Parma Calcio 1913,7000000.0,10000000.0,877201.0
466802,Adrián,Bernabé,Adrián Bernabé,2025,130,adrian-bernabe,Spain,Barcelona,Spain,2001-05-26 00:00:00,Central Midfield,Midfield,left,170.0,2027-06-30 00:00:00,De la Peña & Sostres,https://img.a.transfermarkt.technology/portrait/header/466802-1714503707.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/adrian-bernabe/profil/spieler/466802,IT1,Parma Calcio 1913,15000000.0,15000000.0,934384.0
514888,Oliver,Sørensen,Oliver Sørensen,2025,130,oliver-sorensen,Denmark,Nørre Aaby,Denmark,2002-03-10 00:00:00,Central Midfield,Midfield,left,184.0,2030-06-30 00:00:00,Elite Consulting,https://img.a.transfermarkt.technology/portrait/header/514888-1727290198.jpg?lm=1,15.0,6.0,,https://www.transfermarkt.co.uk/oliver-sorensen/profil/spieler/514888,IT1,Parma Calcio 1913,7500000.0,8000000.0,957921.0
528181,Edoardo,Corvi,Edoardo Corvi,2025,130,edoardo-corvi,Italy,Parma,Italy,2001-03-23 00:00:00,Goalkeeper,Goalkeeper,right,187.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/528181-1712347686.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/edoardo-corvi/profil/spieler/528181,IT1,Parma Calcio 1913,1500000.0,1500000.0,990411.0
552472,Nahuel,Estévez,Nahuel Estévez,2025,130,nahuel-estevez,Argentina,Buenos Aires,Argentina,1995-11-14 00:00:00,Defensive Midfield,Midfield,right,181.0,2026-06-30 00:00:00,Proyecta Players,https://img.a.transfermarkt.technology/portrait/header/552472-1739284138.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nahuel-estevez/profil/spieler/552472,IT1,Parma Calcio 1913,1500000.0,3500000.0,895868.0
604207,Filippo,Rinaldi,Filippo Rinaldi,2025,130,filippo-rinaldi,Italy,Montecchio Emilia,Italy,2002-12-04 00:00:00,Goalkeeper,Goalkeeper,right,188.0,2029-06-30 00:00:00,GLM,https://img.a.transfermarkt.technology/portrait/header/604207-1758687826.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/filippo-rinaldi/profil/spieler/604207,IT1,Parma Calcio 1913,600000.0,600000.0,1002428.0
