player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
74683,Nemanja,Matić,Nemanja Matić,2025,6574,nemanja-matic,Jugoslawien (SFR),Šabac,Serbia,1988-08-01 00:00:00,Defensive Midfield,Midfield,left,194.0,2026-06-30 00:00:00,Universal Twenty Two,https://img.a.transfermarkt.technology/portrait/header/74683-1655212906.jpg?lm=1,48.0,2.0,,https://www.transfermarkt.co.uk/nemanja-matic/profil/spieler/74683,IT1,Unione Sportiva Sassuolo Calcio,1800000.0,40000000.0,44241.0
177843,Domenico,Berardi,Domenico Berardi,2025,6574,domenico-berardi,Italy,Cariati,Italy,1994-08-01 00:00:00,Right Winger,Attack,left,183.0,2029-06-30 00:00:00,Simone Seghedoni,https://img.a.transfermarkt.technology/portrait/header/177843-1692883147.jpg?lm=1,28.0,8.0,,https://www.transfermarkt.co.uk/domenico-berardi/profil/spieler/177843,IT1,Unione Sportiva Sassuolo Calcio,7500000.0,35000000.0,253367.0
192616,Ulisses,Garcia,Ulisses Garcia,2025,6574,ulisses-garcia,Portugal,Almada,Switzerland,1996-01-11 00:00:00,Left-Back,Defender,left,182.0,2026-06-30 00:00:00,ONEANDTEN,https://img.a.transfermarkt.technology/portrait/header/192616-1700236348.jpg?lm=1,11.0,0.0,3384.0,https://www.transfermarkt.co.uk/ulisses-garcia/profil/spieler/192616,IT1,Unione Sportiva Sassuolo Calcio,3000000.0,5000000.0,558320.0
256678,Filippo,Romagna,Filippo Romagna,2025,6574,filippo-romagna,Italy,Fano,Italy,1997-05-26 00:00:00,Centre-Back,Defender,right,186.0,2026-06-30 00:00:00,TMP SOCCER srl ,https://img.a.transfermarkt.technology/portrait/header/256678-1751529345.jpg?lm=1,16.0,0.0,,https://www.transfermarkt.co.uk/filippo-romagna/profil/spieler/256678,IT1,Unione Sportiva Sassuolo Calcio,800000.0,7000000.0,356032.0
315865,Andrea,Pinamonti,Andrea Pinamonti,2025,6574,andrea-pinamonti,Italy,Cles,Italy,1999-05-19 00:00:00,Centre-Forward,Attack,right,185.0,2027-06-30 00:00:00,GR Sports,https://img.a.transfermarkt.technology/portrait/header/315865-1692883161.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/andrea-pinamonti/profil/spieler/315865,IT1,Unione Sportiva Sassuolo Calcio,15000000.0,20000000.0,826198.0
345458,Sebastian,Walukiewicz,Sebastian Walukiewicz,2025,6574,sebastian-walukiewicz,Poland,Gorzów Wielkopolski,Poland,2000-04-05 00:00:00,Right-Back,Defender,right,188.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/345458-1716985042.jpg?lm=1,10.0,1.0,,https://www.transfermarkt.co.uk/sebastian-walukiewicz/profil/spieler/345458,IT1,Unione Sportiva Sassuolo Calcio,4500000.0,10000000.0,886243.0
354814,M'Bala,Nzola,M'Bala Nzola,2025,6574,mbala-nzola,Angola,Buco-Zau,Angola,1996-08-18 00:00:00,Centre-Forward,Attack,left,185.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/354814-1664974000.jpg?lm=1,15.0,3.0,,https://www.transfermarkt.co.uk/mbala-nzola/profil/spieler/354814,IT1,Unione Sportiva Sassuolo Calcio,4500000.0,10000000.0,788061.0
371021,Arijanet,Murić,Arijanet Murić,2025,6574,arijanet-muric,Switzerland,Schlieren,Kosovo,1998-11-07 00:00:00,Goalkeeper,Goalkeeper,right,198.0,2026-06-30 00:00:00,11WINS,https://img.a.transfermarkt.technology/portrait/header/371021-1685718424.jpg?lm=1,49.0,0.0,,https://www.transfermarkt.co.uk/arijanet-muric/profil/spieler/371021,IT1,Unione Sportiva Sassuolo Calcio,7500000.0,12000000.0,888971.0
441515,Daniel,Boloca,Daniel Boloca,2025,6574,daniel-boloca,Italy,Chieri,Italy,1998-12-22 00:00:00,Defensive Midfield,Midfield,right,185.0,2028-06-30 00:00:00,GG11 ,https://img.a.transfermarkt.technology/portrait/header/441515-1692881633.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/daniel-boloca/profil/spieler/441515,IT1,Unione Sportiva Sassuolo Calcio,5000000.0,10000000.0,882592.0
503881,Aster,Vranckx,Aster Vranckx,2025,6574,aster-vranckx,Belgium,Erps-Kwerps,Belgium,2002-10-04 00:00:00,Central Midfield,Midfield,right,183.0,2026-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/503881-1657202999.jpg?lm=1,9.0,0.0,,https://www.transfermarkt.co.uk/aster-vranckx/profil/spieler/503881,IT1,Unione Sportiva Sassuolo Calcio,7000000.0,12000000.0,989371.0
