player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
95142,Renan,Ribeiro,Renan Ribeiro,2025,2431,renan-ribeiro,Brazil,Ribeirão Preto,Brazil,1990-03-23 00:00:00,Goalkeeper,Goalkeeper,right,193.0,2026-06-30 00:00:00,VSR Assessoria,https://img.a.transfermarkt.technology/portrait/header/95142-1713107249.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/renan-ribeiro/profil/spieler/95142,PO1,Club Football Estrela da Amadora,100000.0,3500000.0,82598.0
366278,Rodrigo,Pinho,Rodrigo Pinho,2025,2431,rodrigo-pinho,Germany,Henstedt-Ulzburg,Brazil,1991-05-30 00:00:00,Centre-Forward,Attack,left,185.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/366278-1743700311.jpg?lm=1,,,,https://www.transfermarkt.co.uk/rodrigo-pinho/profil/spieler/366278,PO1,Club Football Estrela da Amadora,200000.0,2500000.0,801339.0
375392,Paulo,Moreira,Paulo Moreira,2025,2431,paulo-moreira,Portugal,Marco de Canaveses,Portugal,2000-02-17 00:00:00,Central Midfield,Midfield,right,176.0,2026-06-30 00:00:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/375392-1743699836.jpg?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/paulo-moreira/profil/spieler/375392,PO1,Club Football Estrela da Amadora,1500000.0,1500000.0,1090646.0
439292,Sydney,van Hooijdonk,Sydney van Hooijdonk,2025,2431,sydney-van-hooijdonk,Netherlands,Breda,Netherlands,2000-02-06 00:00:00,Centre-Forward,Attack,right,190.0,2028-06-30 00:00:00,AESIR,https://img.a.transfermarkt.technology/portrait/header/439292-1755785236.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/sydney-van-hooijdonk/profil/spieler/439292,PO1,Club Football Estrela da Amadora,1300000.0,6000000.0,943595.0
448466,Jovane,Cabral,Jovane Cabral,2025,2431,jovane-cabral,Cape Verde,Assomada,Cape Verde,1998-06-14 00:00:00,Left Winger,Attack,right,174.0,2026-06-30 00:00:00,Invictus Team,https://img.a.transfermarkt.technology/portrait/header/448466-1743699997.jpg?lm=1,24.0,3.0,,https://www.transfermarkt.co.uk/jovane-cabral/profil/spieler/448466,PO1,Club Football Estrela da Amadora,800000.0,10000000.0,845802.0
448468,Jefferson,Encada,Jefferson Encada,2025,2431,jefferson-encada,Guinea-Bissau,Bissau,Guinea-Bissau,1998-04-17 00:00:00,Right-Back,Defender,right,188.0,2028-06-30 00:00:00,PromoSport,https://img.a.transfermarkt.technology/portrait/header/448468-1547563286.png?lm=1,30.0,0.0,,https://www.transfermarkt.co.uk/jefferson-encada/profil/spieler/448468,PO1,Club Football Estrela da Amadora,400000.0,400000.0,851283.0
461582,Issiar,Dramé,Issiar Dramé,2025,2431,issiar-drame,France,Ivry-sur-Seine,Mali,1999-02-16 00:00:00,Centre-Back,Defender,right,197.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/461582-1743698274.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/issiar-drame/profil/spieler/461582,PO1,Club Football Estrela da Amadora,400000.0,600000.0,857766.0
543051,Billal,Brahimi,Billal Brahimi,2025,2431,billal-brahimi,France,Paris,Algeria,2000-03-14 00:00:00,Right Winger,Attack,left,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/543051-1756806904.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/billal-brahimi/profil/spieler/543051,PO1,Club Football Estrela da Amadora,1500000.0,7000000.0,948250.0
547754,Ianis,Stoica,Ianis Stoica,2025,2431,ianis-stoica,Romania,Bucuresti,Romania,2002-12-08 00:00:00,Left Winger,Attack,right,180.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/547754-1753432042.png?lm=1,19.0,3.0,,https://www.transfermarkt.co.uk/ianis-stoica/profil/spieler/547754,PO1,Club Football Estrela da Amadora,1500000.0,2000000.0,910316.0
593410,Yahya,Kalley,Yahya Kalley,2025,2431,yahya-kalley,Sweden,Oxie,The Gambia,2001-03-20 00:00:00,Left-Back,Defender,,185.0,2028-06-30 00:00:00,FootNation,https://img.a.transfermarkt.technology/portrait/header/593410-1630507412.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/yahya-kalley/profil/spieler/593410,PO1,Club Football Estrela da Amadora,375000.0,500000.0,1050457.0
626854,Kevin,Höög Jansson,Kevin Höög Jansson,2025,2431,kevin-hoog-jansson,Belgium,Genk,Sweden,2000-09-29 00:00:00,Defensive Midfield,Midfield,left,190.0,2028-06-30 00:00:00,FootNation,https://img.a.transfermarkt.technology/portrait/header/626854-1613147297.png?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/kevin-hoog-jansson/profil/spieler/626854,PO1,Club Football Estrela da Amadora,400000.0,450000.0,989449.0
631472,Bruno,Langa,Bruno Langa,2025,2431,bruno-langa,Mozambique,Maputo,Mozambique,1997-10-31 00:00:00,Left-Back,Defender,left,178.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/631472-1758220415.jpg?lm=1,37.0,1.0,,https://www.transfermarkt.co.uk/bruno-langa/profil/spieler/631472,PO1,Club Football Estrela da Amadora,1000000.0,1500000.0,987490.0
658674,,Luan Patrick,Luan Patrick,2025,2431,luan-patrick,Brazil,Carazinho,Brazil,2002-01-20 00:00:00,Centre-Back,Defender,right,190.0,2028-06-30 00:00:00,UJ Football Talent,https://img.a.transfermarkt.technology/portrait/header/658674-1682527289.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/luan-patrick/profil/spieler/658674,PO1,Club Football Estrela da Amadora,2000000.0,2000000.0,1002565.0
699632,Abraham,Marcus,Abraham Marcus,2025,2431,abraham-marcus,Nigeria,Lagos,Nigeria,2000-01-02 00:00:00,Right Winger,Attack,left,178.0,2028-06-30 00:00:00,Best of You,https://img.a.transfermarkt.technology/portrait/header/699632-1612876843.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/abraham-marcus/profil/spieler/699632,PO1,Club Football Estrela da Amadora,800000.0,2000000.0,1090543.0
699679,Bernardo,Schappo,Bernardo Schappo,2025,2431,bernardo-schappo,Brazil,Biguaçu,Brazil,1999-03-22 00:00:00,Centre-Back,Defender,left,191.0,2028-06-30 00:00:00,Enjoy Sports Brasil,https://img.a.transfermarkt.technology/portrait/header/699679-1666299634.jpg?lm=1,,,,https://www.transfermarkt.co.uk/bernardo-schappo/profil/spieler/699679,PO1,Club Football Estrela da Amadora,750000.0,750000.0,1017590.0
707350,Max,Scholze,Max Scholze,2025,2431,max-scholze,Germany,Meißen,Germany,2005-04-30 00:00:00,Right-Back,Defender,right,184.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/707350-1753735529.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/max-scholze/profil/spieler/707350,PO1,Club Football Estrela da Amadora,400000.0,700000.0,1410927.0
742454,Jorge,Meireles,Jorge Meireles,2025,2431,jorge-meireles,Portugal,Paços de Ferreira,Portugal,2004-04-04 00:00:00,Left Winger,Attack,right,180.0,2028-06-30 00:00:00,FMA Sports,https://img.a.transfermarkt.technology/portrait/header/742454-1689275346.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/jorge-meireles/profil/spieler/742454,PO1,Club Football Estrela da Amadora,600000.0,1200000.0,1164070.0
782889,Tom,Moustier,Tom Moustier,2025,2431,tom-moustier,France,Aubagne,France,2002-05-02 00:00:00,Central Midfield,Midfield,right,185.0,2028-06-30 00:00:00,think forward,https://img.a.transfermarkt.technology/portrait/header/782889-1753388045.jpg?lm=1,,,,https://www.transfermarkt.co.uk/tom-moustier/profil/spieler/782889,PO1,Club Football Estrela da Amadora,400000.0,400000.0,1210450.0
797572,Stefan,Lekovic,Stefan Lekovic,2025,2431,stefan-lekovic,Serbia and Montenegro,Belgrade,Serbia,2004-01-09 00:00:00,Centre-Back,Defender,right,192.0,2026-06-30 00:00:00,LIAN Sports Group,https://img.a.transfermarkt.technology/portrait/header/797572-1739282472.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/stefan-lekovic/profil/spieler/797572,PO1,Club Football Estrela da Amadora,2500000.0,2500000.0,1146225.0
892926,Leandro,Antonetti,Leandro Antonetti,2025,2431,leandro-antonetti,Spain,Murcia,Puerto Rico,2003-01-13 00:00:00,Centre-Forward,Attack,left,189.0,2028-06-30 00:00:00,Footfeel ISM  ,https://img.a.transfermarkt.technology/portrait/header/892926-1750365255.jpg?lm=1,19.0,6.0,,https://www.transfermarkt.co.uk/leandro-antonetti/profil/spieler/892926,PO1,Club Football Estrela da Amadora,200000.0,300000.0,1158547.0
1094885,,Otávio,Otávio,2025,2431,otavio,Brazil,Araucária,Brazil,2005-11-25 00:00:00,Centre-Back,Defender,left,193.0,2029-06-30 00:00:00,Hub Agent Sports,https://img.a.transfermarkt.technology/portrait/header/1094885-1767963953.jpg?lm=1,,,,https://www.transfermarkt.co.uk/otavio/profil/spieler/1094885,PO1,Club Football Estrela da Amadora,1500000.0,1500000.0,2115909.0
1159661,Eddy,Doué,Eddy Doué,2025,2431,eddy-doue,Cote d'Ivoire,Bangolo,Cote d'Ivoire,2005-12-11 00:00:00,Defensive Midfield,Midfield,right,180.0,2028-06-30 00:00:00,FirstPlan,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/eddy-doue/profil/spieler/1159661,PO1,Club Football Estrela da Amadora,300000.0,300000.0,2368703.0
1216111,Alex,Sola,Alex Sola,2025,2431,alex-sola,Angola,Luanda,Angola,2003-12-14 00:00:00,Central Midfield,Midfield,right,173.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/1216111-1743700735.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alex-sola/profil/spieler/1216111,PO1,Club Football Estrela da Amadora,300000.0,300000.0,2037671.0
1270605,Alisson,Souza,Alisson Souza,2025,2431,alisson-souza,,,Brazil,2005-04-11 00:00:00,Left Winger,Attack,right,,2028-06-30 00:00:00,Promanager,https://img.a.transfermarkt.technology/portrait/header/1270605-1767963706.jpg?lm=1,,,,https://www.transfermarkt.co.uk/alisson-souza/profil/spieler/1270605,PO1,Club Football Estrela da Amadora,100000.0,100000.0,1864305.0
