player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
29241,Thiago,Silva,Thiago Silva,2025,720,thiago-silva,Brazil,Rio de Janeiro,Brazil,1984-09-22 00:00:00,Centre-Back,Defender,right,181.0,2026-06-30 00:00:00,Paulo Tonietto,https://img.a.transfermarkt.technology/portrait/header/29241-1661856081.jpg?lm=1,113.0,7.0,,https://www.transfermarkt.co.uk/thiago-silva/profil/spieler/29241,PO1,Futebol Clube do Porto,600000.0,40000000.0,33541.0
72522,Luuk,de Jong,Luuk de Jong,2025,720,luuk-de-jong,Switzerland,Aigle,Netherlands,1990-08-27 00:00:00,Centre-Forward,Attack,right,188.0,2026-06-30 00:00:00,V4S,https://img.a.transfermarkt.technology/portrait/header/72522-1682332002.jpg?lm=1,39.0,8.0,,https://www.transfermarkt.co.uk/luuk-de-jong/profil/spieler/72522,PO1,Futebol Clube do Porto,1000000.0,13000000.0,40878.0
155396,Cláudio,Ramos,Cláudio Ramos,2025,720,claudio-ramos,Portugal,Viseu,Portugal,1991-11-16 00:00:00,Goalkeeper,Goalkeeper,right,183.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/155396-1773342545.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/claudio-ramos/profil/spieler/155396,PO1,Futebol Clube do Porto,1000000.0,2000000.0,116372.0
182893,Seko,Fofana,Seko Fofana,2025,720,seko-fofana,France,Paris,Cote d'Ivoire,1995-05-07 00:00:00,Central Midfield,Midfield,right,185.0,2026-06-30 00:00:00,Sport Cover,https://img.a.transfermarkt.technology/portrait/header/182893-1653394911.jpg?lm=1,30.0,7.0,,https://www.transfermarkt.co.uk/seko-fofana/profil/spieler/182893,PO1,Futebol Clube do Porto,8000000.0,32000000.0,191188.0
198638,João,Costa,João Costa,2025,720,joao-costa,Portugal,Barcelos,Portugal,1996-02-02 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2030-06-30 00:00:00,SoccerSoul,https://img.a.transfermarkt.technology/portrait/header/198638-1773342461.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/joao-costa/profil/spieler/198638,PO1,Futebol Clube do Porto,800000.0,800000.0,1511976.0
243028,Jan,Bednarek,Jan Bednarek,2025,720,jan-bednarek,Poland,Słupca,Poland,1996-04-12 00:00:00,Centre-Back,Defender,right,189.0,2029-06-30 00:00:00,Fabryka Futbolu,https://img.a.transfermarkt.technology/portrait/header/243028-1709158468.jpg?lm=1,73.0,1.0,,https://www.transfermarkt.co.uk/jan-bednarek/profil/spieler/243028,PO1,Futebol Clube do Porto,11000000.0,25000000.0,286085.0
324804,Yann,Karamoh,Yann Karamoh,2025,720,yann-karamoh,Cote d'Ivoire,Abidjan,France,1998-07-08 00:00:00,Left Winger,Attack,right,184.0,2026-06-30 00:00:00,One Team Management,https://img.a.transfermarkt.technology/portrait/header/324804-1663596515.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/yann-karamoh/profil/spieler/324804,PO1,Futebol Clube do Porto,1500000.0,10000000.0,802149.0
357153,Diogo,Costa,Diogo Costa,2025,720,diogo-costa,Switzerland,Rothrist,Portugal,1999-09-19 00:00:00,Goalkeeper,Goalkeeper,right,186.0,2030-06-30 00:00:00,Gestifute,https://img.a.transfermarkt.technology/portrait/header/357153-1716296015.jpg?lm=1,42.0,0.0,,https://www.transfermarkt.co.uk/diogo-costa/profil/spieler/357153,PO1,Futebol Clube do Porto,40000000.0,45000000.0,843115.0
370791,Pablo,Rosario,Pablo Rosario,2025,720,pablo-rosario,Netherlands,Amsterdam,Dominican Republic,1997-01-07 00:00:00,Defensive Midfield,Midfield,right,188.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/370791-1773342182.jpg?lm=1,8.0,0.0,,https://www.transfermarkt.co.uk/pablo-rosario/profil/spieler/370791,PO1,Futebol Clube do Porto,8000000.0,13000000.0,804472.0
425918,Jakub,Kiwior,Jakub Kiwior,2025,720,jakub-kiwior,Poland,Tychy,Poland,2000-02-15 00:00:00,Centre-Back,Defender,left,189.0,2026-06-30 00:00:00,FairSport,https://img.a.transfermarkt.technology/portrait/header/425918-1683101307.jpg?lm=1,42.0,2.0,,https://www.transfermarkt.co.uk/jakub-kiwior/profil/spieler/425918,PO1,Futebol Clube do Porto,27000000.0,30000000.0,976037.0
