player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
145563,Dusan,Pantelic,Dusan Pantelic,2025,8819,dusan-pantelic,Yugoslavia (Republic),Kragujevac,Serbia,1993-04-15 00:00:00,Central Midfield,Midfield,right,178.0,2026-06-30 00:00:00,SPlayers,https://img.a.transfermarkt.technology/portrait/header/145563-1611086730.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/dusan-pantelic/profil/spieler/145563,SER1,Fudbalski Klub Javor Matis Ivanjica,150000.0,450000.0,98458.0
221639,Stefan,Milosevic,Stefan Milosevic,2025,8819,stefan-milosevic,Yugoslavia (Republic),Požarevac,Serbia,1995-04-07 00:00:00,Left-Back,Defender,left,171.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/221639-1607328708.JPG?lm=1,5.0,0.0,,https://www.transfermarkt.co.uk/stefan-milosevic/profil/spieler/221639,SER1,Fudbalski Klub Javor Matis Ivanjica,250000.0,700000.0,188127.0
262105,Nikola,Vasiljevic,Nikola Vasiljevic,2025,8819,nikola-vasiljevic,Yugoslavia (Republic),Niš,Serbia,1996-06-24 00:00:00,Goalkeeper,Goalkeeper,right,202.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/262105-1694785419.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/nikola-vasiljevic/profil/spieler/262105,SER1,Fudbalski Klub Javor Matis Ivanjica,400000.0,800000.0,834186.0
477481,Ibrahim,Tanko,Ibrahim Tanko,2025,8819,ibrahim-tanko,Ghana,Accra,Ghana,1999-04-30 00:00:00,Left Winger,Attack,right,186.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/477481-1606217117.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/ibrahim-tanko/profil/spieler/477481,SER1,Fudbalski Klub Javor Matis Ivanjica,400000.0,700000.0,895905.0
494295,Dusan,Ristic,Dusan Ristic,2025,8819,dusan-ristic,Bosnia-Herzegovina,Doboj,Bosnia-Herzegovina,2000-10-04 00:00:00,Centre-Back,Defender,right,189.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/dusan-ristic/profil/spieler/494295,SER1,Fudbalski Klub Javor Matis Ivanjica,200000.0,200000.0,1153911.0
505654,Mateja,Zuvic,Mateja Zuvic,2025,8819,mateja-zuvic,Yugoslavia (Republic),Belgrad,Serbia,2000-02-13 00:00:00,Right Winger,Attack,left,181.0,2027-06-30 00:00:00,GALAXY OF SPORTS,https://img.a.transfermarkt.technology/portrait/header/505654-1607368389.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/mateja-zuvic/profil/spieler/505654,SER1,Fudbalski Klub Javor Matis Ivanjica,250000.0,300000.0,1047458.0
507630,Boubacari,Doucouré,Boubacari Doucouré,2025,8819,boubacari-doucoure,France,Beaumont-sur-Oise,France,1999-03-19 00:00:00,Defensive Midfield,Midfield,right,192.0,2026-12-31 00:00:00,MA.JP.Footballagency,https://img.a.transfermarkt.technology/portrait/header/507630-1617633973.jpg?lm=1,,,,https://www.transfermarkt.co.uk/boubacari-doucoure/profil/spieler/507630,SER1,Fudbalski Klub Javor Matis Ivanjica,600000.0,650000.0,986764.0
579429,Marko,Bjekovic,Marko Bjekovic,2025,8819,marko-bjekovic,Yugoslavia (Republic),Novi Sad,Serbia,2000-09-21 00:00:00,Right-Back,Defender,right,182.0,2027-06-30 00:00:00,Men of the Match,https://img.a.transfermarkt.technology/portrait/header/579429-1596788377.jpg?lm=1,6.0,0.0,,https://www.transfermarkt.co.uk/marko-bjekovic/profil/spieler/579429,SER1,Fudbalski Klub Javor Matis Ivanjica,500000.0,650000.0,981518.0
592867,Lazar,Micic,Lazar Micic,2025,8819,lazar-micic,Serbia and Montenegro,Belgrad,Serbia,2003-02-17 00:00:00,Right Winger,Attack,left,178.0,2027-12-31 00:00:00,GALAXY OF SPORTS,https://img.a.transfermarkt.technology/portrait/header/592867-1706249970.jpg?lm=1,3.0,0.0,,https://www.transfermarkt.co.uk/lazar-micic/profil/spieler/592867,SER1,Fudbalski Klub Javor Matis Ivanjica,500000.0,500000.0,1147526.0
598925,Stefan,Vilotic,Stefan Vilotic,2025,8819,stefan-vilotic,Yugoslavia (Republic),Belgrad,Serbia,1999-10-16 00:00:00,Centre-Back,Defender,left,186.0,2026-06-30 00:00:00,UT s.r.o,https://img.a.transfermarkt.technology/portrait/header/598925-1762069912.jpg?lm=1,,,,https://www.transfermarkt.co.uk/stefan-vilotic/profil/spieler/598925,SER1,Fudbalski Klub Javor Matis Ivanjica,400000.0,400000.0,943573.0
600693,Milan,Ilic,Milan Ilic,2025,8819,milan-ilic,Yugoslavia (Republic),Belgrad,Serbia,2000-02-07 00:00:00,Right-Back,Defender,right,180.0,2026-06-15 00:00:00,Square M Sport,https://img.a.transfermarkt.technology/portrait/header/600693-1702154843.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/milan-ilic/profil/spieler/600693,SER1,Fudbalski Klub Javor Matis Ivanjica,350000.0,350000.0,1124030.0
678101,Loué,Bayere Junior,Loué Bayere Junior,2025,8819,loue-bayere-junior,Cote d'Ivoire,Abidjan,Cote d'Ivoire,2001-01-14 00:00:00,Centre-Forward,Attack,left,188.0,2027-01-15 00:00:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/678101-1687128047.png?lm=1,,,,https://www.transfermarkt.co.uk/loue-bayere-junior/profil/spieler/678101,SER1,Fudbalski Klub Javor Matis Ivanjica,500000.0,500000.0,972802.0
708063,Nemanja,Djokic,Nemanja Djokic,2025,8819,nemanja-djokic,Yugoslavia (Republic),Belgrade,Serbia,1998-10-23 00:00:00,Centre-Back,Defender,left,192.0,2027-06-30 00:00:00,CM Agency,https://img.a.transfermarkt.technology/portrait/header/708063-1765724350.jpg?lm=1,,,,https://www.transfermarkt.co.uk/nemanja-djokic/profil/spieler/708063,SER1,Fudbalski Klub Javor Matis Ivanjica,300000.0,300000.0,1392891.0
756096,Benjamin,Acquah,Benjamin Acquah,2025,8819,benjamin-acquah,Ghana,Amasaman,Ghana,2000-12-29 00:00:00,Attacking Midfield,Midfield,both,180.0,2027-06-30 00:00:00,Iconics Management,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/benjamin-acquah/profil/spieler/756096,SER1,Fudbalski Klub Javor Matis Ivanjica,150000.0,600000.0,1126871.0
812981,Dimitrije,Stevanovic,Dimitrije Stevanovic,2025,8819,dimitrije-stevanovic,Serbia and Montenegro,Niš,Serbia,2004-08-27 00:00:00,Goalkeeper,Goalkeeper,right,191.0,2029-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/dimitrije-stevanovic/profil/spieler/812981,SER1,Fudbalski Klub Javor Matis Ivanjica,300000.0,400000.0,1065775.0
818924,Mass,Sise,Mass Sise,2025,8819,mass-sise,,,Denmark,2003-09-23 00:00:00,Centre-Forward,Attack,right,197.0,,1v1 S.F.M,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/mass-sise/profil/spieler/818924,SER1,Fudbalski Klub Javor Matis Ivanjica,150000.0,150000.0,1473508.0
846745,Andreja,Ristic,Andreja Ristic,2025,8819,andreja-ristic,Serbia and Montenegro,Smederevska Palanka,Serbia,2004-01-08 00:00:00,Centre-Forward,Attack,right,185.0,2026-06-30 00:00:00,Pure Talent,https://img.a.transfermarkt.technology/portrait/header/846745-1759082247.jpg?lm=1,,,,https://www.transfermarkt.co.uk/andreja-ristic/profil/spieler/846745,SER1,Fudbalski Klub Javor Matis Ivanjica,100000.0,200000.0,1150815.0
847999,Mamane,Amadou Sabo,Mamane Amadou Sabo,2025,8819,mamane-amadou-sabo,,,Niger,2004-09-14 00:00:00,Defensive Midfield,Midfield,right,181.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,2.0,0.0,,https://www.transfermarkt.co.uk/mamane-amadou-sabo/profil/spieler/847999,SER1,Fudbalski Klub Javor Matis Ivanjica,500000.0,500000.0,1435246.0
941815,Ognjen,Krsmanovic,Ognjen Krsmanovic,2025,8819,ognjen-krsmanovic,Serbia and Montenegro,Požega,Serbia,2005-01-14 00:00:00,Centre-Forward,Attack,right,187.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,,,,https://www.transfermarkt.co.uk/ognjen-krsmanovic/profil/spieler/941815,SER1,Fudbalski Klub Javor Matis Ivanjica,700000.0,800000.0,1398997.0
942034,Petar,Petrovic,Petar Petrovic,2025,8819,petar-petrovic,Serbia and Montenegro,Belgrad,Serbia,2005-07-13 00:00:00,Centre-Back,Defender,both,191.0,2028-06-30 00:00:00,Pure Talent,https://img.a.transfermarkt.technology/portrait/header/942034-1773071600.png?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/petar-petrovic/profil/spieler/942034,SER1,Fudbalski Klub Javor Matis Ivanjica,1500000.0,1500000.0,1500275.0
