player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,agent_name,image_url,international_caps,international_goals,current_national_team_id,url,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,sofascore_id
110695,Ömer Ali,Şahiner,Ömer Ali Şahiner,2025,6890,omer-ali-sahiner,Türkiye,Konya,Türkiye,1992-01-02 00:00:00,Right-Back,Defender,right,175.0,2026-06-30 00:00:00,GPA Turkey,https://img.a.transfermarkt.technology/portrait/header/110695-1759747709.jpg?lm=1,1.0,0.0,,https://www.transfermarkt.co.uk/omer-ali-sahiner/profil/spieler/110695,TR1,İstanbul Başakşehir Futbol Kulübü,250000.0,5250000.0,103912.0
152733,Onur,Bulut,Onur Bulut,2025,6890,onur-bulut,Germany,Werdohl,Türkiye,1994-04-16 00:00:00,Right-Back,Defender,right,179.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/152733-1759746930.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/onur-bulut/profil/spieler/152733,TR1,İstanbul Başakşehir Futbol Kulübü,700000.0,3800000.0,142494.0
178459,Davie,Selke,Davie Selke,2025,6890,davie-selke,Germany,Schorndorf,Germany,1995-01-20 00:00:00,Centre-Forward,Attack,right,195.0,2027-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/178459-1759748059.jpg?lm=1,15.0,9.0,,https://www.transfermarkt.co.uk/davie-selke/profil/spieler/178459,TR1,İstanbul Başakşehir Futbol Kulübü,3000000.0,20000000.0,187437.0
243725,Olivier,Kemen,Olivier Kemen,2025,6890,olivier-kemen,Cameroon,Douala,Cameroon,1996-07-20 00:00:00,Central Midfield,Midfield,right,179.0,2027-06-30 00:00:00,Sport Cover,https://img.a.transfermarkt.technology/portrait/header/243725-1759747426.jpg?lm=1,7.0,1.0,,https://www.transfermarkt.co.uk/olivier-kemen/profil/spieler/243725,TR1,İstanbul Başakşehir Futbol Kulübü,2500000.0,2500000.0,280447.0
293998,Onur,Ergün,Onur Ergün,2025,6890,onur-ergun,Türkiye,Bingöl,Türkiye,1992-11-15 00:00:00,Defensive Midfield,Midfield,right,185.0,2026-06-30 00:00:00,FOOTALENT,https://img.a.transfermarkt.technology/portrait/header/293998-1759747800.jpg?lm=1,,,,https://www.transfermarkt.co.uk/onur-ergun/profil/spieler/293998,TR1,İstanbul Başakşehir Futbol Kulübü,200000.0,1500000.0,893009.0
306166,Nuno,Da Costa,Nuno Da Costa,2025,6890,nuno-da-costa,Cape Verde,Praïa,Cape Verde,1991-02-10 00:00:00,Centre-Forward,Attack,right,184.0,2027-06-30 00:00:00,4YOURDREAM,https://img.a.transfermarkt.technology/portrait/header/306166-1759748387.jpg?lm=1,6.0,1.0,,https://www.transfermarkt.co.uk/nuno-da-costa/profil/spieler/306166,TR1,İstanbul Başakşehir Futbol Kulübü,500000.0,5000000.0,209374.0
312678,Léo,Duarte,Léo Duarte,2025,6890,leo-duarte,Brazil,Mococa,Brazil,1996-07-17 00:00:00,Centre-Back,Defender,right,183.0,2026-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/312678-1759746750.jpg?lm=1,,,,https://www.transfermarkt.co.uk/leo-duarte/profil/spieler/312678,TR1,İstanbul Başakşehir Futbol Kulübü,2500000.0,8000000.0,839982.0
330871,Muhammed,Şengezer,Muhammed Şengezer,2025,6890,muhammed-sengezer,Türkiye,Bursa,Türkiye,1997-01-05 00:00:00,Goalkeeper,Goalkeeper,right,192.0,2028-06-30 00:00:00,F-F SPORT,https://img.a.transfermarkt.technology/portrait/header/330871-1759746190.jpg?lm=1,0.0,0.0,,https://www.transfermarkt.co.uk/muhammed-sengezer/profil/spieler/330871,TR1,İstanbul Başakşehir Futbol Kulübü,2500000.0,2500000.0,827418.0
358166,Eldor,Shomurodov,Eldor Shomurodov,2025,6890,eldor-shomurodov,Uzbekistan,"Jarkurgan, Surxondaryo Region",Uzbekistan,1995-06-29 00:00:00,Centre-Forward,Attack,right,190.0,2026-06-30 00:00:00,prosm,https://img.a.transfermarkt.technology/portrait/header/358166-1759747995.jpg?lm=1,89.0,44.0,,https://www.transfermarkt.co.uk/eldor-shomurodov/profil/spieler/358166,TR1,İstanbul Başakşehir Futbol Kulübü,7000000.0,14000000.0,791355.0
372711,Amine,Harit,Amine Harit,2025,6890,amine-harit,France,Pontoise,Morocco,1997-06-18 00:00:00,Left Winger,Attack,right,180.0,2026-06-30 00:00:00,Sport Cover,https://img.a.transfermarkt.technology/portrait/header/372711-1759747205.jpg?lm=1,24.0,1.0,,https://www.transfermarkt.co.uk/amine-harit/profil/spieler/372711,TR1,İstanbul Başakşehir Futbol Kulübü,5000000.0,30000000.0,827522.0
408563,Jerome,Opoku,Jerome Opoku,2025,6890,jerome-opoku,England,London,Ghana,1998-10-14 00:00:00,Centre-Back,Defender,left,197.0,2027-06-30 00:00:00,The.Team,https://img.a.transfermarkt.technology/portrait/header/408563-1759746503.jpg?lm=1,10.0,1.0,,https://www.transfermarkt.co.uk/jerome-opoku/profil/spieler/408563,TR1,İstanbul Başakşehir Futbol Kulübü,5000000.0,5000000.0,920514.0
422203,Umut,Güneş,Umut Güneş,2025,6890,umut-gunes,Germany,Albstadt,Türkiye,2000-03-16 00:00:00,Central Midfield,Midfield,left,177.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/422203-1759747514.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/umut-gunes/profil/spieler/422203,TR1,İstanbul Başakşehir Futbol Kulübü,2500000.0,3000000.0,876782.0
432752,Ivan,Brnic,Ivan Brnic,2025,6890,ivan-brnic,Croatia,Split,Croatia,2001-08-23 00:00:00,Left Winger,Attack,right,173.0,2028-06-30 00:00:00,,https://img.a.transfermarkt.technology/portrait/header/432752-1759748260.jpg?lm=1,4.0,1.0,,https://www.transfermarkt.co.uk/ivan-brnic/profil/spieler/432752,TR1,İstanbul Başakşehir Futbol Kulübü,2000000.0,2000000.0,916182.0
469976,Christopher,Operi,Christopher Operi,2025,6890,christopher-operi,Cote d'Ivoire,Abidjan,Cote d'Ivoire,1997-04-29 00:00:00,Left-Back,Defender,left,183.0,2027-06-30 00:00:00,Libera Sports,https://img.a.transfermarkt.technology/portrait/header/469976-1759746677.jpg?lm=1,11.0,0.0,,https://www.transfermarkt.co.uk/christopher-operi/profil/spieler/469976,TR1,İstanbul Başakşehir Futbol Kulübü,4000000.0,4000000.0,858977.0
483063,Berat,Özdemir,Berat Özdemir,2025,6890,berat-ozdemir,Türkiye,Kayseri,Türkiye,1998-05-23 00:00:00,Defensive Midfield,Midfield,right,187.0,2027-06-30 00:00:00,MEK Football,https://img.a.transfermarkt.technology/portrait/header/483063-1759747303.jpg?lm=1,4.0,0.0,,https://www.transfermarkt.co.uk/berat-ozdemir/profil/spieler/483063,TR1,İstanbul Başakşehir Futbol Kulübü,3000000.0,7000000.0,876857.0
